MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
3:Ins:R:1	1.84E-07	1.33E-04	1.79E-04	1.51E-04	8.29E-04	3.08E-04	0.00E+00	1.14E-07	9.69E-09	2.95E-09	1.21E-03	1.16E-07	1.85E-03	1.02E-03	1.20E-07	3.03E-03	2.28E-03	1.28E-04	2.52E-03	1.46E-03
3:Ins:R:2	2.04E-07	2.01E-08	3.15E-07	6.57E-08	9.33E-08	1.49E-07	4.70E-08	9.30E-08	8.21E-08	1.41E-07	5.37E-04	5.68E-08	2.60E-04	4.59E-07	1.88E-03	6.43E-07	6.39E-05	1.44E-04	6.57E-05	6.83E-05
3:Ins:R:3	1.10E-07	4.32E-08	2.26E-08	6.41E-08	8.64E-08	5.79E-08	5.51E-08	9.31E-08	9.85E-08	8.67E-08	1.45E-07	1.06E-07	1.25E-07	7.35E-08	1.41E-07	1.18E-07	1.35E-07	6.06E-07	2.97E-07	2.43E-07
3:Ins:R:4	1.29E-07	3.61E-08	3.96E-05	1.86E-04	1.28E-08	3.89E-07	2.19E-07	2.33E-04	1.64E-07	3.17E-07	5.18E-04	1.18E-07	2.36E-07	2.79E-04	1.79E-07	1.04E-03	3.81E-07	4.07E-04	9.92E-08	4.88E-04
3:Ins:R:5	1.52E-08	1.46E-07	4.48E-04	0.00E+00	9.66E-05	9.27E-04	4.53E-07	2.04E-03	2.23E-04	2.65E-07	5.35E-04	0.00E+00	6.58E-08	1.18E-03	2.98E-04	8.55E-04	1.04E-03	2.15E-03	1.99E-06	4.03E-03
4:Ins:R:0	4.84E-07	2.57E-08	1.50E-08	2.41E-05	2.28E-04	1.88E-07	2.53E-07	5.12E-08	4.14E-08	6.40E-04	5.81E-04	7.85E-04	4.62E-08	8.91E-04	7.33E-04	1.92E-03	2.82E-08	6.02E-04	1.77E-03	1.64E-07
4:Ins:R:1	3.46E-03	0.00E+00	2.11E-04	1.06E-03	2.34E-04	1.81E-07	4.88E-04	7.69E-03	8.03E-03	2.48E-04	5.43E-04	2.54E-03	2.17E-03	1.05E-03	2.06E-03	5.49E-03	1.67E-03	6.43E-02	1.40E-46	7.43E-03
4:Ins:R:2	1.25E-07	5.39E-08	1.14E-04	2.93E-04	5.28E-08	3.40E-08	1.19E-07	1.43E-07	8.39E-08	6.20E-08	9.11E-08	1.15E-05	6.27E-08	2.75E-04	1.78E-07	1.68E-04	1.26E-07	9.16E-07	5.20E-07	1.08E-07
4:Ins:R:3	9.26E-05	4.11E-08	5.06E-08	1.36E-07	6.28E-08	4.31E-08	2.46E-04	2.34E-07	9.29E-08	2.43E-04	1.86E-07	2.53E-08	4.80E-04	1.86E-04	1.84E-07	1.62E-03	1.70E-07	6.64E-08	9.55E-07	7.65E-04
4:Ins:R:4	1.56E-08	1.29E-07	1.53E-07	0.00E+00	1.47E-07	8.66E-08	1.09E-07	2.84E-02	6.84E-02	1.40E-46	1.75E-02	9.27E-08	1.23E-03	1.52E-07	1.31E-07	1.11E-07	2.06E-02	1.42E-07	1.17E-02	2.03E-03
