NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.599	22.532	13.938	12.92	0.131	0.99	40000.0
2	56.689	20.701	12.881	11.653	0.122	0.992	60000.0
3	57.845	21.505	13.482	12.32	0.128	0.99	50000.0
4	56.852	20.936	12.93	11.654	0.125	0.992	40000.0
5	58.09	21.408	13.732	12.601	0.123	0.99	50000.0
6	60.421	22.389	13.937	12.646	0.13	0.99	30000.0
7	59.319	21.8	13.387	12.237	0.127	0.99	40000.0
8	61.142	22.523	14.349	13.22	0.129	0.989	40000.0
9	58.003	21.396	12.93	11.843	0.127	0.991	30000.0
10	59.174	21.656	13.801	12.466	0.128	0.99	30000.0
