NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.983	26.027	16.058	17.102	0.145	0.98	60000.0
2	68.485	26.595	16.598	16.903	0.144	0.981	60000.0
3	63.883	24.462	15.726	15.873	0.134	0.982	50000.0
4	67.012	25.689	16.773	16.918	0.14	0.982	40000.0
5	59.602	23.101	14.036	14.324	0.136	0.986	40000.0
6	69.905	26.796	17.873	18.143	0.147	0.976	30000.0
7	69.964	26.911	18.49	18.358	0.146	0.976	30000.0
8	72.168	27.616	19.329	19.077	0.148	0.976	70000.0
9	67.53	25.828	16.707	16.702	0.142	0.982	20000.0
10	69.842	27.049	17.4	17.683	0.147	0.979	50000.0
