Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	7.92E-01	1.79E+00	2.55E+00	9.07E-01	4.51E+00	4.21E+00	3.81E+00	9.69E-01	1.42E+00
V2	2.80E+00	1.28E+00	6.02E+00	0.00E+00	3.10E+00	1.67E+00	7.79E+00	1.75E+00	4.57E+00
V3	2.98E-01	1.29E+01	4.09E+00	1.33E+00	1.91E+00	2.70E+00	1.37E+01	7.92E-01	3.54E+00
V4	1.17E+01	4.77E-01	1.00E-01	3.40E-01	7.18E-01	1.55E+00	1.01E+01	2.30E+00	5.86E+00
V5	3.83E+00	1.95E+00	2.09E+00	1.02E+00	1.75E+00	7.21E+00	2.25E+00	6.61E+00	4.05E+00
V6	2.95E+00	7.00E+00	5.33E-01	2.04E+00	0.00E+00	2.59E+00	7.24E+00	2.36E+00	1.88E+00
V7	3.79E-01	1.21E+01	1.00E+00	3.06E-01	1.29E+00	1.05E+01	1.27E+01	1.11E+01	2.33E+00
V8	7.16E-01	4.24E+00	5.81E-01	6.70E-01	0.00E+00	7.23E+00	3.88E+00	7.56E+00	7.00E-01
V9	1.29E+00	2.91E-01	4.51E+00	2.83E+00	3.57E+00	7.37E+00	8.09E+00	1.08E+01	6.06E+00
V10	3.57E+00	9.07E-01	0.00E+00	0.00E+00	5.42E+00	6.86E+00	5.15E+00	6.94E+00	1.99E+00
V11	0.00E+00	2.56E+01	2.41E+00	2.07E+00	1.59E+00	4.02E+00	2.84E+01	2.22E+00	1.35E+00
V12	3.90E+00	8.31E+00	1.05E+00	2.03E+00	2.28E+00	3.00E+00	7.01E+00	1.12E+00	4.51E+00
V13	2.40E+00	2.49E-01	1.66E+01	3.27E-01	8.42E+00	1.71E+00	1.66E+01	1.38E+00	1.13E+01
V14	1.69E+00	3.89E-01	7.47E+00	3.39E+00	5.99E+00	7.53E+00	7.08E+00	6.31E+00	6.36E+00
V15	2.72E+00	1.51E+01	1.17E+01	1.21E+00	4.85E+00	3.42E+00	1.68E+01	9.21E-01	3.35E+00
V16	7.52E-01	1.26E+00	1.98E+01	1.94E+00	0.00E+00	2.62E+00	5.63E+00	2.32E+00	1.83E+01
V17	3.97E+00	2.06E+00	3.81E+00	1.04E+00	5.20E+00	8.27E+00	4.95E+00	8.00E+00	4.64E+00
V18	2.00E+00	7.72E-01	3.55E+00	2.00E+00	9.21E-01	3.85E+00	2.85E+00	4.85E+00	3.24E+00
V19	5.96E-01	0.00E+00	1.36E+00	2.69E-01	1.15E+00	2.77E+00	9.17E-01	1.86E+00	1.59E+00
V20	8.44E-01	1.48E+00	4.23E+00	2.24E+00	3.44E+00	2.42E+00	3.36E+00	8.59E-01	5.34E+00
V21	3.01E+00	1.84E+00	6.83E-01	1.87E+00	1.94E+00	2.00E-01	2.63E+00	0.00E+00	1.35E+00
V22	7.31E-01	4.42E-01	0.00E+00	6.50E-01	0.00E+00	0.00E+00	0.00E+00	7.86E-01	0.00E+00
V23	1.86E+00	1.05E+00	0.00E+00	1.82E+00	3.27E-01	1.19E+00	1.14E+00	2.30E+00	1.29E+00
V24	1.93E+00	6.67E-01	8.54E-01	1.15E+00	4.73E-01	6.10E+00	6.78E+00	8.43E+00	3.80E+00
V25	1.35E+00	2.11E+00	3.76E+00	2.33E-01	0.00E+00	2.28E+00	2.31E+00	2.11E+00	3.38E+00
V26	0.00E+00	1.73E+00	3.60E+00	1.45E+00	6.87E-01	0.00E+00	9.00E-01	4.67E-01	4.36E+00
V27	7.67E-01	4.16E-01	1.19E+00	0.00E+00	6.88E+00	1.86E+01	7.14E+00	2.05E+01	4.59E+00
V28	2.96E+00	1.32E+00	1.73E+00	6.15E-01	1.07E+00	1.36E+00	1.13E+00	1.40E+00	2.24E+00
V29	1.34E+00	4.27E-01	3.71E-01	1.35E+00	6.54E+00	2.21E+00	3.20E+00	2.31E+00	4.47E+00
V30	2.67E+00	1.90E+00	3.65E-01	6.05E-01	2.00E-01	3.61E+00	2.24E+00	4.05E+00	2.22E+00
V31	2.01E+00	1.27E+00	4.05E+00	8.46E-01	0.00E+00	1.00E-01	3.42E-01	0.00E+00	3.80E+00
