Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	3.87E+00	9.32E-01	1.25E+00	1.53E+00	7.57E-01	4.59E+00	2.40E+00	4.77E+00	1.65E+00	1.93E+00	1.82E+00	4.09E+00
V2	2.15E+00	3.38E+00	1.09E+00	0.00E+00	1.11E+00	4.13E+00	2.00E-01	3.56E+00	1.12E+00	1.84E+00	1.56E+00	2.80E+00
V3	6.12E+00	2.15E+00	8.27E-01	4.42E-01	6.25E+00	1.81E+00	8.19E-01	2.80E+00	1.36E+00	1.31E+00	2.48E+00	7.42E+00
V4	5.02E+00	5.34E+00	3.27E-01	4.71E-01	1.50E+00	1.29E+00	0.00E+00	3.64E+00	1.53E-01	2.53E+00	5.16E+00	4.00E+00
V5	3.57E+00	2.25E+00	9.24E-01	3.99E+00	3.01E+00	9.63E+00	7.37E-01	1.13E+01	5.37E+00	5.02E+00	4.38E+00	4.59E+00
V6	1.07E+00	4.96E-01	0.00E+00	9.20E-01	2.44E+00	4.55E+00	4.27E-01	3.76E+00	8.06E-01	2.70E+00	8.54E-01	1.78E+00
V7	7.18E-01	0.00E+00	1.51E+00	6.96E-01	1.09E+00	3.42E-01	0.00E+00	4.90E-01	0.00E+00	1.55E+00	8.97E-01	6.05E-01
V8	2.96E+00	1.72E+00	3.59E-01	1.87E+00	3.68E+00	2.16E+00	1.28E+00	2.77E+00	2.59E+00	1.39E+00	2.89E+00	4.46E+00
V9	7.57E-01	7.92E-01	1.87E+00	5.42E-01	9.87E-01	5.31E+00	2.01E+00	5.69E+00	4.73E-01	2.22E+00	9.00E-01	4.01E-01
V10	0.00E+00	8.37E+00	0.00E+00	2.09E+00	0.00E+00	6.18E+00	5.47E-01	6.98E+00	3.26E+00	5.06E+00	9.63E+00	1.71E+00
V11	1.10E+01	1.60E+00	2.29E+00	3.61E+00	1.10E+00	0.00E+00	2.29E+00	0.00E+00	2.70E+00	4.13E+00	0.00E+00	1.34E+01
