MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
5:Del:R:2	1.47E-05	9.44E-05	2.52E-04	5.31E-05	5.39E-10	1.89E-05	1.89E-04	2.45E-04	0.00E+00	5.97E-04	6.72E-04
5:Del:R:3	2.20E-05	4.37E-06	5.35E-05	3.21E-05	1.49E-09	8.76E-05	7.62E-05	2.27E-04	6.37E-05	1.53E-04	3.70E-04
5:Del:R:4	1.55E-05	6.02E-06	1.01E-05	1.96E-05	1.54E-09	1.53E-05	8.92E-06	9.05E-10	4.81E-05	1.75E-05	2.42E-04
5:Del:R:5	8.57E-07	5.51E-06	5.03E-05	2.74E-05	1.50E-09	2.15E-05	5.50E-05	1.02E-04	2.82E-05	1.67E-04	4.97E-04
2:Ins:R:0	1.91E-03	3.04E-03	6.92E-03	4.59E-04	2.29E-04	3.82E-03	1.60E-03	2.23E-03	1.84E-03	7.04E-03	3.60E-03
2:Ins:R:1	7.18E-05	2.30E-04	8.00E-04	6.52E-05	2.95E-05	5.31E-04	1.51E-04	4.89E-04	1.37E-04	9.22E-04	1.42E-03
2:Ins:R:2	4.78E-05	5.03E-05	1.22E-04	1.69E-05	4.74E-09	1.03E-04	6.87E-06	3.05E-05	1.84E-05	7.76E-06	1.16E-08
2:Ins:R:3	2.99E-05	1.49E-05	2.51E-05	0.00E+00	2.04E-09	4.11E-05	2.04E-05	2.75E-06	1.77E-05	4.26E-05	1.77E-04
2:Ins:R:4	2.61E-05	2.75E-05	5.70E-05	8.11E-07	2.92E-09	2.75E-05	1.51E-07	1.00E-05	4.64E-09	5.68E-05	1.57E-04
2:Ins:R:5	1.00E-05	8.75E-06	4.59E-05	0.00E+00	3.29E-09	1.49E-05	2.05E-05	3.85E-05	5.83E-10	6.32E-05	5.52E-05
3:Ins:R:0	1.73E-04	3.90E-04	2.82E-03	3.08E-04	7.49E-05	2.60E-03	2.04E-03	1.97E-03	3.92E-04	5.09E-03	8.14E-04
3:Ins:R:1	1.98E-05	3.95E-05	3.38E-05	6.97E-06	1.51E-09	1.05E-04	1.40E-04	1.33E-04	1.05E-04	1.45E-04	1.90E-04
3:Ins:R:2	1.09E-06	4.03E-06	1.72E-05	0.00E+00	9.98E-09	5.53E-06	1.88E-05	4.27E-08	4.25E-08	3.61E-05	5.70E-05
3:Ins:R:3	3.73E-06	1.11E-06	4.48E-06	0.00E+00	5.99E-06	1.13E-05	6.21E-08	1.13E-07	1.67E-08	1.10E-05	1.33E-05
3:Ins:R:4	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
3:Ins:R:5	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
4:Ins:R:0	2.03E-04	4.36E-04	2.85E-03	2.89E-04	6.53E-05	2.49E-03	1.89E-03	2.13E-03	1.04E-03	5.66E-03	1.51E-03
4:Ins:R:1	6.90E-06	2.64E-06	1.02E-04	4.01E-05	2.53E-09	6.37E-05	1.73E-04	1.33E-04	1.69E-05	2.55E-04	8.22E-06
4:Ins:R:2	8.42E-09	5.45E-06	9.62E-06	0.00E+00	2.08E-09	1.40E-06	3.37E-06	5.47E-08	3.71E-06	3.84E-06	4.32E-08
4:Ins:R:3	5.90E-11	4.54E-06	1.07E-06	0.00E+00	1.48E-08	2.75E-08	5.75E-08	3.85E-06	2.59E-08	5.61E-06	5.86E-05
4:Ins:R:4	4.51E-10	1.12E-08	7.07E-08	6.77E-09	1.12E-09	6.73E-08	7.97E-08	5.67E-06	4.79E-08	1.47E-05	7.48E-05
4:Ins:R:5	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
