Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V88	2:Del:R:5	0.9175428048430598	0.0	0.08226082668920989	0.0	0.0	0.00019636846773029635
V88	3:Del:R:0	0.17886720190728156	0.0	0.8210996594148325	0.0	0.0	3.313867788595981e-05
V88	3:Del:R:1	0.1142808323890049	0.0	0.866331984714004	0.0	0.0	0.019387182896991234
V88	3:Del:R:2	5.64250540565786e-05	0.0	0.9999190201549754	0.0	0.0	2.455479096815029e-05
V88	3:Del:R:3	6.606970823933688e-05	0.0	0.9997352198634009	0.0	0.0	0.00019871042835999374
V88	3:Del:R:4	0.4317691812033948	0.0	0.2001027537242367	0.0	0.0	0.36812806507236856
V88	3:Del:R:5	0.4317691812033948	0.0	0.2001027537242367	0.0	0.0	0.36812806507236856
V88	4:Del:R:0	0.0	0.0	0.6931131575148233	0.0	0.0	0.30688684248517667
V88	4:Del:R:1	0.0	0.0	0.9955989394629974	0.0	0.0	0.004401060537002621
V88	4:Del:R:2	0.7645510257760346	0.0	0.23518224284998873	0.0	0.0	0.00026673137397662417
V88	4:Del:R:3	0.01847932028590171	0.0	4.040765382315086e-06	0.0	0.0	0.9815166389487159
V88	4:Del:R:4	0.4317691812033948	0.0	0.2001027537242367	0.0	0.0	0.36812806507236856
V88	4:Del:R:5	0.9999888017251743	0.0	0.0	0.0	0.0	1.1198274825634272e-05
V88	5:Del:R:0	0.04484868525544031	0.0	0.6599546006263093	0.0	0.0	0.2951967141182504
V88	5:Del:R:1	0.13574757186261724	0.0	0.5476280218153182	0.0	0.0	0.31662440632206457
V88	5:Del:R:2	0.0003451379813808981	0.0	0.9996176761534219	0.0	0.0	3.7185865197238286e-05
V88	5:Del:R:3	0.0006511811673923028	0.0	0.9986437429140405	0.0	0.0	0.0007050759185670979
V88	5:Del:R:4	0.4317691812033948	0.0	0.2001027537242367	0.0	0.0	0.36812806507236856
V88	5:Del:R:5	0.21012361374467234	0.0	0.44631887500922984	0.0	0.0	0.3435575112460979
V88	2:Ins:R:0	0.24637893593213414	0.0	0.6841380875303603	0.0	0.0	0.06948297653750565
V88	2:Ins:R:1	0.010601306276173394	0.0	0.22174637302273706	0.0	0.0	0.7676523207010896
V88	2:Ins:R:2	0.00032752305689338733	0.0	0.8148537385742413	0.0	0.0	0.18481873836886528
V88	2:Ins:R:3	0.7167714634595334	0.0	0.24581953392019645	0.0	0.0	0.037409002620270214
V88	2:Ins:R:4	0.3815428530669506	0.0	0.5963032107135211	0.0	0.0	0.022153936219528384
V88	2:Ins:R:5	0.20722782399024509	0.0	0.6227877824247544	0.0	0.0	0.16998439358500045
V88	3:Ins:R:0	0.6375804990339121	0.0	0.3615977804240886	0.0	0.0	0.0008217205419993081
V88	3:Ins:R:1	0.3065153260062907	0.0	0.6934374648080799	0.0	0.0	4.7209185629479095e-05
V88	3:Ins:R:2	0.4741733472480978	0.0	0.18849689948314546	0.0	0.0	0.33732975326875664
V88	3:Ins:R:3	0.0	0.0	0.5116234551835734	0.0	0.0	0.48837654481642656
V88	3:Ins:R:4	0.0007921876319509475	0.0	0.0013367849163208746	0.0	0.0	0.9978710274517282
V88	3:Ins:R:5	0.9994089301728969	0.0	0.0	0.0	0.0	0.0005910698271031888
V88	4:Ins:R:0	0.00019015815251412669	0.0	0.9996770039103893	0.0	0.0	0.00013283793709666127
V88	4:Ins:R:1	0.7076557052826133	0.0	0.15298809387128817	0.0	0.0	0.13935620084609854
V88	4:Ins:R:2	0.72839454560942	0.0	0.27147165100562026	0.0	0.0	0.00013380338495977686
V88	4:Ins:R:3	0.2847020281838667	0.0	0.3758304976348855	0.0	0.0	0.33946747418124773
V88	4:Ins:R:4	0.00531949985363814	0.0	0.0002947063370615949	0.0	0.0	0.9943857938093001
V88	4:Ins:R:5	0.7135717106493275	0.0	0.28642828935067255	0.0	0.0	0.0
V88	5:Ins:R:0	0.3218956969080535	0.0	0.1337110539934771	0.0	0.0	0.5443932490984694
V88	5:Ins:R:1	0.0036681388589852176	0.0	0.014691229110388613	0.0	0.0	0.9816406320306261
V88	5:Ins:R:2	0.0006340284811506733	0.0	0.9974073717181436	0.0	0.0	0.0019585998007056473
V88	5:Ins:R:3	0.8327793318318113	0.0	0.010168793596005136	0.0	0.0	0.1570518745721836
V88	5:Ins:R:4	0.9997833146894938	0.0	6.560960150859754e-05	0.0	0.0	0.00015107570899766976
V88	5:Ins:R:5	0.8181802592902344	0.0	0.010645285495430019	0.0	0.0	0.17117445521433566
V88	2:Del:M:1	0.36797285168298133	0.0	0.5871273782178318	0.0	0.0	0.04489977009918692
V88	3:Del:M:1	0.4063531109467166	0.0	0.4756717505960196	0.0	0.0	0.1179751384572637
V88	3:Del:M:2	0.3950363042797936	0.0	0.47529480515503736	0.0	0.0	0.1296688905651691
V88	4:Del:M:1	0.021167890390536733	0.0	0.022075651740222517	0.0	0.0	0.9567564578692408
V88	4:Del:M:2	1.2915716771170994e-05	0.0	0.9390520013428588	0.0	0.0	0.06093508294036982
V88	4:Del:M:3	0.06114125849170991	0.0	0.9388138855709526	0.0	0.0	4.485593733736876e-05
V88	5:Del:M:1	0.9839661682700872	0.0	0.01603377136838046	0.0	0.0	6.036153226179216e-08
V88	5:Del:M:2	4.6225352242082736e-05	0.0	0.9996202728698264	0.0	0.0	0.0003335017779317023
V88	5:Del:M:3	0.4035806063792236	0.0	0.4620178977534773	0.0	0.0	0.13440149586729896
V88	5:Del:M:4	0.42898839797972643	0.0	0.5709667621934464	0.0	0.0	4.483982682712877e-05
V88	5:Del:M:5	0.945261119704427	0.0	0.038953418524630294	0.0	0.0	0.01578546177094265
V89	1:Del:C:0	0.006558815277865677	0.015415493479804034	0.9574037134281352	0.0005451631001546002	0.02007656777881276	2.469352275733944e-07
V89	1:Del:C:1	0.04484099946841375	0.04574110180059028	0.865866504618683	0.00013164683233717612	0.04341924913314132	4.981468345803696e-07
V89	1:Del:C:2	4.114172966631624e-05	1.0201452554615702e-05	0.7317715951947091	0.005775392582270016	0.24440431145407626	0.017997357586723578
V89	1:Del:C:3	0.00504724268792558	0.6429854407923459	0.30018545607556274	0.03249215232119417	0.019271972021160187	1.7736101811546685e-05
V89	1:Del:C:4	0.03171195941148132	0.27134436493143466	0.6478376270486518	0.026601689281567614	0.005946143911005051	0.01655821541585951
