NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	56.344	22.24	14.093	14.127	0.131	0.986	40000.0
2	53.689	21.397	13.024	13.183	0.132	0.987	20000.0
3	64.947	25.989	18.287	18.089	0.14	0.977	20000.0
4	55.542	22.282	13.496	13.53	0.13	0.988	30000.0
5	54.959	22.041	13.478	13.561	0.131	0.988	40000.0
6	53.36	21.505	12.998	13.233	0.129	0.988	40000.0
7	52.304	20.824	13.134	13.375	0.127	0.986	50000.0
8	50.473	20.414	12.096	12.336	0.131	0.989	60000.0
9	54.14	21.773	12.896	13.357	0.131	0.988	40000.0
10	54.795	22.163	12.839	13.176	0.134	0.989	30000.0
