Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	0	90	152	33	22	0	24	0	5	2	0
V2	109	1	11	0	9	6	0	17	21	12	29
V3	16	73	0	52	13	39	0	5	27	23	17
V4	589	3	18	0	0	6	24	220	0	11	0
V5	188	226	0	48	12	0	53	109	3	5	1
V6	13	6	149	49	0	0	37	6	0	0	0
V7	6	99	38	60	2	0	27	1	0	5	0
V8	0	45	1	0	71	57	0	3	79	46	0
V9	24	12	22	4	24	65	30	8	3	16	2
V10	58	1	95	21	0	4	38	26	0	0	0
V11	36	4	12	135	2	0	135	2	0	0	0
V12	0	0	24	16	55	0	16	0	70	11	43
V13	207	75	8	6	0	0	11	36	0	6	3
V14	31	5	0	2	29	32	0	3	23	49	39
V15	0	3	1	26	1	0	9	0	7	0	4
V16	100	0	3	34	12	0	0	8	19	1	43
V17	5	0	34	14	51	118	13	7	18	89	0
V18	1	0	0	4	0	22	15	1	0	0	0
V19	25	4	56	5	45	24	3	3	6	0	0
V20	3	38	144	21	118	29	0	3	38	20	30
V21	0	120	12	27	50	171	0	1	37	43	0
V22	117	49	47	42	7	0	84	34	5	18	9
V23	36	0	241	0	144	110	0	17	29	0	28
V24	4	26	19	48	5	0	26	1	5	0	0
V25	11	39	53	120	87	48	2	3	51	5	29
V26	15	32	33	58	2	59	16	10	12	0	37
V27	21	93	0	0	27	0	0	25	28	1	51
V28	57	2	42	0	20	0	0	4	1	0	6
V29	1	2	127	203	36	180	13	4	32	0	8
V30	13	10	27	34	60	39	3	4	299	14	39
V31	61	13	7	1	21	0	0	14	4	0	0
V32	4	0	122	64	2	0	0	2	0	0	1
V33	114	6	10	0	0	49	0	19	14	20	111
V34	26	121	0	0	81	2	0	37	52	9	20
V35	127	9	0	1	269	108	0	74	29	53	172
V36	0	0	27	10	5	0	13	0	2	8	0
V37	0	279	167	19	16	64	24	8	6	77	27
V38	2	68	0	30	14	1	35	0	0	1	0
V39	2	0	136	10	1	25	3	0	0	17	1
V40	7	69	29	52	0	22	20	1	0	22	1
V41	124	17	25	0	54	9	0	149	20	33	0
V42	4	1	23	66	0	0	31	6	0	9	0
V43	1	3	17	8	0	37	16	1	2	31	0
V44	25	7	55	18	19	26	41	10	24	0	19
V45	75	31	4	30	14	189	0	25	2	12	8
V46	13	0	36	8	30	95	0	8	16	49	0
V47	64	0	48	31	0	34	58	53	0	36	0
V48	39	0	65	0	42	58	15	39	25	59	5
V49	57	0	179	154	0	0	72	21	9	0	19
V50	123	17	26	25	0	106	73	27	0	97	1
V51	0	128	14	38	1	0	125	1	0	0	7
V52	25	85	21	28	35	0	31	6	13	2	36
V53	150	10	4	0	1	14	9	18	0	14	0
V54	6	1	27	10	14	13	0	0	14	0	8
V55	12	389	1	4	16	0	39	11	21	3	0
V56	36	122	9	33	25	0	91	82	30	0	0
V57	11	11	0	0	70	59	0	5	24	3	0
V58	37	218	30	2	281	3	19	11	54	1	0
V59	5	10	85	21	20	0	0	2	5	0	6
V60	85	96	9	219	11	0	52	21	8	3	35
V61	3	62	121	27	154	0	42	0	49	0	0
V62	1	19	7	7	17	0	7	3	5	3	5
V63	156	19	0	112	149	4	31	58	136	4	14
V64	3	54	9	40	0	81	22	5	0	6	1
V65	150	82	7	102	74	55	26	47	10	80	0
V66	0	0	125	0	2	0	7	0	0	2	0
V67	5	4	0	86	0	176	134	5	0	33	0
V68	28	0	34	0	64	0	0	6	35	0	15
V69	10	433	0	64	137	70	6	7	58	39	0
V70	59	28	0	10	9	0	13	13	5	0	0
V71	12	9	2	3	37	32	0	8	0	23	0
V72	16	0	0	41	5	7	25	9	0	16	2
V73	31	15	39	233	33	0	7	19	3	17	0
V74	92	71	8	4	14	5	0	61	2	8	7
V75	24	60	21	0	13	2	0	24	9	13	52
V76	70	8	15	10	0	44	0	46	0	7	1
V77	75	0	0	50	11	15	28	94	7	20	14
V78	50	0	78	0	28	54	6	26	10	27	1
V79	238	0	0	75	43	37	0	19	4	59	40
V80	5	87	2	4	53	5	0	1	32	0	40
V81	2	6	96	62	160	0	42	0	24	1	108
V82	0	0	101	17	11	32	14	2	7	31	0
V83	9	1	2	56	13	0	42	0	13	0	0
V84	0	33	0	16	2	0	13	0	8	0	18
V85	145	19	6	51	0	0	24	234	0	19	0
V86	0	0	4	0	61	0	0	1	36	0	9
V87	54	132	2	1	0	2	0	4	0	2	1
V88	8	0	15	11	48	0	16	18	18	0	11
V89	4	42	200	17	45	49	0	1	46	1	0
V90	12	46	39	169	0	0	95	4	0	0	0
V91	11	2	124	98	10	44	0	4	19	10	16
V92	86	25	49	5	7	0	0	29	0	24	6
V93	31	0	4	33	45	53	0	3	0	74	0
V94	53	0	13	2	0	13	0	10	0	1	0
V95	2	0	2	14	19	115	0	4	3	71	0
V96	38	56	150	1	2	0	1	5	0	0	1
V97	22	36	0	170	4	24	85	9	2	6	21
V98	11	78	66	12	0	0	7	2	0	2	0
V99	15	131	105	28	17	45	32	3	1	0	0
V100	0	80	29	1	116	12	0	0	9	17	10
