NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.733	25.995	15.858	16.558	0.146	0.981	30000.0
2	64.643	26.483	16.107	17.216	0.151	0.979	70000.0
3	68.243	27.934	17.168	18.117	0.156	0.979	30000.0
4	68.854	28.82	17.213	18.676	0.163	0.977	70000.0
5	67.449	28.102	17.059	18.569	0.155	0.976	20000.0
6	63.18	25.864	15.268	16.26	0.15	0.982	40000.0
7	72.145	29.631	18.355	19.784	0.159	0.973	40000.0
8	63.169	25.27	15.413	16.159	0.146	0.982	30000.0
9	66.009	27.673	16.57	17.974	0.151	0.978	50000.0
10	69.313	28.113	17.559	18.437	0.16	0.977	70000.0
