Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	17	27	0	20	118	2	0	27	53	4	0	0	0	0	0	0	1	0
V2	8	1	8	8	1	3	8	6	0	5	18	0	0	0	3	0	0	1
V3	6	0	8	46	0	5	4	6	4	12	7	17	0	7	8	4	0	0
V4	44	5	25	8	5	162	47	13	4	12	18	7	0	0	7	0	9	3
V5	0	114	17	45	0	1	0	25	1	0	51	8	47	0	11	0	18	11
V6	25	1	28	37	47	0	4	12	77	0	0	0	0	0	2	0	0	0
V7	95	3	0	18	116	12	48	0	91	40	3	0	0	1	8	12	18	0
V8	109	0	12	16	9	0	1	0	4	2	4	12	0	0	5	16	0	6
V9	34	62	2	26	3	10	26	13	0	25	0	0	2	6	6	0	5	5
V10	8	68	141	174	220	15	1	76	69	38	0	15	0	9	20	20	14	0
V11	168	21	1	0	2	7	8	0	17	7	0	0	0	3	6	0	8	0
V12	148	0	59	8	0	13	8	30	1	12	6	11	26	4	7	21	0	12
V13	86	15	0	4	5	0	3	0	2	13	0	1	0	1	2	0	4	9
V14	7	0	1	7	0	5	19	1	0	2	0	2	51	5	23	0	12	0
V15	2	70	30	0	19	1	0	2	2	0	0	0	0	3	0	1	0	0
V16	0	7	3	0	9	57	45	0	3	36	0	10	21	0	7	0	3	0
V17	0	8	98	9	7	1	0	48	3	0	0	0	0	0	0	0	2	0
V18	29	0	4	19	3	0	0	47	7	8	4	50	0	5	1	0	7	0
V19	98	0	0	39	0	0	0	0	0	0	6	25	0	12	6	0	14	0
V20	169	30	14	19	0	26	32	25	1	17	19	0	0	31	31	0	6	10
V21	5	32	33	35	9	14	4	0	9	12	24	19	5	16	14	0	6	1
V22	0	263	28	17	4	24	66	0	5	18	45	0	64	12	6	2	0	6
V23	5	78	32	40	46	36	21	17	35	12	7	0	93	0	3	0	29	7
V24	0	59	0	46	5	106	48	0	6	90	15	0	5	14	19	0	3	11
V25	6	5	0	15	6	79	71	0	2	34	1	14	0	0	15	0	0	0
V26	9	73	0	4	5	9	3	25	6	5	1	0	0	25	7	0	1	8
V27	5	10	49	11	17	84	48	56	16	33	6	16	0	0	0	0	0	0
V28	21	0	24	30	32	4	13	0	66	10	8	36	0	11	6	0	11	3
V29	129	0	0	0	1	0	0	0	0	0	0	4	0	0	1	5	0	7
V30	80	4	7	9	11	0	0	0	14	0	3	0	0	0	6	20	6	1
V31	0	0	0	18	0	2	0	8	0	0	3	89	0	20	12	0	0	0
V32	20	14	25	10	6	10	0	39	4	3	0	0	0	10	3	0	0	0
V33	20	1	17	0	3	8	20	7	1	3	0	0	0	2	1	3	0	0
V34	1	89	50	22	37	1	0	11	57	0	24	0	51	25	6	0	18	0
V35	89	7	3	20	57	5	32	0	38	2	0	0	0	0	1	70	5	0
V36	73	27	0	33	5	120	105	0	8	46	29	0	0	8	55	29	19	12
V37	34	90	37	8	3	8	0	6	6	4	70	0	0	4	7	0	2	0
V38	22	0	10	26	27	0	7	0	36	0	0	0	0	0	1	51	7	3
V39	0	11	62	17	10	16	17	6	16	12	2	14	37	8	26	0	11	0
V40	396	8	11	22	31	33	26	5	43	0	25	10	0	14	23	0	7	65
V41	5	0	0	11	0	7	9	0	6	11	13	12	5	9	10	0	0	0
V42	131	27	68	1	18	0	1	152	11	0	0	0	13	7	3	14	11	3
V43	6	15	0	25	0	155	109	1	4	77	24	36	25	0	18	0	56	6
V44	0	62	17	3	4	6	13	0	0	1	11	5	44	0	0	15	0	0
V45	61	16	0	10	25	50	64	6	13	116	0	0	20	0	13	0	3	1
V46	0	0	0	150	107	0	0	0	45	0	123	39	15	0	25	0	0	0
V47	89	1	13	0	21	0	0	1	12	0	0	0	0	0	0	20	0	2
V48	3	0	0	34	0	15	2	0	0	25	81	23	5	0	22	0	8	0
V49	43	13	31	0	15	8	3	25	4	18	2	1	0	0	1	0	12	4
V50	0	0	118	134	0	0	0	45	1	1	42	78	102	0	1	0	42	0
V51	0	231	6	37	69	1	0	0	27	3	1	5	25	0	1	0	1	1
