NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	207.303	66.216	72.277	52.814	0.411	0.834	40000.0
2	203.702	67.973	70.274	53.095	0.431	0.823	20000.0
3	203.836	64.959	71.065	51.653	0.408	0.837	20000.0
4	207.247	66.752	71.88	52.799	0.421	0.831	20000.0
5	206.891	68.241	72.058	53.62	0.421	0.82	30000.0
6	211.881	67.272	76.36	53.128	0.414	0.818	20000.0
7	203.327	66.005	69.743	52.227	0.426	0.836	20000.0
8	206.621	68.511	71.883	53.998	0.422	0.817	40000.0
9	202.699	65.34	69.054	50.975	0.419	0.84	30000.0
10	205.612	68.314	71.606	53.337	0.434	0.821	30000.0
