Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	72	4	14	14	55	55	22	12	0	2	0	23	36	0	7	0	0	8	0
V2	50	0	45	107	17	32	0	13	23	13	23	8	0	12	40	0	0	0	3
V3	79	83	71	8	16	28	65	2	0	0	7	61	9	0	0	42	0	0	0
V4	14	2	37	0	19	23	0	15	2	4	13	4	6	22	7	47	21	3	0
V5	51	110	7	2	7	3	8	0	10	9	0	0	1	11	9	0	0	0	0
V6	42	0	96	1	22	8	5	0	1	9	4	2	0	0	2	1	0	0	3
V7	18	0	33	13	0	2	48	0	0	7	0	18	57	11	0	0	0	7	0
V8	62	0	15	0	18	49	9	0	0	6	5	5	7	0	2	14	4	0	0
V9	193	42	1	10	57	33	1	4	11	5	0	0	0	0	2	0	9	0	0
V10	48	39	69	8	99	26	14	1	0	15	0	12	14	0	0	0	0	10	5
V11	4	49	0	0	27	20	1	0	6	0	0	0	2	0	0	0	0	0	0
V12	41	51	3	4	16	9	13	0	1	9	6	12	14	0	6	25	0	0	0
V13	0	35	33	0	2	0	0	0	7	1	5	0	5	14	2	0	0	0	11
V14	19	7	107	9	9	6	12	10	9	0	0	0	2	3	0	0	0	10	0
V15	70	0	0	21	21	23	2	28	17	9	30	0	0	46	18	7	0	0	0
V16	14	15	0	19	23	22	31	27	8	2	41	11	7	0	4	0	6	0	0
V17	16	22	27	1	2	13	4	0	4	0	4	18	11	0	2	0	0	0	7
V18	168	64	21	11	3	0	12	27	15	39	12	19	8	26	8	0	11	0	0
V19	113	14	3	4	2	1	48	4	0	18	0	5	18	0	9	0	0	0	0
V20	5	3	34	0	82	76	3	0	0	11	0	0	0	0	0	0	0	0	4
V21	240	13	20	6	24	42	0	17	4	34	7	0	0	0	3	0	0	3	0
V22	62	163	25	42	29	45	37	25	37	12	0	11	16	0	0	123	60	8	33
V23	23	82	33	1	36	27	0	0	30	0	0	11	3	0	6	13	31	0	0
V24	176	6	2	35	23	35	2	2	30	24	17	3	12	19	13	13	0	0	0
V25	2	22	29	0	47	38	20	0	0	0	0	94	0	3	6	35	22	0	7
V26	9	62	3	0	26	24	6	0	2	9	4	0	5	0	3	0	0	0	2
V27	12	14	2	7	87	65	0	5	0	7	0	6	12	2	3	10	0	0	0
V28	199	1	131	0	0	0	2	1	0	12	1	16	17	0	0	0	0	5	0
V29	15	7	131	0	13	29	4	45	41	0	109	14	24	36	17	0	0	0	1
V30	43	6	9	18	27	43	81	0	0	2	26	18	36	0	14	22	0	0	2
V31	2	48	8	2	9	16	0	0	0	0	3	0	0	4	3	0	0	0	0
V32	0	44	28	0	30	18	0	1	4	0	3	0	5	1	0	0	0	14	0
V33	75	60	2	0	10	10	12	0	12	18	21	0	8	3	0	0	3	0	1
V34	11	36	46	0	0	2	1	19	0	0	11	0	5	2	3	0	0	0	5
V35	42	14	0	2	39	54	23	0	0	0	0	0	5	17	4	0	0	0	0
V36	75	0	47	11	2	2	0	17	29	10	0	0	1	16	8	0	0	0	0
V37	164	529	6	0	1	3	14	0	59	21	0	22	11	0	8	0	0	0	0
V38	127	8	1	10	1	0	6	7	0	13	0	0	3	12	7	0	0	0	0
V39	20	2	8	21	7	16	1	54	17	6	0	3	1	0	10	16	0	0	5
V40	8	6	20	19	149	51	11	14	3	0	0	3	5	0	1	0	0	0	0
V41	53	0	155	109	4	4	11	86	17	11	0	4	6	9	22	0	0	6	18
V42	0	5	151	4	4	15	1	3	3	0	0	0	0	23	5	10	0	0	7
V43	58	32	17	46	0	6	7	13	10	11	0	5	0	0	65	73	33	0	0
V44	119	25	1	4	0	0	27	0	1	28	0	0	14	1	2	11	0	0	0
V45	0	28	206	1	43	23	0	0	8	1	5	0	0	0	2	0	0	0	6
V46	13	224	39	0	12	43	8	0	30	0	1	0	12	0	5	4	0	0	0
V47	24	68	74	18	21	5	17	16	29	4	4	2	44	64	6	0	0	0	0
V48	2	30	107	53	8	12	0	18	29	9	0	0	4	11	8	12	0	0	0
V49	21	175	43	6	12	6	22	2	26	2	0	0	4	0	9	20	0	0	0
V50	11	4	15	0	8	0	5	1	0	4	2	3	2	12	1	0	0	9	0
V51	177	304	16	11	7	0	61	11	103	41	12	39	43	0	0	42	0	0	7
V52	144	0	131	11	2	5	11	7	10	21	7	2	28	1	2	0	0	78	0
V53	250	8	2	0	43	22	55	13	7	23	0	3	3	0	0	0	0	0	0
V54	146	1	32	40	1	2	40	10	14	26	0	25	5	0	21	0	0	0	0
V55	96	5	45	13	4	0	9	15	5	8	28	0	0	0	6	0	0	0	0
V56	3	48	6	0	9	15	3	0	9	2	2	3	2	22	0	0	0	0	2
V57	143	194	113	11	0	0	18	3	0	44	15	11	10	0	1	5	23	18	0
V58	278	0	65	2	0	5	39	13	0	5	1	6	0	0	3	5	4	29	2
V59	13	8	83	48	28	21	11	5	0	0	12	2	2	0	20	15	0	8	5
V60	40	36	110	2	0	0	0	0	0	6	0	0	6	30	0	0	0	0	11
V61	257	54	9	129	8	11	3	152	21	18	0	10	2	55	9	16	0	0	0
V62	0	0	51	1	3	0	3	19	2	0	0	4	0	0	6	2	0	7	5
V63	9	44	18	22	51	40	90	7	5	4	16	26	16	0	18	0	2	0	0
V64	9	0	4	0	11	8	18	0	0	0	0	4	18	0	0	14	0	0	0
V65	33	28	70	15	1	7	6	12	2	4	7	4	12	0	10	13	6	0	0
V66	73	1	0	9	17	10	37	14	0	15	0	71	86	2	13	20	0	0	4
V67	4	7	105	11	0	3	15	25	0	4	62	9	0	46	19	0	32	0	8
V68	0	3	3	0	39	94	0	0	0	0	0	0	0	0	0	0	0	0	0
V69	5	8	14	0	3	4	10	0	0	0	0	0	2	0	5	0	0	0	0
V70	437	44	46	0	15	73	0	0	2	39	0	1	0	0	0	0	0	0	0
V71	53	49	0	6	37	19	11	12	2	16	0	1	0	0	5	0	0	0	0
V72	14	265	145	0	0	0	0	0	27	0	16	0	0	0	2	0	0	0	0
V73	27	30	5	67	18	56	0	9	12	0	40	0	0	104	33	0	0	0	0
V74	1	6	71	0	17	32	1	0	0	2	0	0	0	0	0	0	0	6	3
V75	24	0	103	62	0	0	0	79	31	11	48	2	11	0	24	0	0	12	2
V76	100	9	24	91	12	12	3	1	13	6	9	1	6	0	1	0	21	0	0
V77	17	40	2	25	19	9	15	0	16	6	6	0	0	0	1	0	0	0	2
V78	66	60	16	1	23	9	2	0	0	6	5	0	1	0	0	0	0	0	0
V79	59	59	17	0	21	32	29	28	7	8	19	9	28	0	9	26	15	0	0
V80	82	25	120	12	0	2	0	13	3	4	15	0	0	0	0	0	0	0	29
V81	43	1	29	123	13	8	37	40	6	9	70	15	14	0	5	5	0	0	0
V82	108	45	0	23	3	5	18	0	9	20	1	41	2	35	2	0	16	0	0
V83	25	0	4	0	4	3	5	0	0	2	0	3	10	0	5	0	0	0	1
V84	16	163	0	46	0	1	37	13	7	2	17	27	9	44	11	0	0	1	0
V85	312	35	49	46	20	17	3	18	21	21	0	25	6	2	12	3	0	5	0
V86	74	2	25	32	12	11	4	35	18	20	0	3	0	0	33	0	29	0	0
V87	174	38	53	50	3	2	2	10	7	3	16	8	4	52	5	0	25	21	0
V88	68	0	0	10	6	13	0	9	1	2	7	0	0	0	5	0	2	0	0
V89	35	92	17	5	0	5	1	0	15	9	1	0	0	0	11	1	0	0	0
V90	179	1	18	0	27	8	0	0	3	14	0	0	0	0	0	0	0	0	0
V91	9	110	114	14	4	1	30	11	3	2	0	7	17	0	7	9	0	13	0
V92	149	10	11	19	0	3	103	8	5	19	7	38	20	9	8	8	0	0	0
V93	17	25	59	25	1	14	0	1	5	2	42	0	0	3	2	0	0	0	0
V94	17	4	4	5	0	0	0	3	2	0	14	0	3	20	3	0	0	0	3
V95	4	143	1	26	0	0	1	51	18	0	51	0	0	2	23	0	0	0	0
V96	11	0	112	39	27	25	2	6	29	2	16	0	21	7	8	1	0	0	5
V97	14	13	3	14	2	1	8	5	0	9	0	10	12	0	6	0	0	0	3
V98	176	43	51	0	0	1	5	0	13	19	12	5	11	0	4	0	0	16	2
V99	28	0	24	41	21	18	0	10	6	7	0	1	0	7	0	0	0	0	0
V100	307	3	1	6	13	15	30	0	0	69	6	35	0	0	5	15	0	0	0
