Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	15	2	125	156	8	32	67	4	72	0	0	19
V2	16	110	15	10	0	1	3	41	18	19	15	0
V3	26	13	44	116	15	0	21	95	0	0	0	23
V4	12	7	129	267	26	17	33	234	29	0	0	8
V5	35	175	51	3	146	26	15	0	12	8	0	0
V6	44	63	43	0	6	2	0	0	6	12	0	0
V7	184	16	24	87	75	8	33	13	74	0	41	42
V8	128	28	92	0	20	115	69	26	0	0	151	5
V9	31	50	23	0	98	32	103	10	0	30	0	0
V10	1	11	0	1	0	2	0	0	2	0	0	0
V11	17	91	11	106	44	0	0	73	103	1	19	6
V12	66	0	0	22	135	11	7	9	3	47	0	4
V13	75	24	18	66	66	62	48	16	0	39	0	0
V14	14	0	0	55	2	10	8	8	33	0	0	50
V15	24	5	46	32	17	0	5	6	8	48	0	0
V16	28	26	4	14	5	26	47	53	1	10	0	0
V17	7	32	66	134	264	33	21	21	0	0	11	8
V18	0	102	16	8	3	17	40	0	5	0	15	0
V19	87	10	25	54	6	31	21	14	18	0	61	21
V20	153	135	32	0	0	24	48	0	0	0	56	0
V21	5	13	0	0	32	7	1	0	0	97	0	0
V22	32	4	76	3	47	14	5	26	8	45	23	12
V23	25	65	0	16	20	0	2	0	9	0	0	8
V24	10	61	1	86	9	7	0	27	115	0	0	0
V25	162	6	0	0	15	4	0	30	11	47	92	2
V26	0	62	90	36	0	4	34	11	14	0	32	24
V27	109	25	0	8	87	170	9	11	0	31	0	16
V28	5	96	18	15	5	26	6	26	23	0	44	30
V29	0	22	118	37	24	37	48	31	21	0	0	93
V30	67	22	6	249	0	0	0	91	187	0	5	86
V31	108	37	1	158	4	6	6	62	132	0	76	13
V32	12	46	0	1	14	39	41	4	13	0	0	0
V33	0	76	90	6	3	50	6	0	48	10	5	0
V34	37	103	42	82	106	5	0	0	0	26	88	37
V35	45	145	123	0	0	86	29	17	0	32	10	0
V36	9	5	11	2	5	8	13	0	1	0	0	0
V37	74	78	0	27	5	1	0	0	38	21	0	4
V38	8	62	197	0	17	0	0	0	0	36	42	5
V39	33	0	0	3	4	12	0	2	8	0	0	2
V40	3	13	0	57	19	104	1	6	2	5	67	23
V41	0	18	15	6	14	72	33	28	25	16	153	0
V42	79	21	85	12	107	154	251	21	2	126	0	0
V43	1	209	8	78	10	48	34	58	0	9	0	24
V44	0	17	100	12	42	32	20	0	10	57	0	11
V45	61	6	26	1	19	5	1	0	0	24	0	5
V46	0	44	2	12	409	0	0	0	13	41	0	0
V47	40	24	34	13	0	284	129	23	0	0	17	25
V48	170	43	1	28	35	113	53	24	5	5	0	17
V49	62	1	0	132	9	7	9	38	0	22	0	3
V50	46	7	33	0	0	0	6	0	0	16	2	0
V51	88	17	51	68	25	0	0	48	47	5	0	42
V52	88	25	47	131	26	0	0	24	50	58	10	70
V53	4	27	49	65	0	1	4	15	29	0	0	27
V54	0	63	0	0	5	4	22	0	0	1	17	7
V55	39	103	11	13	19	2	29	27	0	0	0	0
V56	6	13	0	0	34	1	1	1	0	1	5	1
V57	78	8	10	158	0	11	0	94	134	0	8	180
V58	126	5	97	49	21	2	7	2	0	6	12	0
V59	40	24	39	12	1	7	0	0	5	18	0	1
V60	5	0	43	61	43	67	39	57	20	0	0	0
V61	2	5	79	11	8	106	0	14	0	29	0	0
V62	14	0	349	28	108	12	20	18	12	75	0	0
V63	204	34	0	119	0	246	327	21	9	4	40	16
V64	14	97	0	14	2	23	2	0	10	0	8	3
V65	51	235	47	1	0	9	5	0	9	14	3	8
V66	53	24	12	0	53	23	48	0	5	0	0	22
V67	36	77	47	5	0	0	3	56	18	35	0	7
V68	121	45	8	92	101	12	10	55	75	0	0	0
V69	31	0	0	22	0	0	0	12	13	10	0	33
V70	11	34	91	0	0	5	10	1	7	0	0	0
V71	5	34	0	33	60	0	0	4	18	91	0	1
V72	0	0	160	182	0	0	0	116	138	0	1	31
V73	0	15	98	31	0	34	16	11	15	39	0	38
V74	85	22	9	45	139	9	0	1	0	5	0	6
V75	369	26	9	15	59	29	75	9	9	0	0	0
V76	67	3	0	5	7	18	12	2	0	33	0	0
V77	3	0	29	2	7	1	0	3	0	0	0	0
V78	175	3	12	6	19	0	0	4	2	2	4	15
V79	164	0	67	31	1	4	2	26	0	0	0	20
V80	881	19	15	37	6	14	38	10	43	0	6	1
V81	6	8	30	83	0	5	3	8	35	0	18	0
V82	1	54	2	24	1	17	4	12	0	0	14	1
V83	12	0	3	1	0	5	17	15	8	0	23	11
V84	0	100	0	3	21	0	0	0	0	16	0	6
V85	0	21	0	1	29	0	0	2	2	17	0	2
V86	73	0	4	6	1	6	19	0	2	4	0	0
V87	18	0	12	11	0	18	7	9	12	2	0	2
V88	16	17	0	59	162	14	0	5	0	27	0	45
V89	55	0	16	0	0	19	17	0	0	9	19	3
V90	33	511	5	4	17	2	10	5	0	0	46	10
V91	0	59	69	6	0	13	17	7	7	14	2	0
V92	6	225	5	0	50	0	0	0	16	30	0	0
V93	42	153	24	0	55	32	6	6	6	64	0	4
V94	38	12	17	0	17	45	0	29	27	0	44	40
V95	2	13	338	2	0	58	27	11	5	9	0	0
V96	3	11	27	17	6	11	12	7	0	0	0	0
V97	1	15	342	1	13	7	9	0	0	0	0	4
V98	45	46	67	4	54	0	1	0	2	1	1	0
V99	27	80	4	29	13	5	22	11	23	0	48	3
V100	60	18	1	0	30	1	0	1	5	23	0	1
