NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	57.447	23.447	13.765	14.683	0.124	0.985	40000.0
2	56.27	22.653	13.548	14.531	0.117	0.984	60000.0
3	56.409	23.263	13.258	14.238	0.125	0.986	50000.0
4	56.862	23.025	13.81	14.702	0.122	0.985	70000.0
5	55.154	22.614	13.181	14.141	0.118	0.986	30000.0
6	55.524	22.593	12.923	13.828	0.123	0.986	20000.0
7	57.413	23.57	13.948	15.095	0.123	0.984	40000.0
8	58.543	23.544	14.205	14.909	0.123	0.985	20000.0
9	53.355	21.61	12.279	13.149	0.118	0.987	40000.0
10	57.621	23.08	13.859	14.396	0.124	0.986	30000.0
