NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	130.479	23.743	26.935	14.915	0.099	0.983	60000.0
2	130.72	24.144	26.341	14.87	0.103	0.983	80000.0
3	130.766	23.458	26.984	14.606	0.097	0.984	90000.0
4	130.054	23.774	26.6	14.779	0.1	0.984	90000.0
5	129.371	23.46	26.332	14.473	0.099	0.985	190000.0
6	125.756	23.663	25.413	14.863	0.101	0.983	70000.0
7	127.283	23.451	25.908	14.559	0.1	0.985	80000.0
8	131.252	24.107	27.205	15.087	0.101	0.983	80000.0
9	130.361	23.847	26.482	14.826	0.102	0.983	140000.0
10	129.352	23.484	26.57	14.579	0.099	0.984	70000.0
