Samples	ID83A	ID83B	ID83C	ID83D
V1	4.87E+00	9.90E+00	8.75E+00	4.01E-01
V2	3.42E+00	2.20E+01	2.36E+01	1.28E+00
V3	5.03E+00	3.53E+00	7.56E+00	4.88E+00
V4	1.98E+00	4.92E+00	4.27E+00	2.50E+00
V5	2.89E+00	1.65E+00	9.32E-01	2.63E+00
V6	1.58E+00	2.53E+00	3.07E+00	0.00E+00
V7	3.91E+00	3.40E+00	5.80E+00	1.26E+00
V8	2.83E+00	6.39E+00	7.96E+00	3.00E-01
V9	5.55E+00	5.21E+00	1.02E+01	2.26E+00
V10	2.24E+00	1.20E+01	1.22E+01	1.54E+00
V11	6.18E-01	4.80E+00	5.34E+00	1.88E+00
V12	2.80E+00	1.90E+00	3.93E+00	1.84E+00
V13	0.00E+00	2.02E+00	1.09E+00	1.43E+00
V14	1.08E+00	3.23E+00	3.13E+00	1.74E+00
V15	4.43E+00	1.14E+01	1.57E+01	3.08E+00
V16	3.50E+00	9.01E+00	1.14E+01	1.98E+00
V17	2.98E+00	2.45E+00	1.99E+00	2.71E+00
V18	6.09E+00	6.38E+00	8.63E+00	3.99E+00
V19	9.10E+00	9.67E-01	9.47E+00	1.77E+00
V20	1.36E+00	1.56E+01	1.63E+01	4.00E-01
V21	4.45E+00	2.62E+00	4.83E+00	1.54E+00
V22	5.89E+00	1.02E+01	1.52E+01	6.77E+00
V23	6.57E-01	5.94E+00	6.05E+00	2.30E+00
V24	7.53E+00	7.67E+00	1.32E+01	1.65E+00
V25	2.42E+00	8.65E+00	8.55E+00	2.24E+00
V26	1.59E+00	4.01E+00	5.80E+00	2.74E+00
V27	1.61E+00	1.61E+01	1.59E+01	1.61E+00
V28	3.55E+00	3.70E+00	2.00E+00	5.81E-01
V29	2.83E+00	1.59E+01	1.74E+01	2.16E+00
V30	3.40E+00	6.63E+00	5.24E+00	1.66E+00
V31	5.17E-01	2.66E+00	2.87E+00	1.24E+00
V32	1.08E+00	3.42E+00	4.76E+00	1.68E+00
V33	2.83E+00	1.11E+00	2.64E+00	2.25E+00
V34	1.15E+00	4.99E+00	2.53E+00	2.63E+00
V35	2.84E+00	7.40E+00	8.24E+00	1.58E+00
V36	2.90E+00	5.62E+00	5.88E+00	1.29E+00
V37	5.87E+00	1.54E+00	3.54E+00	6.21E+00
V38	3.56E+00	1.17E+00	3.26E+00	9.64E-01
V39	2.37E+00	1.24E+01	1.27E+01	7.00E-01
V40	1.23E+00	1.96E+01	1.94E+01	6.51E-01
V41	3.31E+00	2.50E+01	2.81E+01	7.31E-01
V42	5.22E-01	2.64E+00	2.08E+00	1.51E+00
V43	5.43E+00	1.55E+01	1.90E+01	2.31E+00
V44	5.82E+00	7.60E-01	5.22E+00	2.68E+00
V45	1.00E-01	7.81E+00	6.96E+00	1.71E+00
V46	1.62E+00	5.94E+00	6.99E+00	3.74E+00
V47	3.04E+00	7.19E+00	7.99E+00	1.75E+00
V48	1.54E+00	1.04E+01	1.09E+01	2.41E+00
V49	2.70E+00	2.97E+00	3.15E+00	2.62E+00
V50	1.29E+00	1.39E+00	1.50E+00	1.44E+00
V51	7.40E+00	8.28E+00	2.01E+01	1.18E+01
V52	6.68E+00	4.29E+00	9.37E+00	8.72E-01
V53	5.45E+00	2.42E+00	5.84E+00	1.37E+00
V54	8.74E+00	8.93E+00	1.57E+01	5.12E-01
V55	2.72E+00	6.44E+00	7.19E+00	1.12E+00
V56	6.15E-01	2.70E+00	2.76E+00	1.91E+00
V57	2.20E+00	4.61E+00	3.80E+00	4.48E+00
V58	5.17E+00	4.18E+00	4.67E+00	0.00E+00
V59	1.70E+00	5.71E+00	5.73E+00	1.19E+00
V60	1.61E+00	3.32E+00	4.00E-01	1.99E+00
V61	8.92E+00	3.73E+01	4.24E+01	3.84E+00
V62	7.61E-01	2.45E+00	2.65E+00	0.00E+00
V63	3.25E+00	8.38E+00	8.02E+00	2.05E+00
V64	1.62E+00	1.76E+00	2.38E+00	4.73E-01
V65	3.56E+00	5.24E+00	6.74E+00	2.37E+00
V66	1.10E+01	1.76E+00	1.07E+01	1.05E+00
V67	2.44E+00	9.93E+00	1.20E+01	4.52E+00
V68	0.00E+00	1.32E+01	1.34E+01	5.17E-01
V69	1.37E+00	1.42E+00	1.39E+00	1.10E+00
V70	4.12E+00	5.81E+00	9.13E+00	2.64E+00
V71	3.18E+00	2.78E+00	5.46E+00	9.46E-01
V72	1.58E+00	4.23E+00	0.00E+00	4.98E+00
V73	1.91E+00	1.84E+01	2.09E+01	4.81E+00
V74	8.97E-01	5.35E+00	4.93E+00	1.08E+00
V75	3.23E+00	2.76E+01	3.02E+01	0.00E+00
V76	2.99E+00	1.11E+01	1.10E+01	8.19E-01
V77	2.01E+00	4.37E+00	4.31E+00	2.90E+00
V78	2.15E+00	2.47E+00	3.34E+00	2.04E+00
V79	3.16E+00	5.05E+00	7.11E+00	3.87E+00
V80	2.70E+00	4.89E+00	4.00E+00	1.50E+00
V81	4.95E+00	2.98E+01	3.40E+01	8.31E-01
V82	6.08E+00	3.74E+00	9.74E+00	4.01E+00
V83	2.32E+00	1.27E+00	2.40E+00	0.00E+00
V84	2.64E+00	1.22E+01	1.71E+01	8.19E+00
V85	4.60E+00	6.60E+00	1.04E+01	1.97E+00
V86	4.70E+00	1.04E+01	1.28E+01	6.36E-01
V87	3.88E+00	9.27E+00	1.17E+01	3.00E+00
V88	2.12E+00	2.35E+00	3.78E+00	0.00E+00
V89	2.26E+00	1.91E+00	2.90E+00	2.06E+00
V90	1.35E+00	2.73E+00	3.60E+00	1.63E-01
V91	2.41E+00	3.41E+00	5.66E+00	4.37E+00
V92	1.51E+01	3.46E+00	1.75E+01	1.28E+00
V93	1.98E+00	5.79E+00	6.39E+00	2.22E+00
V94	1.99E+00	3.42E+00	3.85E+00	9.33E-01
V95	1.50E+00	1.95E+01	1.97E+01	2.56E+00
V96	1.48E+00	6.80E+00	7.81E+00	7.33E-01
V97	2.44E+00	2.24E+00	4.99E+00	1.29E+00
V98	2.25E+00	2.95E+00	3.29E+00	2.63E+00
