Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	7	0	63	0	0	0	0	17	40	73	47	0	0	19	0	3	6	0	0	5
V2	25	0	54	1	73	0	2	21	5	1	21	1	0	6	0	4	0	0	13	11
V3	23	9	24	1	0	0	2	14	0	0	10	0	0	6	0	0	0	4	7	6
V4	19	62	27	13	64	55	16	81	0	3	49	9	0	7	0	12	0	0	0	7
V5	25	0	20	0	44	0	7	12	0	0	5	3	0	3	2	3	0	5	0	7
V6	1	63	26	24	0	1	18	14	0	0	0	7	1	0	0	0	0	0	0	0
V7	0	10	75	0	0	50	0	0	19	0	0	20	3	6	0	21	2	0	0	4
V8	142	13	8	4	0	7	15	0	0	0	0	4	12	0	0	0	25	0	6	1
V9	35	0	12	28	35	0	20	18	18	0	0	4	0	0	9	7	12	0	20	2
V10	44	7	25	17	76	0	0	67	0	0	16	0	0	24	0	0	40	21	0	0
V11	105	123	0	42	0	33	45	0	21	0	0	31	0	0	0	0	7	0	5	2
V12	55	0	28	2	0	0	0	3	3	17	1	0	24	8	0	0	9	0	0	9
V13	90	24	35	29	0	28	27	0	8	19	0	2	0	0	7	0	15	0	14	5
V14	10	10	6	0	86	3	1	41	0	0	0	0	0	12	0	0	0	26	1	0
V15	45	0	26	57	65	0	80	37	41	0	0	0	12	0	0	4	6	12	0	10
V16	48	1	80	2	3	78	5	0	28	10	0	5	7	0	7	12	0	2	0	0
V17	23	214	58	5	3	102	4	0	87	0	0	25	0	0	0	39	0	0	0	0
V18	36	58	20	64	2	1	34	26	12	0	10	2	0	0	2	0	0	0	24	6
V19	56	125	36	14	31	45	23	33	0	0	24	35	0	0	0	0	0	0	17	5
V20	88	0	75	8	0	0	5	0	0	0	0	0	18	0	0	0	0	1	30	11
V21	0	82	10	160	136	76	109	63	0	0	9	21	0	7	39	0	5	32	0	0
V22	26	2	29	0	28	3	9	0	0	22	43	0	1	6	8	0	7	0	22	4
V23	8	0	31	31	0	0	28	0	0	0	0	0	13	0	5	0	0	0	0	2
V24	303	85	124	4	50	15	0	22	0	0	13	8	42	0	0	39	3	0	28	4
V25	0	69	11	139	0	0	78	0	0	0	0	2	0	0	46	0	0	0	0	0
V26	75	74	0	0	0	3	2	0	34	0	0	6	78	10	0	0	9	0	0	0
V27	67	43	6	8	7	22	2	1	0	9	0	0	0	0	3	2	0	6	0	8
V28	39	0	130	122	0	50	104	0	79	21	0	2	0	8	0	0	0	1	0	0
V29	0	22	0	9	0	20	2	0	0	0	0	5	0	0	5	0	0	0	0	0
V30	158	63	44	40	30	30	17	0	0	0	12	23	44	0	0	8	5	0	31	1
V31	33	25	193	16	96	29	13	23	4	8	5	14	0	1	22	0	1	0	0	32
V32	160	0	58	77	28	0	48	9	46	34	0	0	0	1	48	8	0	0	1	3
V33	34	43	133	1	0	0	2	0	0	0	1	13	19	0	1	0	12	0	21	0
V34	12	18	29	6	0	44	0	0	1	0	0	5	0	15	0	0	22	0	7	0
V35	48	254	149	5	112	46	0	71	126	148	0	1	0	37	0	0	14	0	13	15
V36	0	0	4	2	0	0	0	3	37	20	0	0	0	21	0	25	0	0	0	0
V37	0	65	1	2	30	14	1	117	2	0	64	8	6	13	0	13	0	0	0	0
V38	11	0	0	145	161	45	96	94	18	35	148	0	0	0	23	1	0	7	0	2
V39	127	213	13	21	0	23	25	0	0	14	0	9	0	0	6	0	12	0	14	9
V40	0	1	5	13	0	85	12	1	80	74	10	9	0	0	0	0	0	11	0	0
V41	325	0	8	22	42	0	12	41	50	131	0	0	10	27	9	38	68	0	0	0
V42	0	21	104	14	0	0	6	0	0	5	0	16	0	12	4	0	0	0	0	9
V43	16	0	3	29	4	0	22	1	0	0	10	0	0	0	32	0	4	0	0	0
V44	123	0	20	76	0	0	79	0	69	41	0	0	15	19	0	1	0	0	0	10
V45	32	44	9	8	26	14	3	3	0	0	0	0	32	0	0	10	0	0	0	0
V46	46	0	0	4	0	0	6	0	36	0	0	0	16	6	0	3	3	0	0	0
V47	138	49	40	23	6	0	32	0	0	0	19	14	0	0	5	0	0	0	0	19
V48	3	2	1	3	4	28	0	5	0	20	3	13	0	13	0	8	0	0	1	0
V49	113	15	10	5	2	50	12	21	102	80	34	0	0	49	0	32	0	0	0	4
V50	14	40	0	4	0	20	0	0	8	0	0	6	13	0	0	9	0	0	0	0
V51	20	130	3	87	6	30	56	34	16	0	7	0	0	3	0	12	11	0	0	0
V52	37	0	24	92	41	8	32	22	0	0	0	5	17	0	24	0	0	0	0	0
V53	15	44	24	21	50	14	11	37	0	0	10	12	1	0	8	0	0	55	0	0
V54	64	0	1	3	0	0	0	43	0	0	0	0	15	14	8	8	8	0	0	0
V55	186	16	0	18	0	11	1	0	0	13	6	0	0	0	9	9	13	0	5	11
V56	11	0	8	2	0	6	11	0	144	74	0	3	0	12	0	0	1	0	0	6
V57	19	0	89	47	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	5
V58	0	46	53	3	16	45	1	25	0	6	44	36	2	15	0	11	16	1	0	0
V59	0	74	227	10	23	60	2	0	0	0	32	46	53	0	0	5	32	0	0	3
V60	216	17	1	33	0	65	15	12	127	9	0	3	0	6	0	58	0	10	3	3
V61	8	0	2	2	0	0	0	4	0	0	0	0	0	0	0	3	0	0	1	2
V62	71	172	0	4	0	3	10	6	47	0	2	47	0	0	8	11	7	0	0	0
V63	56	69	0	22	10	30	1	104	0	0	70	0	34	16	25	0	0	14	0	0
V64	3	21	1	18	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0
V65	0	16	96	0	2	5	3	0	0	0	1	0	0	0	0	0	0	0	13	6
V66	2	184	134	205	0	54	149	0	0	0	0	31	73	0	38	0	0	0	0	0
V67	0	86	24	196	0	8	97	52	0	0	0	9	0	0	13	0	0	13	0	0
V68	29	0	105	59	0	1	35	0	18	55	0	0	66	10	0	7	0	17	0	7
V69	12	0	11	1	0	0	0	1	3	0	0	0	13	0	0	2	0	0	0	5
V70	0	294	44	136	8	90	96	1	0	0	0	12	0	0	57	0	0	0	0	0
V71	0	24	4	1	27	15	0	18	0	0	9	5	6	0	0	7	0	1	0	1
V72	2	42	0	108	0	24	50	0	0	0	0	18	0	0	0	0	0	0	0	0
V73	83	38	76	0	6	0	0	1	0	3	1	0	0	0	0	9	3	0	0	2
V74	119	14	0	7	32	0	2	76	3	5	14	10	0	5	5	7	0	0	8	2
V75	0	13	111	13	44	17	11	24	0	53	19	1	0	12	2	0	8	13	0	14
V76	12	0	13	1	2	0	0	13	8	0	0	1	5	7	0	4	11	8	0	0
V77	8	38	0	30	36	115	16	79	0	7	0	43	0	0	0	0	3	8	0	0
V78	8	12	127	3	2	6	1	0	5	17	11	7	0	4	0	0	7	0	3	11
V79	0	9	3	66	7	7	44	4	7	10	15	5	0	5	29	0	0	0	0	0
V80	42	0	0	0	0	8	0	0	5	3	0	0	0	0	0	0	0	0	1	10
V81	8	6	1	83	6	0	35	1	0	6	0	0	2	0	4	13	0	7	5	0
V82	22	73	45	0	0	54	0	0	81	57	0	8	0	20	0	0	5	0	0	5
V83	18	0	2	24	30	0	30	53	0	0	25	0	2	5	10	1	8	0	2	0
V84	30	31	42	1	1	23	8	3	14	18	4	9	0	15	0	0	9	3	7	0
V85	131	0	0	1	0	0	0	0	13	0	0	0	28	0	0	13	7	0	28	0
V86	0	1	181	0	0	8	0	73	0	0	22	0	0	8	0	0	5	11	9	6
V87	28	11	0	2	5	34	0	0	54	12	0	0	0	20	0	0	0	7	0	0
V88	78	0	35	17	0	0	13	0	7	27	7	5	0	0	9	12	25	0	0	0
V89	9	0	42	11	92	20	3	69	0	28	9	0	7	21	0	9	20	23	0	0
V90	37	83	0	40	0	122	34	0	52	0	0	0	0	18	0	0	34	0	0	0
V91	4	13	28	10	33	0	8	0	0	0	15	3	9	0	0	0	3	0	0	0
V92	0	0	12	15	25	4	9	34	44	0	63	0	0	30	0	0	0	6	0	1
V93	143	19	0	3	2	7	0	0	17	0	0	0	0	0	0	5	0	0	2	10
V94	0	122	13	5	142	0	2	42	36	3	41	34	0	2	0	15	0	47	0	4
V95	15	64	65	5	0	0	3	7	21	38	0	9	0	18	0	3	15	0	7	0
V96	1	49	3	0	57	68	0	35	0	0	0	13	15	0	0	40	21	0	0	0
V97	27	0	2	0	222	0	0	67	0	16	0	0	2	28	0	7	1	9	2	0
V98	0	15	8	31	47	0	8	27	0	0	9	0	0	0	1	7	0	14	0	4
V99	14	64	44	20	1	5	21	0	0	0	66	40	11	0	12	3	0	0	0	0
V100	162	23	31	67	93	0	42	18	0	0	0	14	12	0	74	3	5	0	0	9
