Samples	ID83A	ID83B
V1	1.76E+01	1.76E+01
V2	9.94E+00	9.94E+00
V3	1.14E+01	1.15E+01
V4	6.68E+00	6.68E+00
V5	1.84E+01	1.84E+01
V6	3.46E+00	3.46E+00
V7	4.42E+00	4.42E+00
V8	9.70E+00	9.70E+00
V9	5.68E+00	5.65E+00
V10	1.43E+01	1.43E+01
V11	6.81E+00	6.81E+00
V12	6.86E+00	6.86E+00
V13	5.93E+00	5.93E+00
V14	1.42E+00	1.42E+00
V15	5.94E+00	5.94E+00
V16	1.01E+01	1.01E+01
V17	4.99E+00	4.99E+00
V18	1.24E+01	1.24E+01
V19	2.57E+00	2.57E+00
V20	2.31E+01	2.31E+01
V21	8.26E+00	8.26E+00
V22	2.27E+01	2.27E+01
V23	9.44E+00	9.44E+00
V24	8.19E+00	8.19E+00
V25	1.86E+01	1.86E+01
V26	9.00E+00	9.00E+00
V27	2.72E+01	2.72E+01
V28	4.18E+00	4.18E+00
V29	4.18E+00	4.18E+00
V30	1.61E+01	1.61E+01
V31	5.90E+00	5.90E+00
V32	5.78E+00	5.78E+00
V33	9.25E+00	9.25E+00
V34	4.12E+00	4.12E+00
V35	1.02E+01	1.02E+01
V36	3.44E+00	3.44E+00
V37	8.10E+01	8.10E+01
V38	2.72E+00	2.72E+00
V39	6.66E+00	6.66E+00
V40	3.66E+01	3.66E+01
V41	6.12E+00	6.12E+00
V42	1.03E+00	1.03E+00
V43	8.50E+00	8.50E+00
V44	4.83E+00	4.83E+00
V45	8.95E-01	8.95E-01
V46	2.96E+01	2.96E+01
V47	1.80E+01	1.80E+01
V48	3.16E+00	3.16E+00
V49	2.69E+01	2.69E+01
V50	1.42E+00	1.42E+00
V51	5.88E+01	5.88E+01
V52	4.10E+00	4.10E+00
V53	5.47E+00	5.47E+00
V54	6.47E+00	6.50E+00
V55	3.75E+00	3.75E+00
V56	1.09E+01	1.09E+01
V57	2.80E+01	2.80E+01
V58	4.75E+00	4.75E+00
V59	7.03E+00	7.03E+00
V60	7.84E+00	7.84E+00
V61	1.51E+01	1.51E+01
V62	1.32E+00	1.32E+00
V63	1.83E+01	1.83E+01
V64	3.35E+00	3.35E+00
V65	3.88E+00	3.88E+00
V66	4.98E+00	4.98E+00
V67	5.47E+00	5.47E+00
V68	2.21E+01	2.21E+01
V69	1.85E+00	1.85E+00
V70	4.60E+00	4.60E+00
V71	6.59E+00	6.59E+00
V72	3.32E+01	3.32E+01
V73	8.55E+00	8.55E+00
V74	3.25E+00	3.25E+00
V75	5.20E+00	5.20E+00
V76	7.95E+00	7.95E+00
V77	5.46E+00	5.46E+00
V78	6.58E+00	6.57E+00
V79	9.45E+00	9.45E+00
V80	2.98E+00	2.98E+00
V81	1.72E+01	1.72E+01
V82	1.08E+01	1.08E+01
V83	1.63E+00	1.63E+00
V84	3.61E+01	3.61E+01
V85	5.79E+00	5.79E+00
V86	7.99E+00	7.99E+00
V87	9.37E+00	9.37E+00
V88	4.30E+00	4.30E+00
V89	1.33E+01	1.33E+01
V90	2.73E+00	2.73E+00
V91	1.61E+01	1.61E+01
V92	2.60E+00	2.60E+00
V93	3.56E+00	3.56E+00
V94	5.06E+00	5.06E+00
V95	2.26E+01	2.26E+01
V96	6.03E+00	6.03E+00
V97	1.98E+00	1.98E+00
V98	7.95E+00	7.95E+00
V99	6.45E+00	6.45E+00
V100	1.19E+00	1.19E+00
