NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.14	15.043	10.742	8.143	0.081	0.995	40000.0
2	45.299	14.601	10.044	7.508	0.081	0.996	60000.0
3	46.947	15.035	10.651	7.804	0.081	0.996	70000.0
4	48.101	15.894	11.025	8.319	0.087	0.995	50000.0
5	46.394	15.091	10.363	7.788	0.081	0.996	90000.0
6	46.444	15.032	10.371	7.779	0.083	0.996	50000.0
7	44.297	14.615	9.88	7.622	0.082	0.995	70000.0
8	47.007	15.315	10.699	8.063	0.083	0.996	100000.0
9	43.455	14.256	9.755	7.591	0.082	0.996	40000.0
10	46.046	14.913	10.266	7.721	0.078	0.996	70000.0
