Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	18	30	0	6	2	0	11	12	0	0
V2	0	8	0	32	11	101	169	0	0	14
V3	19	15	0	54	11	7	25	10	0	0
V4	48	5	1	22	36	9	0	0	0	0
V5	20	6	98	17	0	195	7	0	1	23
V6	0	234	63	0	21	67	36	2	9	6
V7	52	7	44	0	3	0	16	25	0	10
V8	49	1	9	3	6	1	0	8	0	0
V9	29	41	0	14	14	45	81	0	0	16
V10	182	0	11	15	7	9	19	38	2	39
V11	0	0	121	33	4	72	0	0	8	24
V12	249	8	19	0	7	33	20	32	0	4
V13	21	22	24	15	123	0	0	43	0	0
V14	63	19	137	0	5	0	1	36	3	16
V15	86	0	34	85	44	0	8	71	11	0
V16	13	44	101	87	1	0	24	0	32	0
V17	4	29	170	0	75	0	0	0	25	20
V18	114	25	94	0	0	30	0	29	16	0
V19	9	7	1	111	9	25	4	6	14	24
V20	6	106	94	51	31	7	0	0	99	0
V21	61	58	156	214	155	74	27	12	0	0
V22	3	33	0	0	4	67	9	5	0	0
V23	89	1	79	25	12	0	0	15	53	1
V24	2	13	7	10	6	148	140	0	0	0
V25	59	6	7	26	1	21	22	20	0	0
V26	2	6	72	0	20	20	22	0	0	0
V27	43	10	43	27	1	54	157	33	0	0
V28	0	39	9	144	0	25	36	4	4	14
V29	99	18	58	0	0	1	0	13	9	0
V30	200	58	74	7	0	38	14	37	0	23
V31	96	67	0	0	44	0	0	36	0	0
V32	168	362	240	16	2	0	0	10	0	5
V33	0	15	40	0	54	0	31	2	0	0
V34	424	23	0	0	12	35	0	69	0	0
V35	206	0	35	0	3	16	10	6	0	31
V36	0	122	12	39	13	1	0	0	4	0
V37	87	15	0	144	7	0	44	0	6	0
V38	39	14	0	4	72	47	14	0	0	6
V39	52	0	55	3	152	5	9	0	0	8
V40	0	42	17	0	60	2	31	11	10	0
V41	44	1	48	0	3	1	2	0	0	2
V42	48	0	148	18	45	8	0	22	0	12
V43	29	0	3	0	8	0	0	21	0	0
V44	0	16	0	2	30	0	8	0	4	0
V45	3	11	41	11	6	0	0	0	9	6
V46	91	4	30	16	11	0	0	46	0	0
V47	19	41	0	0	11	6	45	14	0	4
V48	125	43	1	85	8	4	2	0	0	0
V49	9	64	3	7	33	0	0	15	0	1
V50	1	6	24	0	14	0	0	6	3	0
V51	229	9	69	0	0	0	10	50	0	2
V52	17	22	14	30	9	4	2	0	4	2
V53	36	84	0	6	25	11	6	5	0	0
V54	67	9	75	12	51	1	41	19	0	0
V55	13	3	12	0	71	0	11	7	34	13
V56	3	146	0	80	5	0	0	0	0	9
V57	6	12	0	0	6	15	0	3	0	0
V58	0	49	142	30	17	76	2	2	32	24
V59	0	9	75	14	31	0	0	3	0	0
V60	19	1	2	25	38	73	4	0	0	0
V61	21	1	0	14	17	4	0	2	0	0
V62	0	85	4	151	70	67	0	0	25	19
V63	242	23	0	0	16	0	0	31	0	7
V64	57	5	65	19	90	13	0	0	0	7
V65	23	14	51	7	1	26	51	7	0	1
V66	27	163	0	0	0	12	33	5	9	0
V67	2	0	6	1	3	0	1	9	0	0
V68	102	0	105	6	2	92	37	0	26	0
V69	22	33	2	105	0	0	28	15	8	0
V70	25	16	17	0	7	0	0	1	3	11
V71	1	9	0	23	1	0	0	0	0	7
V72	4	0	120	86	13	3	0	12	2	15
V73	0	6	30	56	4	63	25	3	0	0
V74	0	14	0	108	1	0	5	11	6	0
V75	46	0	41	30	3	9	0	17	1	0
V76	40	6	1	43	0	104	100	0	0	27
V77	56	1	0	29	13	0	31	0	0	22
V78	62	37	17	35	99	2	0	12	9	0
V79	40	137	183	0	80	22	0	0	0	16
V80	17	11	0	5	45	91	11	12	0	13
V81	0	38	0	25	0	0	0	4	11	12
V82	74	1	0	32	26	1	0	1	9	0
V83	122	4	0	11	22	58	25	35	0	6
V84	50	4	1	17	0	0	0	9	0	0
V85	0	73	71	13	0	24	7	0	41	4
V86	0	48	0	19	69	24	47	2	0	1
V87	16	0	23	1	45	0	55	0	0	0
V88	9	21	20	18	27	0	5	4	5	0
V89	3	50	0	41	44	0	0	13	0	4
V90	14	123	1	9	0	0	0	0	0	0
V91	177	4	4	26	67	24	7	36	26	0
V92	0	454	13	0	5	4	12	0	40	0
V93	0	28	0	15	22	0	39	0	0	0
V94	83	46	0	0	0	22	26	0	10	0
V95	10	12	0	53	1	0	11	0	0	4
V96	28	85	30	1	10	7	0	0	0	25
V97	0	306	71	10	25	12	0	0	82	25
V98	12	3	5	6	0	24	0	4	0	0
V99	14	37	84	30	23	0	0	11	0	3
V100	16	4	79	19	76	142	13	5	21	0
