MutationType	ID83A	ID83B	ID83C
1:Del:C:0	6.21E-03	1.21E-03	8.65E-04
1:Del:C:1	2.11E-03	5.85E-04	6.77E-04
1:Del:C:2	2.97E-04	5.26E-05	2.00E-04
1:Del:C:3	4.93E-04	1.68E-04	2.20E-04
1:Del:C:4	3.47E-04	4.19E-04	6.38E-05
1:Del:C:5	7.89E-04	7.34E-04	3.11E-04
1:Del:T:0	1.96E-03	5.54E-04	4.75E-04
1:Del:T:1	1.18E-03	3.40E-04	1.38E-04
1:Del:T:2	1.25E-03	6.76E-04	1.34E-04
1:Del:T:3	7.76E-04	1.03E-03	1.01E-03
1:Del:T:4	9.20E-04	9.89E-04	4.94E-04
1:Del:T:5	2.52E-02	2.61E-02	3.48E-03
1:Ins:C:0	1.26E-04	1.16E-04	7.57E-06
1:Ins:C:1	1.38E-04	1.85E-04	5.86E-09
1:Ins:C:2	1.04E-04	5.44E-06	1.16E-08
1:Ins:C:3	3.87E-05	6.50E-05	5.84E-05
1:Ins:C:4	2.08E-04	3.17E-04	2.11E-04
1:Ins:C:5	1.62E-04	1.40E-03	3.13E-04
1:Ins:T:0	3.32E-04	2.21E-04	1.08E-04
1:Ins:T:1	4.06E-04	1.89E-04	3.95E-04
1:Ins:T:2	2.01E-04	1.64E-04	8.70E-05
1:Ins:T:3	1.99E-04	2.15E-04	7.30E-05
1:Ins:T:4	2.67E-04	1.15E-03	7.72E-05
1:Ins:T:5	4.15E-03	4.13E-02	1.06E-03
2:Del:R:0	3.63E-04	1.41E-04	5.16E-10
2:Del:R:1	5.41E-04	3.50E-04	1.13E-04
2:Del:R:2	6.70E-05	1.50E-04	9.20E-05
2:Del:R:3	4.49E-05	1.01E-04	8.94E-09
2:Del:R:4	9.91E-05	8.94E-05	4.20E-08
2:Del:R:5	2.41E-08	8.39E-09	5.64E-03
3:Del:R:0	1.65E-02	1.98E-02	2.97E-03
3:Del:R:1	3.40E-04	2.30E-04	6.72E-04
3:Del:R:2	2.08E-04	9.51E-05	0.00E+00
3:Del:R:3	1.55E-03	1.70E-03	5.28E-04
3:Del:R:4	5.56E-09	1.06E-08	3.42E-09
3:Del:R:5	5.35E-08	3.14E-08	5.78E-05
4:Del:R:0	2.96E-04	2.50E-04	8.73E-04
4:Del:R:1	5.23E-04	6.75E-04	4.03E-05
4:Del:R:2	1.47E-04	0.00E+00	1.16E-04
4:Del:R:3	5.56E-09	1.06E-08	3.42E-09
4:Del:R:4	5.56E-09	1.06E-08	3.42E-09
4:Del:R:5	5.56E-09	1.06E-08	3.42E-09
5:Del:R:0	6.64E-03	3.71E-04	8.75E-04
5:Del:R:1	1.65E-04	2.28E-04	1.41E-04
5:Del:R:2	3.73E-05	1.78E-05	1.51E-05
5:Del:R:3	5.56E-09	1.06E-08	3.42E-09
5:Del:R:4	1.74E-05	4.87E-05	3.86E-08
5:Del:R:5	1.01E-08	1.09E-05	1.14E-04
2:Ins:R:0	1.28E-04	1.48E-04	7.40E-08
2:Ins:R:1	1.84E-04	3.74E-05	9.80E-05
2:Ins:R:2	3.33E-05	9.72E-05	1.64E-04
2:Ins:R:3	1.12E-04	4.42E-05	1.64E-08
2:Ins:R:4	9.81E-05	2.60E-04	1.56E-04
2:Ins:R:5	3.40E-04	7.67E-04	1.88E-04
3:Ins:R:0	7.54E-05	6.19E-09	1.24E-08
3:Ins:R:1	1.32E-04	1.46E-04	2.44E-05
3:Ins:R:2	5.42E-08	5.23E-08	4.98E-05
3:Ins:R:3	9.25E-05	5.66E-05	3.52E-09
3:Ins:R:4	1.71E-05	3.74E-05	5.77E-08
3:Ins:R:5	1.47E-06	9.23E-05	1.50E-04
4:Ins:R:0	7.13E-05	2.70E-08	6.96E-05
4:Ins:R:1	1.06E-04	1.59E-04	5.77E-05
4:Ins:R:2	6.25E-08	5.90E-05	4.45E-08
4:Ins:R:3	6.50E-08	3.19E-05	4.26E-08
4:Ins:R:4	8.74E-06	7.29E-05	1.18E-08
4:Ins:R:5	1.32E-04	2.14E-04	1.53E-04
5:Ins:R:0	6.82E-08	3.07E-08	5.12E-05
5:Ins:R:1	4.73E-04	2.57E-04	1.14E-04
5:Ins:R:2	5.88E-07	1.24E-04	1.81E-04
5:Ins:R:3	5.56E-09	1.06E-08	3.42E-09
5:Ins:R:4	1.51E-05	5.67E-05	3.70E-05
5:Ins:R:5	5.56E-09	1.06E-08	3.42E-09
2:Del:M:1	1.69E-04	1.03E-04	5.24E-08
3:Del:M:1	3.28E-04	1.03E-04	4.62E-05
3:Del:M:2	2.27E-04	2.13E-04	0.00E+00
4:Del:M:1	2.79E-04	9.77E-05	1.29E-03
4:Del:M:2	1.76E-04	1.49E-04	1.30E-04
4:Del:M:3	8.53E-05	8.52E-05	5.40E-05
5:Del:M:1	7.80E-03	1.47E-04	1.05E-03
5:Del:M:2	3.48E-03	1.29E-04	7.23E-04
5:Del:M:3	2.07E-03	3.00E-04	1.23E-05
5:Del:M:4	4.93E-04	4.50E-05	8.92E-05
5:Del:M:5	3.56E-04	2.95E-04	1.65E-04
