Samples	ID83A	ID83B	ID83C	ID83D
V1	144	0	15	7
V2	265	47	12	0
V3	146	2	70	14
V4	162	76	46	85
V5	0	238	0	208
V6	152	0	9	94
V7	0	13	134	37
V8	237	8	7	7
V9	123	74	2	16
V10	140	35	25	32
V11	169	31	18	57
V12	212	11	34	0
V13	327	141	52	135
V14	0	0	35	186
V15	131	5	5	0
V16	82	7	1	11
V17	19	3	0	107
V18	191	6	33	28
V19	0	6	11	49
V20	1	80	159	0
V21	141	47	24	0
V22	0	655	0	0
V23	169	218	0	33
V24	28	26	3	0
V25	180	0	10	7
V26	61	437	0	1
V27	148	0	17	29
V28	31	101	122	22
V29	0	93	131	23
V30	172	20	153	14
V31	64	2	4	0
V32	277	6	107	94
V33	35	52	32	2
V34	0	1	513	0
V35	7	38	0	62
V36	112	39	80	19
V37	24	22	0	1
V38	0	24	18	42
V39	223	47	2	11
V40	58	20	4	143
V41	3	3	34	25
V42	0	7	0	145
V43	0	115	205	309
V44	405	71	1	84
V45	100	16	84	0
V46	60	11	0	9
V47	159	0	48	59
V48	78	0	116	44
V49	196	211	52	13
V50	47	51	4	19
V51	503	0	51	11
V52	375	47	19	69
V53	403	117	73	32
V54	22	33	0	206
V55	458	16	46	123
V56	6	2	67	22
V57	101	59	42	19
V58	99	86	80	9
V59	29	144	285	15
V60	0	0	140	0
V61	74	4	4	102
V62	0	126	33	226
V63	160	0	24	8
V64	108	3	1	9
V65	14	42	90	0
V66	0	65	75	241
V67	25	34	214	18
V68	0	2	0	47
V69	0	17	53	129
V70	248	10	26	134
V71	193	147	94	18
V72	0	226	139	0
V73	376	32	60	0
V74	75	1	13	0
V75	0	10	54	0
V76	410	12	0	72
V77	239	119	206	25
V78	0	349	242	0
V79	157	142	85	4
V80	0	252	472	0
V81	217	51	99	30
V82	5	221	0	32
V83	93	87	1	0
V84	119	0	9	32
V85	148	46	83	6
V86	217	163	0	10
V87	3	518	137	73
V88	0	66	13	91
V89	55	2	100	45
V90	0	222	28	154
V91	101	38	45	12
V92	268	70	73	47
V93	37	2	96	16
V94	165	0	34	30
V95	164	8	242	0
V96	51	140	20	10
V97	0	5	26	204
V98	0	21	0	208
V99	18	132	68	26
V100	0	136	6	514
