NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.771	20.66	12.227	13.53	0.106	0.987	30000.0
2	56.894	23.347	13.741	15.207	0.11	0.985	80000.0
3	53.976	21.945	13.051	14.705	0.105	0.985	40000.0
4	52.333	21.264	12.373	13.916	0.11	0.987	30000.0
5	54.142	22.197	12.894	14.627	0.111	0.985	60000.0
6	53.289	21.825	12.486	14.334	0.108	0.986	40000.0
7	52.307	21.214	12.326	13.841	0.105	0.987	30000.0
8	49.109	20.06	11.573	13.179	0.108	0.988	30000.0
9	54.148	22.216	13.049	14.585	0.109	0.985	60000.0
10	51.207	20.411	12.174	13.219	0.106	0.988	30000.0
