NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.9	20.224	11.756	11.942	0.124	0.99	40000.0
2	51.242	20.483	12.308	12.364	0.126	0.989	50000.0
3	55.135	21.767	13.077	12.929	0.13	0.989	40000.0
4	50.036	20.165	11.434	11.715	0.124	0.99	30000.0
5	49.776	19.804	11.526	11.781	0.121	0.99	80000.0
6	52.833	21.303	12.337	12.627	0.126	0.99	30000.0
7	49.883	20.06	11.55	11.769	0.122	0.991	100000.0
8	52.698	21.062	12.478	12.526	0.126	0.99	40000.0
9	53.139	21.441	12.454	12.808	0.13	0.989	30000.0
10	55.821	22.325	13.352	13.651	0.133	0.987	30000.0
