Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.66,0.62,NO,N/A,64.24%,76.65%,133.77%,63.07%,111.22,0.4783,1.3844,0.225,0.643,0.753,0.246
3,0.8,0.74,NO,N/A,54.27%,56.88%,128.91%,50.19%,94.55,0.39,1.1978,0.164,0.5,0.822,0.446
4,0.78,0.56,NO,N/A,38.99%,43.85%,111.35%,33.88%,89.2,0.2689,0.9397,0.1,0.499,0.89,0.437
5,0.81,0.39,NO,N/A,28.98%,32.35%,99.48%,25.46%,80.56,0.2036,0.7656,0.055,0.375,0.939,0.578
6*,1.0,1.0,YES,Most Stab Sigs,8.87%,17.3%,64.19%,9.28%,66.39,0.1001,0.4992,0.009,0.175,0.99,0.802
7,0.77,-0.56,NO,N/A,8.8%,16.84%,66.53%,9.24%,64.36,0.1013,0.5,0.009,0.177,0.99,0.799
8,0.59,-0.75,NO,N/A,8.33%,16.73%,67.48%,8.95%,51.78,0.1007,0.4237,0.009,0.138,0.99,0.839
9,0.46,-0.78,NO,N/A,8.26%,17.04%,54.44%,8.75%,37.68,0.0978,0.3394,0.008,0.074,0.991,0.914
10,0.36,-0.74,NO,N/A,8.41%,17.25%,59.04%,9.13%,43.85,0.1048,0.4302,0.008,0.101,0.991,0.881
11,0.29,-0.76,NO,N/A,8.24%,16.09%,67.96%,8.76%,39.41,0.1062,0.4337,0.007,0.067,0.992,0.922
12,0.24,-0.84,NO,N/A,7.38%,15.99%,54.86%,8.25%,38.91,0.1014,0.378,0.006,0.077,0.993,0.91
13,0.2,-0.79,NO,N/A,8.44%,16.34%,55.57%,8.73%,34.62,0.1018,0.3523,0.006,0.062,0.994,0.928
14,0.18,-0.66,NO,N/A,7.74%,16.09%,56.8%,8.22%,42.49,0.1009,0.4332,0.005,0.094,0.994,0.889
15,0.2,-0.68,NO,N/A,6.55%,14.66%,55.54%,7.62%,40.31,0.0962,0.4011,0.004,0.084,0.995,0.901
16,0.16,-0.67,NO,N/A,7.51%,16.17%,54.02%,8.67%,39.52,0.1021,0.3764,0.005,0.081,0.995,0.905
17,0.13,-0.73,NO,N/A,6.35%,14.68%,50.23%,7.42%,35.05,0.0952,0.3503,0.004,0.063,0.996,0.926
18,0.16,-0.64,NO,N/A,6.66%,15.6%,46.58%,7.66%,31.63,0.0939,0.2892,0.003,0.049,0.996,0.943
19,0.19,-0.7,NO,N/A,6.42%,14.86%,49.76%,7.08%,35.87,0.0929,0.3271,0.004,0.065,0.996,0.924
20,0.13,-0.79,NO,N/A,6.91%,15.04%,36.54%,7.46%,24.84,0.0923,0.2787,0.003,0.031,0.997,0.963
