NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.318	18.773	12.729	11.343	0.094	0.991	40000.0
2	54.43	19.914	13.498	12.582	0.098	0.988	70000.0
3	54.557	19.634	13.126	12.106	0.1	0.989	60000.0
4	51.099	18.657	12.703	11.715	0.092	0.99	30000.0
5	51.726	18.398	12.53	11.305	0.094	0.991	30000.0
6	47.786	17.485	11.368	10.537	0.093	0.992	110000.0
7	49.644	17.807	11.796	10.67	0.089	0.992	50000.0
8	52.154	18.785	12.594	11.631	0.092	0.991	90000.0
9	52.29	19.027	12.764	11.747	0.091	0.991	50000.0
10	53.509	19.417	13.084	12.112	0.099	0.989	40000.0
