NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	57.703	21.675	14.696	12.784	0.127	0.99	30000.0
2	52.731	19.78	12.2	11.227	0.125	0.992	40000.0
3	62.221	22.567	16.927	14.028	0.131	0.986	60000.0
4	63.633	23.51	17.21	15.095	0.136	0.984	90000.0
5	54.605	20.667	13.21	12.284	0.129	0.989	60000.0
6	56.465	20.947	14.559	13.267	0.125	0.986	20000.0
7	56.244	21.432	13.578	12.783	0.129	0.989	40000.0
8	57.739	21.78	14.333	13.276	0.134	0.988	40000.0
9	65.14	24.236	18.101	15.709	0.135	0.984	30000.0
10	66.102	24.224	18.372	15.376	0.133	0.985	50000.0
