Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	16	27	22	3	142	2	0	0	52	4	1	0	0	0
V2	6	0	0	7	0	4	10	29	0	3	1	6	3	1
V3	10	0	15	56	1	5	4	0	6	15	12	10	0	0
V4	33	4	15	6	3	175	51	47	4	0	0	8	23	0
V5	0	124	0	56	0	3	0	91	2	0	0	21	2	50
V6	24	1	37	27	54	0	0	0	89	1	0	0	0	0
V7	101	4	0	3	137	12	50	0	103	40	3	9	3	0
V8	125	0	12	17	14	0	3	2	4	4	1	7	5	2
V9	26	64	12	29	6	11	32	0	0	24	7	3	11	0
V10	19	70	203	161	284	15	0	0	63	47	16	10	0	0
V11	170	22	1	0	2	7	7	0	22	8	2	7	0	0
V12	162	9	76	9	0	15	11	24	2	14	7	12	5	20
V13	81	14	0	4	6	0	5	0	2	16	0	2	8	7
V14	0	29	2	14	0	6	23	0	0	0	14	34	13	0
V15	2	72	31	0	22	1	0	0	0	0	1	0	0	1
V16	0	18	1	0	12	65	52	4	3	31	4	9	1	1
V17	0	8	137	8	9	3	0	8	3	0	0	0	0	0
V18	20	0	29	16	7	0	0	48	9	13	9	1	32	0
V19	68	0	2	47	1	0	0	0	0	0	17	3	62	0
V20	154	36	36	19	0	29	40	0	1	13	36	43	23	0
V21	5	30	11	32	12	16	3	51	10	14	17	19	0	18
V22	1	290	0	22	2	29	77	65	6	6	15	14	0	33
V23	0	127	21	47	59	42	24	56	41	12	8	1	9	14
V24	0	65	0	50	9	111	57	0	7	91	16	21	0	0
V25	8	5	0	16	8	88	81	0	1	22	0	19	0	0
V26	7	74	22	0	7	9	3	0	6	7	23	7	0	16
V27	7	10	85	7	20	92	53	30	19	28	0	0	0	0
V28	17	0	9	19	40	5	10	38	82	15	17	8	15	0
V29	127	0	0	0	1	0	0	0	0	0	0	0	17	2
V30	93	5	7	9	14	0	0	1	17	0	1	9	5	0
V31	15	0	0	20	0	7	0	37	1	0	40	32	0	0
V32	20	16	59	8	8	11	0	0	5	3	12	2	0	0
V33	23	1	22	0	3	9	24	0	1	0	2	1	0	0
V34	0	117	18	10	41	2	0	90	70	0	35	9	0	0
V35	134	2	3	14	70	5	34	0	42	0	0	0	0	25
V36	78	28	0	41	8	133	127	0	10	26	10	76	23	9
V37	22	84	0	5	0	9	0	96	6	3	6	20	17	11
V38	55	0	11	25	36	0	7	0	46	0	4	0	0	6
V39	0	30	72	19	15	19	19	0	20	12	16	39	1	3
V40	392	0	4	16	36	37	34	26	50	5	2	33	24	60
V41	2	4	0	13	0	8	10	1	8	12	14	20	6	0
V42	129	38	207	0	22	0	2	6	11	1	11	3	30	0
V43	0	26	0	52	3	179	140	12	7	63	0	33	26	16
V44	10	85	0	4	4	7	14	40	0	0	4	0	0	13
V45	55	26	2	9	31	49	72	0	14	126	2	12	0	0
V46	0	0	0	180	150	0	0	18	48	0	18	67	0	23
V47	104	1	13	0	24	0	0	0	13	0	0	0	0	4
V48	0	0	0	62	0	17	4	13	1	31	1	61	12	16
V49	23	14	48	0	18	8	3	10	3	22	0	0	31	0
V50	0	47	75	164	0	6	1	209	5	5	21	3	22	6
V51	1	247	6	34	87	2	0	0	26	5	0	0	0	0
V52	2	128	50	3	4	3	0	9	3	0	11	1	0	0
V53	6	57	186	0	11	2	17	0	44	15	11	0	0	0
V54	4	181	1	47	76	9	10	0	81	3	5	0	1	12
V55	50	94	14	0	0	0	0	0	0	1	23	0	0	19
V56	0	1	3	11	64	19	12	5	10	12	3	3	12	0
V57	0	0	23	4	2	17	6	38	3	27	0	1	19	0
V58	5	20	5	18	19	3	0	0	6	1	7	2	0	0
V59	92	134	50	39	12	1	0	41	9	0	25	0	105	21
V60	2	10	0	32	6	0	0	43	0	0	20	8	3	0
V61	387	43	0	11	5	0	0	2	6	0	12	1	21	32
V62	3	27	234	2	9	34	16	0	8	17	7	6	0	0
V63	0	54	0	13	23	1	0	3	42	1	11	0	6	0
V64	0	2	0	3	0	0	0	10	3	0	1	4	0	1
V65	0	49	90	23	35	0	0	0	13	0	6	0	0	0
V66	40	7	1	11	4	1	0	40	3	0	70	39	0	23
V67	10	28	46	12	6	71	0	4	11	41	14	11	9	3
V68	370	179	16	33	37	138	58	0	47	43	58	0	0	72
V69	86	1	27	18	47	64	52	0	10	23	3	0	0	0
V70	18	19	0	0	29	20	15	0	4	22	0	8	0	13
V71	2	4	3	24	6	1	3	0	14	13	1	1	0	0
V72	191	1	0	24	9	0	0	3	1	0	0	14	75	6
V73	29	13	0	1	0	0	0	0	0	0	0	2	0	0
V74	38	11	18	104	116	14	3	5	10	0	2	5	0	0
V75	119	4	9	5	9	25	116	6	18	8	1	4	0	0
V76	32	1	126	8	0	35	24	0	0	115	0	5	0	0
V77	0	82	0	0	2	3	14	2	2	0	17	2	1	21
V78	0	29	0	30	0	2	4	61	4	6	27	1	0	0
V79	0	0	8	17	10	2	0	0	9	4	0	11	0	0
V80	23	8	0	2	6	0	10	0	2	1	3	0	14	0
V81	113	0	19	0	15	8	0	0	25	12	0	2	0	0
V82	0	0	52	5	15	9	4	0	14	60	0	0	0	0
V83	34	174	0	5	0	1	1	5	7	11	6	0	0	0
V84	74	11	23	0	5	73	76	19	9	41	15	11	0	18
V85	4	2	7	2	1	0	7	0	0	5	0	0	3	0
V86	9	8	470	14	5	32	37	170	20	42	44	11	10	0
V87	3	3	0	283	0	2	12	40	5	5	104	40	47	0
V88	41	27	50	1	31	0	0	0	12	0	10	0	0	0
V89	0	0	31	13	4	8	11	4	0	16	6	14	22	0
V90	0	2	0	49	0	4	15	6	0	0	11	13	1	3
V91	4	33	17	0	9	16	5	2	4	12	0	10	0	0
V92	35	3	250	12	23	0	1	6	6	0	8	41	44	0
V93	0	0	0	109	104	0	0	0	156	1	0	0	0	0
V94	19	223	91	13	16	12	7	0	6	16	8	6	0	6
V95	48	0	0	27	3	6	4	2	4	9	10	1	0	13
V96	104	32	0	18	23	15	23	33	27	0	15	3	0	6
V97	9	19	118	0	4	0	0	0	0	0	0	2	0	0
V98	0	77	5	7	1	11	14	32	0	10	19	8	11	26
V99	71	50	239	31	2	0	0	0	1	2	11	23	0	0
V100	0	119	0	54	27	13	6	21	21	2	31	44	0	2
