Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	116	116	1	0	0	0	3	8	0	1	0	0	0	0	2	17
V2	17	6	91	0	48	38	5	0	71	13	18	0	0	4	0	4
V3	1	6	0	20	0	0	0	38	9	0	4	0	0	0	0	5
V4	16	69	0	45	0	13	47	32	8	1	0	0	64	13	4	0
V5	9	10	9	8	0	0	27	1	30	0	0	0	55	0	0	4
V6	53	10	74	48	0	17	0	0	0	37	5	0	0	0	10	5
V7	83	6	45	16	0	0	0	52	11	9	5	1	28	18	16	3
V8	0	545	134	56	43	9	0	0	20	36	0	0	0	0	0	5
V9	4	3	0	0	11	5	4	0	0	0	0	3	0	0	0	4
V10	21	57	3	40	37	2	0	1	0	0	0	0	0	0	0	29
V11	14	1	44	11	70	16	0	0	0	25	0	0	0	0	0	0
V12	21	26	0	0	16	0	0	0	0	0	0	17	0	0	3	0
V13	4	68	24	75	0	0	33	0	26	0	0	0	0	63	0	0
V14	51	1	1	17	0	4	1	0	0	2	0	0	17	20	12	0
V15	67	0	339	45	77	39	5	0	18	167	1	18	0	0	9	5
V16	27	45	81	0	0	0	12	2	0	21	0	10	35	21	6	0
V17	39	4	23	0	31	20	20	31	0	2	19	6	0	1	0	0
V18	67	2	9	2	1	0	38	28	0	2	7	0	35	0	9	10
V19	48	22	0	0	68	33	8	0	16	1	0	42	0	0	0	13
V20	70	32	65	68	0	0	0	3	0	27	0	0	0	1	17	2
V21	0	1	14	28	0	5	12	21	20	3	0	4	0	5	0	0
V22	89	11	52	2	0	5	11	10	0	30	0	0	3	0	2	7
V23	2	5	0	0	91	106	7	0	32	0	65	17	0	58	0	0
V24	3	13	20	42	0	13	7	16	22	15	9	3	0	20	0	0
V25	6	135	5	5	0	26	88	32	0	0	15	0	9	0	0	19
V26	58	0	0	36	0	0	13	4	42	1	4	5	0	5	5	0
V27	0	5	0	46	0	0	61	15	51	0	0	0	18	28	0	0
V28	21	96	19	71	0	11	7	6	5	11	0	6	0	23	0	0
V29	117	0	30	0	70	80	43	0	14	13	0	20	67	0	0	11
V30	0	63	15	0	2	1	17	10	12	0	0	0	0	0	0	16
V31	39	22	73	29	88	67	16	0	0	13	41	5	0	0	6	2
V32	108	193	11	13	0	0	0	0	0	5	0	0	0	0	13	24
V33	239	6	44	35	24	76	52	91	13	0	55	4	0	0	0	22
V34	15	3	34	16	0	0	0	2	0	12	0	0	0	3	1	0
V35	3	39	4	30	0	27	0	14	0	0	1	0	0	0	0	0
V36	101	42	35	132	0	6	0	0	49	3	35	0	0	43	26	0
V37	102	1	0	0	4	7	0	0	0	0	0	6	0	15	0	0
V38	5	25	21	0	85	127	70	62	10	3	0	39	0	0	0	19
V39	238	0	18	221	0	0	26	18	76	0	22	0	31	19	1	0
V40	61	0	29	0	46	23	0	0	3	4	6	7	0	0	4	20
V41	18	18	78	25	96	71	46	0	14	45	0	26	0	10	19	6
V42	53	36	0	13	269	94	42	24	10	0	30	4	0	0	5	21
V43	19	0	56	0	8	11	3	1	11	9	19	11	0	0	5	2
V44	87	156	68	0	29	12	0	0	34	10	80	14	0	38	29	0
V45	0	6	25	85	0	0	44	46	52	3	39	15	13	0	0	3
V46	20	2	1	0	11	0	0	0	0	0	3	3	12	0	18	0
V47	145	56	10	31	0	0	24	0	6	7	0	0	0	22	25	10
V48	7	155	49	0	0	0	1	0	0	20	0	16	0	0	0	0
V49	34	0	69	1	10	24	0	3	11	14	5	7	0	15	16	0
V50	58	14	112	0	11	20	7	0	0	40	0	0	0	3	9	0
V51	0	214	161	0	11	22	12	11	0	45	26	3	6	19	0	0
V52	0	18	25	0	41	4	10	8	0	1	79	26	4	2	0	0
V53	6	78	97	141	0	0	7	0	127	19	26	0	9	5	0	0
V54	19	0	16	30	0	5	1	1	28	3	0	0	0	0	3	3
V55	53	0	49	2	43	27	24	0	0	38	0	6	3	0	0	0
V56	5	0	235	2	63	63	0	0	0	58	1	0	0	0	0	0
V57	198	76	5	79	0	0	0	4	38	9	0	0	0	30	29	11
V58	0	0	18	0	15	0	19	79	6	4	4	6	9	0	0	2
V59	0	1	143	153	0	23	16	38	18	50	29	2	21	5	0	0
V60	62	64	0	0	25	8	0	0	0	0	28	5	0	11	0	0
V61	336	12	46	50	2	14	0	0	0	8	0	0	0	0	38	51
V62	14	73	27	49	0	0	7	18	35	1	0	0	0	0	0	0
V63	190	19	3	21	0	6	76	31	0	0	0	0	94	0	37	0
V64	177	3	30	16	0	18	5	6	3	16	0	0	0	6	36	22
V65	0	0	2	0	5	43	99	205	7	11	0	4	17	0	0	0
V66	132	5	88	0	0	14	95	20	3	41	0	0	30	0	48	14
V67	0	45	78	92	219	163	115	63	90	9	86	86	1	0	0	25
V68	2	74	25	53	11	0	0	0	59	0	33	3	8	1	9	2
V69	0	6	0	46	132	55	58	2	8	0	77	46	23	0	0	0
V70	104	71	42	3	1	0	0	4	3	3	0	0	0	0	9	3
V71	64	199	55	13	0	0	0	0	0	4	0	0	17	79	0	1
V72	53	4	428	15	144	83	15	7	0	137	14	44	0	0	0	0
V73	1	10	92	7	0	0	13	0	0	33	0	0	0	0	0	0
V74	0	7	0	2	90	21	75	124	0	0	18	23	29	0	0	2
V75	45	5	23	23	0	0	13	0	32	10	1	0	20	0	5	3
V76	4	35	22	140	0	1	63	53	48	3	0	0	21	0	2	26
V77	18	88	64	0	16	28	0	0	3	25	3	9	0	0	0	0
V78	3	22	49	3	170	125	16	8	0	14	27	74	0	0	0	0
V79	3	81	107	108	0	8	0	0	62	23	3	0	0	16	0	0
V80	263	6	0	132	6	7	0	0	0	0	34	0	0	15	26	8
V81	88	13	11	0	0	9	0	0	0	3	0	0	0	0	23	7
V82	4	63	2	144	0	0	0	0	22	0	0	0	0	0	0	7
