NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	71.25	23.936	15.861	15.81	0.117	0.983	60000.0
2	71.753	24.253	16.545	16.556	0.117	0.981	40000.0
3	70.649	24.127	16.242	16.454	0.116	0.981	40000.0
4	73.191	24.627	16.853	16.605	0.121	0.981	50000.0
5	71.299	23.729	16.529	16.243	0.114	0.981	50000.0
6	74.769	25.331	17.291	17.227	0.123	0.978	60000.0
7	72.069	24.507	16.284	16.497	0.119	0.98	60000.0
8	73.511	24.772	17.059	17.191	0.116	0.979	80000.0
9	70.401	23.888	16.246	16.454	0.117	0.981	40000.0
10	72.615	24.474	17.035	16.83	0.112	0.98	40000.0
