MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.21E-03	4.72E-03	6.29E-04	1.38E-04	8.03E-04
1:Del:C:1	9.03E-04	3.35E-03	7.61E-04	1.29E-03	9.21E-04
1:Del:C:2	2.47E-04	3.29E-04	1.26E-04	1.27E-04	1.31E-04
1:Del:C:3	3.13E-04	6.77E-04	3.09E-04	4.30E-04	3.96E-04
1:Del:C:4	4.13E-04	2.00E-04	2.42E-04	5.18E-04	2.70E-04
1:Del:C:5	3.85E-04	4.63E-04	3.36E-04	8.50E-04	1.55E-03
1:Del:T:0	1.93E-03	3.27E-03	1.02E-03	1.47E-03	1.14E-03
1:Del:T:1	1.45E-03	1.35E-03	2.51E-04	1.78E-04	3.50E-04
1:Del:T:2	1.23E-03	1.32E-03	6.28E-04	7.27E-04	2.79E-04
1:Del:T:3	1.70E-03	1.55E-03	6.74E-04	1.30E-03	6.18E-04
1:Del:T:4	1.32E-03	2.00E-03	1.07E-03	2.62E-03	5.22E-04
1:Del:T:5	6.15E-04	2.69E-02	3.09E-08	4.76E-02	1.49E-03
1:Ins:C:0	4.27E-09	3.71E-04	1.53E-04	6.69E-05	1.07E-04
1:Ins:C:1	8.55E-06	2.94E-04	1.59E-04	9.60E-05	9.00E-09
1:Ins:C:2	2.06E-08	3.43E-04	9.83E-05	1.51E-04	2.28E-04
1:Ins:C:3	3.34E-05	2.31E-02	7.39E-04	1.11E-02	5.81E-04
1:Ins:C:4	2.11E-04	8.03E-02	1.72E-03	4.11E-02	9.74E-04
1:Ins:C:5	2.12E-04	3.75E-04	1.57E-03	7.02E-04	0.00E+00
1:Ins:T:0	5.33E-04	5.88E-04	4.49E-04	3.54E-04	3.85E-04
1:Ins:T:1	3.57E-04	9.42E-04	3.71E-04	4.45E-04	0.00E+00
1:Ins:T:2	2.02E-04	2.81E-04	1.50E-04	2.44E-04	7.00E-06
1:Ins:T:3	1.10E-04	6.45E-04	4.26E-04	2.10E-04	2.24E-04
1:Ins:T:4	2.72E-04	1.61E-04	7.82E-04	5.03E-04	0.00E+00
1:Ins:T:5	2.71E-03	1.93E-03	4.98E-02	1.65E-07	1.49E-07
2:Del:R:0	4.55E-04	9.13E-04	3.31E-04	2.92E-04	7.60E-04
2:Del:R:1	2.48E-04	2.03E-03	6.96E-04	8.90E-04	5.65E-04
2:Del:R:2	1.62E-04	1.81E-04	4.84E-05	3.38E-04	3.78E-05
2:Del:R:3	1.85E-09	1.18E-04	1.59E-04	1.26E-04	1.84E-04
2:Del:R:4	3.97E-05	1.25E-04	6.83E-05	1.95E-04	9.32E-05
2:Del:R:5	6.03E-05	4.32E-09	4.87E-09	4.45E-05	1.01E-04
3:Del:R:0	2.36E-04	1.37E-03	8.41E-04	5.87E-04	3.33E-04
3:Del:R:1	6.79E-04	6.55E-04	5.46E-04	7.41E-04	3.10E-03
3:Del:R:2	1.94E-04	3.02E-04	1.04E-04	2.04E-04	2.66E-04
3:Del:R:3	5.90E-05	7.42E-05	3.94E-09	1.14E-04	4.19E-09
3:Del:R:4	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
3:Del:R:5	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
4:Del:R:0	2.03E-04	1.02E-03	4.21E-04	4.72E-04	5.10E-04
4:Del:R:1	2.73E-04	1.38E-04	2.51E-04	2.39E-04	4.11E-04
4:Del:R:2	4.96E-05	1.06E-04	9.97E-05	9.29E-05	7.05E-05
4:Del:R:3	4.92E-05	3.38E-08	4.80E-08	7.00E-08	3.85E-07
4:Del:R:4	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
4:Del:R:5	1.01E-07	3.80E-07	9.88E-08	1.24E-07	2.14E-02
5:Del:R:0	1.10E-04	4.33E-02	1.78E-02	1.60E-02	9.02E-03
5:Del:R:1	1.07E-04	5.20E-04	1.71E-04	2.37E-04	3.04E-04
5:Del:R:2	1.36E-04	1.74E-04	0.00E+00	1.00E-04	6.91E-05
5:Del:R:3	4.92E-05	2.34E-08	5.44E-05	9.57E-06	4.24E-04
5:Del:R:4	6.11E-05	5.63E-04	1.22E-04	2.01E-04	1.42E-08
5:Del:R:5	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
2:Ins:R:0	1.78E-04	1.75E-03	5.53E-04	8.14E-04	3.66E-04
2:Ins:R:1	3.34E-04	3.72E-04	2.02E-04	1.77E-04	0.00E+00
2:Ins:R:2	0.00E+00	7.63E-03	2.16E-04	3.87E-03	4.85E-04
2:Ins:R:3	4.28E-05	1.35E-04	6.24E-05	2.76E-05	7.50E-05
2:Ins:R:4	5.49E-09	1.35E-04	2.48E-04	2.65E-04	7.56E-05
2:Ins:R:5	1.80E-04	6.37E-04	7.68E-04	8.25E-04	1.43E-04
3:Ins:R:0	2.64E-08	3.04E-05	3.53E-05	8.21E-09	8.73E-05
3:Ins:R:1	1.44E-04	2.72E-04	1.69E-04	1.44E-04	1.31E-04
3:Ins:R:2	6.50E-09	7.06E-05	6.48E-06	8.29E-05	4.15E-05
3:Ins:R:3	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
3:Ins:R:4	6.00E-05	3.38E-05	6.17E-05	1.40E-08	1.16E-04
3:Ins:R:5	3.67E-05	2.28E-04	2.76E-04	2.00E-04	4.51E-06
4:Ins:R:0	1.47E-04	8.94E-05	2.89E-05	1.62E-05	8.90E-05
4:Ins:R:1	9.74E-05	1.64E-04	1.25E-04	2.66E-04	2.03E-04
4:Ins:R:2	3.08E-08	3.44E-08	6.40E-05	5.88E-05	5.36E-08
4:Ins:R:3	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
4:Ins:R:4	7.57E-05	1.33E-04	9.86E-05	9.75E-09	9.40E-09
4:Ins:R:5	0.00E+00	2.95E-04	8.01E-05	1.12E-04	2.39E-04
5:Ins:R:0	0.00E+00	8.77E-05	7.76E-05	1.25E-05	5.18E-08
5:Ins:R:1	1.33E-04	1.98E-03	9.71E-04	7.25E-04	4.01E-04
5:Ins:R:2	2.50E-08	3.09E-07	3.74E-08	5.46E-08	4.85E-05
5:Ins:R:3	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
5:Ins:R:4	2.95E-09	2.18E-08	5.97E-09	1.32E-08	5.13E-09
5:Ins:R:5	3.54E-05	4.98E-04	1.33E-04	3.57E-04	1.25E-08
2:Del:M:1	2.44E-04	3.57E-04	1.65E-04	1.03E-06	2.52E-04
3:Del:M:1	2.96E-04	1.63E-03	6.96E-04	3.18E-04	2.02E-04
3:Del:M:2	2.59E-04	4.97E-04	4.41E-04	3.36E-04	3.78E-04
4:Del:M:1	1.77E-04	1.29E-03	3.65E-04	4.71E-04	6.30E-04
4:Del:M:2	2.72E-04	1.93E-04	1.47E-04	1.44E-04	0.00E+00
4:Del:M:3	1.66E-04	3.74E-04	2.47E-04	9.40E-06	1.69E-04
5:Del:M:1	3.66E-04	3.95E-02	1.61E-02	1.32E-02	7.41E-03
5:Del:M:2	0.00E+00	2.11E-02	9.06E-03	7.82E-03	4.44E-03
5:Del:M:3	4.01E-05	8.03E-03	3.09E-03	2.58E-03	1.56E-03
5:Del:M:4	1.63E-05	2.22E-03	9.20E-04	5.65E-04	5.29E-04
5:Del:M:5	8.01E-05	1.81E-03	1.06E-03	8.57E-04	3.42E-04
