Samples	ID1	ID2	ID8	ID9	ID83B	ID83F
V1	0	74	69	103	38	0
V2	0	0	108	182	0	0
V3	0	23	52	15	13	8
V4	0	70	0	180	207	32
V5	45	238	75	0	155	0
V6	0	22	32	0	56	58
V7	0	0	76	0	0	50
V8	64	40	0	0	0	155
V9	27	16	0	153	66	0
V10	0	11	86	0	22	19
V11	48	216	0	0	25	60
V12	89	23	0	117	44	0
V13	117	0	0	0	13	0
V14	0	18	18	0	9	20
V15	81	192	0	0	0	0
V16	54	0	0	103	143	0
V17	0	171	0	215	0	0
V18	33	0	127	0	0	157
V19	104	0	163	0	0	31
V20	16	56	0	61	0	98
V21	151	0	434	0	0	0
V22	44	46	80	0	0	22
V23	0	209	110	0	60	0
V24	30	0	126	32	0	50
V25	0	165	0	0	104	163
V26	35	0	0	327	0	107
V27	26	0	158	0	168	47
V28	27	0	0	93	0	63
V29	68	0	0	0	160	140
V30	45	141	0	61	0	26
V31	0	0	0	218	251	0
V32	0	197	0	0	56	0
V33	0	0	63	156	0	16
V34	0	49	77	0	204	89
V35	0	0	17	15	30	0
V36	0	41	0	62	0	56
V37	164	0	0	153	0	62
V38	73	71	173	68	0	0
V39	16	27	30	0	48	0
V40	0	32	0	50	27	69
V41	0	589	172	0	0	0
V42	0	80	0	61	29	37
V43	51	43	0	142	0	22
V44	61	79	143	0	0	223
V45	110	0	0	266	0	53
V46	102	33	0	32	0	15
V47	84	28	0	209	0	0
V48	27	0	111	0	95	35
V49	4	0	24	0	0	6
V50	400	0	0	0	0	274
V51	0	118	0	0	101	41
V52	0	48	0	0	266	38
V53	167	0	0	297	0	231
V54	73	0	34	49	72	0
V55	0	0	103	31	0	87
V56	11	0	0	80	0	27
V57	67	19	47	0	107	0
V58	0	48	0	0	284	110
V59	158	0	53	207	40	0
V60	64	17	0	0	0	32
V61	0	178	69	0	0	200
V62	0	0	0	54	32	9
V63	75	242	0	0	87	226
V64	0	0	69	0	0	132
V65	275	29	56	0	0	0
V66	28	73	53	0	90	43
V67	11	0	0	0	48	52
V68	104	0	0	104	0	0
V69	14	46	0	0	49	0
V70	0	0	0	274	0	75
V71	43	0	234	61	0	0
V72	224	0	0	0	0	245
V73	94	81	0	165	56	0
V74	53	0	23	0	24	26
V75	22	106	0	40	0	0
V76	251	81	0	282	0	0
V77	78	0	76	138	0	0
V78	24	0	20	68	0	0
V79	32	19	312	0	0	0
V80	0	37	0	226	32	0
V81	27	8	13	13	6	0
V82	19	0	0	0	139	0
V83	39	0	30	39	31	73
V84	62	88	0	0	0	142
V85	0	0	0	282	0	43
V86	0	0	0	0	120	18
V87	62	10	29	31	0	18
V88	51	0	256	0	25	0
V89	64	0	0	110	0	0
V90	0	80	123	0	129	0
V91	70	18	147	72	52	0
V92	30	68	102	0	0	0
V93	0	0	110	166	57	24
V94	32	40	26	24	19	0
V95	0	45	0	0	300	0
V96	51	0	0	66	22	94
V97	0	16	0	106	60	22
V98	0	92	44	0	140	0
V99	13	13	52	29	13	0
V100	0	77	113	159	0	0
