Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	0.00E+00	2.38E+01	1.13E+00	9.36E-01	1.29E+00	0.00E+00	0.00E+00	6.11E-01	7.00E-01	2.44E+01
V2	4.28E+01	2.76E+00	7.27E-01	6.31E+00	1.72E+01	1.26E+00	4.17E+01	2.01E+01	1.30E+00	5.86E+00
V3	3.29E+00	6.43E+00	3.56E+00	3.62E+00	1.03E+00	1.24E+00	2.86E+00	3.96E+00	3.62E+00	6.95E+00
V4	2.32E+00	2.49E-01	0.00E+00	3.59E-01	0.00E+00	0.00E+00	2.19E+00	0.00E+00	3.42E-01	2.00E-01
V5	8.27E+00	1.18E+00	1.28E+00	3.01E+00	0.00E+00	0.00E+00	8.52E+00	9.45E-01	3.63E+00	1.98E+00
V6	7.39E+00	8.70E-01	3.03E+00	1.61E+00	1.34E+01	1.39E+00	8.32E+00	1.56E+01	5.06E+00	2.11E+00
V7	1.04E+01	7.00E-01	5.68E+00	1.22E+00	1.82E+00	1.89E+00	9.59E+00	5.42E+00	8.06E-01	1.02E+00
V8	1.68E+00	5.55E+00	4.99E+00	3.76E+00	1.09E+01	3.03E+00	6.06E+00	9.88E+00	5.16E+00	6.23E+00
V9	2.23E+01	4.07E-01	1.43E+00	7.39E+00	2.13E-01	1.26E+01	2.17E+01	1.39E+00	9.45E+00	3.42E-01
V10	3.50E+00	2.60E+00	8.62E-01	1.07E+01	4.65E+00	2.52E+00	3.64E+00	5.55E+00	9.97E+00	2.67E+00
V11	1.25E+01	1.08E+00	2.79E+00	2.13E-01	1.47E+00	0.00E+00	1.27E+01	1.50E+00	7.61E-01	4.01E-01
V12	4.07E-01	3.48E+00	0.00E+00	1.38E+00	2.64E+00	0.00E+00	4.73E-01	3.17E+00	1.12E+00	3.33E+00
V13	9.04E+00	3.51E+00	6.57E+00	1.01E+00	2.29E+00	0.00E+00	8.44E+00	5.93E+00	6.40E+00	7.97E+00
V14	8.95E-01	4.79E+00	1.08E+00	3.18E+00	2.42E+00	4.76E-01	9.21E-01	2.96E+00	4.39E+00	6.56E+00
V15	2.59E+00	2.03E+00	1.27E+00	8.98E-01	2.92E+00	0.00E+00	2.30E+00	2.91E+00	1.06E+00	2.29E+00
V16	1.91E+00	2.77E+00	0.00E+00	9.87E-01	0.00E+00	2.77E+00	1.78E+00	1.49E+00	4.00E-01	4.36E+00
V17	3.89E-01	1.67E+00	4.18E+00	2.30E+00	9.04E-01	5.86E-01	5.00E-01	3.64E+00	3.10E+00	2.35E+00
V18	0.00E+00	5.58E-01	2.58E+00	1.71E+01	2.18E+00	0.00E+00	1.53E+00	4.75E+00	1.48E+01	6.00E-01
V19	3.40E-01	0.00E+00	3.00E-01	2.24E-01	5.39E-01	0.00E+00	0.00E+00	4.00E-01	2.13E-01	0.00E+00
V20	1.94E+00	6.14E+00	2.35E+00	7.90E-01	4.27E-01	1.36E+00	1.55E+00	1.75E+00	1.10E+00	4.46E+00
V21	1.96E+00	1.29E+01	0.00E+00	3.80E+00	1.87E+00	4.34E+00	4.86E+00	1.40E+00	3.74E+00	1.36E+01
V22	7.95E-01	2.30E+00	2.96E+00	1.00E-01	8.00E-01	1.03E+00	1.36E+00	2.84E+00	3.12E+00	4.47E+00
V23	1.42E+01	3.96E+00	7.17E+00	2.67E-01	6.70E-01	1.35E+00	1.47E+01	4.84E+00	4.00E+00	3.83E+00
V24	1.67E+00	2.00E+00	0.00E+00	1.49E+00	2.08E+00	3.25E+00	1.45E+00	1.96E+00	1.96E+00	3.26E+00
V25	1.08E+01	2.05E+00	1.13E+00	6.63E-01	6.67E-01	6.54E-01	1.09E+01	5.00E-01	3.06E-01	2.74E+00
V26	2.96E+00	3.06E-01	1.24E+01	3.37E+00	0.00E+00	1.57E+00	3.38E+00	1.13E+01	3.49E+00	9.00E-01
V27	2.19E+01	0.00E+00	2.13E-01	5.26E+00	0.00E+00	1.36E+00	2.12E+01	0.00E+00	4.22E+00	0.00E+00
V28	2.04E+00	1.56E+00	4.47E-01	1.51E+00	4.32E+00	1.64E+00	3.28E+00	4.14E+00	1.45E+00	1.23E+00
V29	4.33E-01	4.02E+00	5.54E-01	2.86E+00	2.09E+00	1.93E+00	1.25E+00	1.65E+00	3.56E+00	4.13E+00
V30	2.16E+00	4.67E-01	7.06E-01	4.73E+00	1.62E+00	9.71E-01	3.35E+00	1.20E+00	2.60E+00	9.00E-01
V31	5.73E-01	8.83E+00	0.00E+00	6.70E-01	0.00E+00	3.45E+00	3.00E-01	0.00E+00	1.37E+00	9.96E+00
V32	3.07E+01	1.17E+00	0.00E+00	1.00E-01	3.40E-01	0.00E+00	3.16E+01	1.00E-01	7.06E-01	3.30E+00
V33	3.71E+00	7.30E-01	6.90E-01	3.43E+00	1.31E+00	1.89E+00	3.00E+00	1.94E+00	4.10E+00	6.99E-01
V34	9.00E-01	1.93E+00	0.00E+00	5.16E+00	2.73E+00	0.00E+00	5.97E-01	2.73E+00	5.04E+00	1.58E+00
V35	0.00E+00	3.96E-01	0.00E+00	6.70E-01	4.70E+00	1.89E+00	5.21E-01	5.39E+00	1.78E+00	2.67E-01
V36	1.05E+00	2.86E+00	9.04E-01	6.01E+00	0.00E+00	6.87E-01	6.00E-01	4.00E-01	5.30E+00	1.91E+00
V37	8.26E+00	3.94E+00	6.28E+00	0.00E+00	1.36E+00	2.11E+00	6.29E+00	6.46E+00	2.14E+00	7.36E+00
V38	2.25E+01	3.00E-01	1.12E+00	4.00E-01	2.36E+00	1.22E+00	2.28E+01	4.42E+00	1.36E+00	6.25E+00
V39	1.89E+00	9.26E+00	3.82E+00	2.00E+00	2.66E+00	9.32E-01	2.28E+00	3.84E+00	3.67E+00	9.27E+00
V40	4.77E-01	2.35E+00	0.00E+00	0.00E+00	0.00E+00	3.63E+00	3.80E+00	0.00E+00	3.00E-01	1.03E+00
V41	4.17E+00	2.67E-01	3.02E+00	0.00E+00	8.36E-01	2.76E+00	3.34E+00	2.69E+00	9.00E-01	1.03E+00
V42	1.41E+01	1.96E+00	0.00E+00	7.45E-01	3.88E+00	4.18E+00	1.37E+01	3.58E+00	0.00E+00	8.00E-01
V43	2.11E+00	1.71E+00	1.32E+00	4.73E-01	3.79E+00	4.58E-01	9.68E-01	4.33E+00	5.21E-01	1.30E+00
V44	1.69E+00	2.69E-01	1.71E+00	6.86E+00	1.09E+00	2.21E-01	1.65E+00	2.14E+00	7.19E+00	1.51E+00
V45	5.57E+00	3.99E+00	3.07E-01	5.10E+00	1.00E-01	1.28E+00	4.82E+00	5.97E-01	5.22E+00	6.19E+00
V46	1.36E+01	9.78E-01	2.21E+00	4.42E-01	1.93E+00	1.53E+00	1.28E+01	3.02E+00	3.06E-01	9.43E-01
V47	2.27E+01	4.00E+00	1.58E+00	1.57E+00	5.54E-01	1.33E+00	2.32E+01	1.69E+00	1.33E+00	8.40E+00
V48	2.25E+01	3.35E-01	1.47E+00	0.00E+00	8.72E-01	1.22E+01	2.31E+01	6.96E-01	2.00E+00	3.06E-01
V49	9.56E+00	1.66E+01	7.06E-01	5.50E+00	9.00E+00	6.15E-01	8.94E+00	1.43E+01	4.43E+00	1.70E+01
V50	7.98E+00	7.13E+00	1.81E+00	5.54E-01	3.89E-01	1.55E+00	9.46E+00	1.79E+00	1.53E+00	7.94E+00
V51	3.59E+00	3.50E+00	1.95E+00	7.12E+00	2.94E+00	1.25E+00	3.96E+00	4.30E+00	8.89E+00	4.70E+00
V52	0.00E+00	3.18E+00	6.92E+00	2.55E+00	5.91E+00	1.53E+00	0.00E+00	8.38E+00	1.38E+00	3.64E+00
V53	2.19E+00	1.67E+00	2.00E+00	8.72E-01	8.14E-01	0.00E+00	2.49E+00	2.30E+00	1.42E+00	2.55E+00
V54	1.99E+01	8.03E+00	3.07E+00	1.35E+00	1.70E+00	1.11E+00	2.32E+01	2.55E+00	2.35E+00	1.14E+01
V55	2.09E+00	2.06E+00	1.22E+00	1.78E+00	2.30E+00	4.42E-01	1.37E+00	2.62E+00	2.13E+00	2.44E+00
V56	2.49E+00	3.96E-01	0.00E+00	2.96E+00	5.04E+00	1.74E+00	2.35E+00	4.26E+00	4.20E+00	6.53E-01
V57	6.29E-01	3.00E+00	6.40E-01	1.14E+00	5.70E+00	5.05E+00	6.20E+00	8.84E+00	4.16E+00	3.83E+00
V58	1.46E+01	6.66E+00	4.81E+00	0.00E+00	1.22E+00	6.86E-01	1.15E+01	3.59E+00	3.18E+00	6.91E+00
V59	6.23E+00	8.66E+00	2.18E+00	0.00E+00	6.05E-01	9.99E+00	1.08E+01	2.20E+00	1.67E+00	1.04E+01
V60	2.23E+00	8.98E-01	0.00E+00	1.67E+00	2.15E+00	7.06E-01	2.09E+00	2.48E+00	2.13E+00	0.00E+00
V61	7.48E-01	9.06E+00	1.81E+00	1.83E+01	0.00E+00	8.67E-01	1.10E+00	8.00E-01	1.74E+01	1.08E+01
V62	0.00E+00	9.33E-01	1.36E+00	1.79E+00	4.04E+00	1.19E+00	1.47E+00	4.22E+00	1.27E+00	0.00E+00
V63	1.95E+00	4.44E+00	3.77E+00	1.16E+01	1.19E+01	2.50E+00	3.90E+00	1.07E+01	1.52E+01	5.31E+00
V64	1.14E+01	8.00E-01	3.86E+00	1.52E+00	2.35E+00	2.96E+00	1.31E+01	1.95E+00	2.74E+00	1.87E+00
V65	1.05E+01	2.67E-01	8.46E-01	1.56E+00	3.12E+00	1.59E+00	9.59E+00	3.04E+00	2.62E+00	4.00E-01
