Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	131	21	3	0	171	0	0	0	23
V2	0	86	0	1	72	11	48	0	37
V3	158	34	25	19	9	14	0	41	1
V4	18	111	29	3	81	6	137	1	0
V5	4	59	76	4	24	0	0	0	28
V6	4	268	0	88	21	2	36	26	10
V7	125	644	0	187	40	21	15	34	3
V8	0	26	41	35	22	7	128	14	0
V9	0	17	45	57	153	3	11	0	0
V10	49	7	224	19	21	5	0	10	0
V11	96	110	20	13	23	0	0	0	0
V12	270	5	18	0	5	10	17	0	19
V13	18	0	138	14	64	2	0	7	45
V14	12	38	135	60	17	0	0	18	7
V15	66	13	24	35	10	38	67	0	28
V16	70	0	11	48	95	0	140	0	0
V17	0	2	58	34	5	25	0	0	10
V18	32	6	13	51	22	0	26	0	1
V19	14	141	0	8	57	10	11	0	15
V20	42	2	5	34	74	50	23	25	1
V21	17	132	16	0	148	40	35	24	20
V22	43	107	81	66	32	5	10	0	2
V23	13	0	0	236	14	32	0	30	7
V24	42	0	42	17	0	0	23	17	0
V25	51	129	154	115	0	14	19	2	0
V26	25	12	280	15	0	14	0	0	0
V27	46	47	187	6	2	20	4	0	10
V28	27	12	289	38	26	40	39	0	47
V29	209	84	0	0	0	0	0	43	0
V30	204	23	5	6	166	0	42	0	3
V31	47	0	65	18	0	8	8	28	0
V32	19	58	20	15	41	50	15	0	0
V33	0	31	0	42	130	197	66	17	20
V34	15	13	0	7	25	20	23	0	10
V35	29	0	72	14	0	1	1	7	6
V36	0	0	6	35	46	7	13	1	0
V37	5	56	40	40	24	65	0	13	53
V38	253	67	73	22	6	6	0	33	0
V39	378	4	0	18	48	15	42	0	0
V40	5	0	0	135	145	23	79	5	0
V41	12	29	12	0	0	0	37	0	0
V42	42	164	17	58	84	0	51	18	0
V43	2	2	0	55	51	27	0	0	0
V44	127	47	162	9	17	0	44	0	0
V45	20	2	283	0	32	21	5	9	2
V46	19	69	14	0	0	4	0	39	21
V47	11	0	4	28	69	84	45	5	24
V48	0	0	0	7	19	8	19	0	37
V49	0	69	44	15	28	7	47	0	15
V50	16	120	3	0	0	0	10	50	0
V51	54	100	0	58	44	157	0	102	0
V52	14	224	24	48	0	32	0	15	25
V53	3	97	84	102	56	31	0	0	0
V54	0	62	7	112	0	8	9	18	0
V55	29	3	0	55	70	83	19	0	0
V56	34	1	36	0	0	0	19	15	0
V57	0	83	34	4	125	0	83	0	0
V58	23	17	7	0	0	10	5	0	0
V59	1	0	26	4	4	0	3	15	46
V60	105	26	6	14	0	30	8	0	0
V61	69	14	71	1	0	4	39	0	0
V62	12	97	4	84	154	21	0	7	17
V63	407	46	0	3	9	64	97	0	0
V64	0	19	0	71	97	12	0	0	63
V65	0	14	0	0	0	7	2	5	3
V66	211	0	8	0	26	70	0	59	9
V67	30	9	1	60	0	3	0	23	0
V68	19	23	45	0	85	2	0	0	0
V69	197	10	119	22	0	5	0	0	3
V70	59	194	27	141	0	0	12	0	0
V71	2	9	238	297	83	6	0	0	105
V72	15	4	154	232	0	0	2	0	5
V73	34	97	6	9	213	10	42	0	0
V74	53	182	0	64	24	30	0	100	0
V75	271	5	57	26	31	11	0	7	0
V76	27	9	163	79	32	20	52	0	0
V77	85	50	0	59	12	75	0	37	0
V78	63	0	6	66	24	28	0	1	0
V79	16	10	165	16	8	6	0	49	0
V80	531	129	0	33	0	0	8	0	16
V81	34	91	21	275	2	4	0	17	0
V82	28	0	1	127	8	50	43	30	0
V83	54	0	5	61	159	0	43	0	0
V84	0	11	54	116	85	0	1	0	9
V85	3	7	49	32	73	2	12	0	12
V86	0	13	175	2	16	2	17	15	0
V87	5	25	91	115	13	185	54	0	0
V88	16	11	104	23	10	0	0	0	28
V89	9	5	42	15	14	85	0	0	0
V90	226	290	21	22	10	37	0	0	0
V91	165	114	0	61	31	20	0	21	0
V92	218	179	183	173	18	0	0	0	51
V93	4	101	7	10	0	3	2	0	0
V94	28	113	1	81	33	0	0	0	0
V95	73	40	51	0	3	4	0	0	0
V96	111	0	0	31	40	17	6	0	10
V97	48	9	27	5	141	70	0	0	7
V98	29	0	141	106	50	0	38	0	15
V99	0	5	100	56	13	0	0	0	11
V100	48	0	0	27	92	40	0	40	22
