MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.000561347370967269	0.0010107160545885564	0.0007010784157102989	9.303756793599405e-05	0.006951290867920079	0.5834819942712783	0.0016556156209901474	0.043071369167046215	0.048527876324328645	0.05290795634135179	0.005990504659712315
1:Del:C:1	0.00013218609383329748	0.0013045443105511368	0.00227538868693955	8.142707520164549e-06	0.0068389556370675566	0.05214817561209202	1.4067419442653773e-07	0.10617986639263108	0.03365409276510718	0.04867644160985947	0.014527081634287242
1:Del:C:2	0.0006272868595260661	0.0021499396883882583	7.611445616930723e-05	0.0012576203604112378	0.0007845277403248474	0.005846354656387121	0.024380892794579268	0.0014137449790723622	0.057472330331802365	0.003389268310274929	0.005414855107665062
1:Del:C:3	0.00024696213514801	2.184548876016379e-07	0.0006083463223504282	0.0003026700288501161	0.0020476464888041336	4.6328025802536047e-07	0.8146040439605713	0.0015031921221407174	0.04045358187634065	7.006492321624085e-46	0.0041456853666090865
1:Del:C:4	0.0009682601201348006	0.0004877875471720472	0.0009354803245514631	0.0007089828574265766	0.0018832614296115935	0.004743449226953089	0.0	0.005442607111763209	0.0012524515987024643	0.026432422548532487	0.008729570754803717
1:Del:C:5	0.010799324358026751	0.0	0.0004514759639278054	0.002799149123296729	0.0002222558483481407	0.0	5.5451254593208435e-05	0.0	0.0026129054860689394	0.015602410498240715	0.017879854375496506
1:Del:T:0	0.004074954730458558	1.4012984643248171e-46	0.004421568819088862	0.001096765449619852	0.026683956664055587	0.09269734360277652	0.007016793207731098	0.047749144776025786	0.013330128113739192	0.09293256122618913	0.0768996577244252
1:Del:T:1	1.1681186606438132e-06	0.00032611220653464554	0.0002600615217488667	0.00011870995064384715	0.006651657773181796	0.02286967988094375	3.232192539144307e-05	0.05214062468148768	0.016026539871165823	0.009251298007984587	0.02126713446178883
1:Del:T:2	0.0046094343921652126	0.002178331368486397	0.0	0.0	0.0027148062596097588	0.026362931914627553	0.006150525435805321	0.045806405553594234	0.03340667886659503	0.09364205300807953	0.014883352536708116
1:Del:T:3	0.011985147744417191	0.0006165780127048492	0.00940392251686717	0.001443144556833431	0.006052890783757902	0.10106714218854904	0.0	0.06724753370508552	0.039525327819865196	0.023149612452834846	0.03301258861320093
1:Del:T:4	0.00933682943503129	3.6512397230126224e-07	2.1738584266017824e-09	7.430675922392993e-05	0.007843094319105149	0.012671409147264967	6.561669408711168e-07	0.014309008389409428	0.015617475286126137	0.4445809260010719	0.02397028726454664
1:Del:T:5	0.9049753189086914	1.4389428173444685e-07	1.2210050499561475e-07	0.0002666073717250583	0.000871098876632459	3.2937593346105133e-07	0.003194891918929	0.003278076648712158	1.2285830734981574e-07	0.026333689689636258	0.4822977900505066
1:Ins:C:0	4.3340304785033367e-07	0.0003961108098735622	1.3738263290869162e-34	0.00010680604558359619	0.0010492035012930501	8.855427324760968e-09	5.679286108062342e-07	0.0025608781492337585	3.42031462992054e-06	0.0005595706409970092	0.002488623885437846
1:Ins:C:1	2.923274275055121e-05	6.3785061676924215e-09	2.9763098652324516e-09	7.764753533479052e-08	0.00422440622933209	9.328591695307864e-05	4.710798850453557e-05	0.0007309462828828828	2.4488998406013708e-06	3.6489848298515426e-07	0.0008151615180906902
1:Ins:C:2	3.3902514928740855e-08	0.0003867873058197802	2.0892034058306308e-07	4.5870867992903186e-08	0.0014931848522110158	0.00010306381591362879	1.2692839845840353e-08	0.0015386033071990823	7.381610600987187e-07	0.0001795220975736811	0.0007727194426234262
1:Ins:C:3	3.377704178575414e-08	7.155596470909132e-09	1.8666350865004232e-08	0.0007707805838435888	7.463890149708163e-05	4.089875389468034e-08	3.213670041191108e-08	0.00031203191599402655	2.670614996702625e-07	0.0	0.00031659431090389487
