NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	37.776	16.046	9.352	9.793	0.09	0.993	60000.0
2	38.883	16.813	9.632	10.343	0.091	0.993	40000.0
3	41.755	17.94	10.519	11.211	0.094	0.991	70000.0
4	36.254	15.703	8.841	9.535	0.09	0.993	30000.0
5	40.021	17.145	10.073	10.451	0.088	0.992	50000.0
6	42.168	18.299	10.656	11.209	0.093	0.991	30000.0
7	39.868	17.554	9.665	10.297	0.094	0.993	60000.0
8	42.464	18.799	10.571	11.478	0.1	0.991	40000.0
9	42.289	17.989	10.397	10.573	0.096	0.993	50000.0
10	40.639	17.773	10.241	10.978	0.095	0.991	80000.0
