Samples	ID83A	ID83B
V1	102	15
V2	254	2
V3	255	260
V4	169	16
V5	26	108
V6	20	31
V7	0	427
V8	188	129
V9	245	0
V10	88	461
V11	104	0
V12	0	496
V13	225	0
V14	86	644
V15	79	92
V16	0	153
V17	236	52
V18	0	464
V19	186	0
V20	476	171
V21	172	43
V22	321	261
V23	350	85
V24	44	69
V25	160	56
V26	429	153
V27	259	258
V28	42	545
V29	35	80
V30	414	0
V31	185	35
V32	533	35
V33	3	123
V34	71	68
V35	0	325
V36	384	51
V37	55	24
V38	392	0
V39	84	335
V40	461	17
V41	183	110
V42	136	149
V43	110	16
V44	390	8
V45	164	3
V46	49	1
V47	98	145
V48	109	212
V49	258	219
V50	185	188
V51	202	243
V52	558	0
V53	209	335
V54	175	137
V55	169	0
V56	86	12
V57	68	413
V58	279	7
V59	385	0
V60	0	517
V61	158	0
V62	173	165
V63	50	294
V64	54	23
V65	42	299
V66	278	64
V67	83	26
V68	573	63
V69	88	104
V70	175	139
V71	34	10
V72	126	23
V73	170	333
V74	140	49
V75	303	4
V76	113	687
V77	0	105
V78	11	46
V79	85	10
V80	188	137
V81	347	225
V82	244	340
V83	37	57
V84	45	251
V85	248	0
V86	110	181
V87	112	179
V88	0	200
V89	0	203
V90	0	336
V91	109	74
V92	429	24
V93	315	0
V94	194	39
V95	431	35
V96	45	184
V97	6	156
V98	44	24
V99	36	47
V100	3	110
