Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	25	61	72	0	30	26	55	17	89	22
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	192	215	2	32	35	40	164	29	162	49
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	170	349	0	157	9	29	18	20	36	1
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	11	53	84	132	34	31	0	23	5	0
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	131	105	0	56	14	2	89	29	37	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	12	0	0	60	9	0	13	39	30	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	68	93	33	0	0	77	158	18	18	44
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	0	11	115	142	42	20	23	42	108	18
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	174	453	8	220	27	58	93	40	78	72
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	83	193	9	22	12	32	25	26	57	27
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	153	305	0	228	484	33	0	75	97	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	95	269	0	0	14	21	158	0	17	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	63	0	16	181	11	15	44	45	17	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	58	175	0	0	28	10	35	47	20	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	29	112	47	0	139	11	16	142	80	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	0	21	15	34	3	7	28	14	9	2
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	82	408	55	64	5	42	79	52	8	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	162	214	0	174	35	29	64	20	41	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	44	122	31	68	8	6	94	12	31	29
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	201	137	0	125	12	57	18	19	21	14
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	147	186	40	132	21	23	106	18	94	29
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	65	47	137	113	5	13	0	28	15	30
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	0	2	0	0	0	1	15
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	17	197	100	162	1	31	10	29	15	30
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	221	20	0	30	456	51	4	287	59	54
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	55	94	52	156	6	16	33	54	35	1
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	109	251	33	52	10	44	45	46	62	57
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	121	178	106	84	14	51	0	22	78	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	0	209	78	8	16	20	83	15	56	1
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	8	3	170	131	16	7	28	15	27	0
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	224	273	0	269	925	15	84	106	0	0
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	115	60	0	29	31	31	102	29	94	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	0	113	115	36	4	2	41	41	29	5
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	364	614	0	0	778	107	58	166	30	3
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6423	367	0	0	0	383	0	0	570	8
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	21	93	0	0	60	17	92	232	34	50
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	71	251	0	0	589	60	0	519	0	44
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	53	274	0	172	43	17	32	66	85	0
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	26	91	22	19	29	22	82	23	24	39
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	8	19	0	0	5	1	39	0	20	2
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	216	354	0	0	27	18	132	30	63	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	0	284	226	167	59	72	126	83	86	19
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	118	103	0	174	21	34	15	20	40	2
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	49	147	9	75	6	35	44	22	39	0
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	0	222	75	0	9	16	23	50	54	17
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	94	172	0	176	25	29	85	42	14	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	59	161	43	95	27	48	19	29	23	26
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	35	73	57	173	7	15	0	18	22	1
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	88	121	21	105	6	27	75	28	3	5
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	0	43	43	172	14	2	35	38	66	7
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	251	141	216	147	21	40	0	34	24	48
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	0	65	72	0	7	9	60	12	32	1
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	0	234	103	0	11	17	23	53	57	5
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	96	249	170	1	16	39	99	25	18	0
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	54	144	0	165	16	58	0	29	0	40
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	20	202	116	100	25	21	73	17	26	8
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	0	57	50	0	42	0	1	186	42	1
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	375	693	0	0	29	44	186	0	78	61
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	18	80	145	128	8	35	23	19	31	8
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	21	126	98	68	5	35	10	31	36	3
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	224	95	49	13	10	25	146	21	43	8
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	152	259	110	206	12	59	0	19	29	4
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	229	210	125	410	48	113	0	48	191	60
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	39	65	0	85	10	14	35	17	57	0
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	78	214	71	49	39	65	107	67	52	2
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	53	88	0	90	12	17	0	31	17	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	11	58	23	0	19	30	56	41	55	5
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	55	52	19	176	13	15	5	32	0	45
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	35	104	0	206	3	51	39	28	13	1
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	157	383	0	0	21	51	126	15	69	0
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	7245	9145	1327	0	1081	2723	0	104	239	170
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	6	278	0	15	0	5170	0	0	0	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	0	109	66	0	12	28	59	19	18	0
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	9	15	209	81	27	9	34	18	44	29
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	762	206	242	49	1034	40	33	128	0	4
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	2	238	124	0	23	24	19	60	75	4
