MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	3.52E-04	3.65E-04	1.96E-02	1.69E-03	9.76E-04	5.97E-03	7.27E-03	1.76E-02	1.98E-02
1:Del:C:1	2.46E-04	6.23E-04	8.56E-03	2.51E-07	3.41E-04	4.50E-03	8.14E-03	1.57E-02	2.13E-02
1:Del:C:2	6.87E-10	9.74E-05	5.84E-04	2.68E-04	5.46E-05	7.13E-04	1.21E-03	7.29E-04	1.40E-03
1:Del:C:3	2.45E-04	0.00E+00	1.30E-03	1.21E-04	1.03E-03	8.16E-04	1.02E-03	1.67E-03	2.80E-03
1:Del:C:4	2.96E-04	0.00E+00	1.07E-03	3.43E-08	3.08E-04	3.11E-04	7.61E-04	1.45E-03	2.41E-03
1:Del:C:5	4.76E-04	1.43E-05	0.00E+00	9.32E-04	4.51E-04	2.87E-04	2.92E-03	2.69E-03	4.52E-04
1:Del:T:0	8.24E-04	3.98E-04	1.01E-02	9.87E-04	7.92E-04	4.72E-03	9.37E-03	5.14E-02	2.35E-02
1:Del:T:1	1.54E-04	0.00E+00	3.36E-03	4.95E-08	6.66E-04	2.87E-03	7.03E-03	1.91E-02	7.97E-03
1:Del:T:2	3.05E-04	0.00E+00	1.17E-02	1.08E-03	7.83E-04	2.35E-03	1.71E-02	1.01E-02	3.24E-02
1:Del:T:3	6.12E-04	4.69E-05	1.31E-02	2.39E-03	9.00E-04	1.13E-03	5.26E-03	4.42E-03	3.17E-02
1:Del:T:4	3.41E-04	1.02E-03	8.60E-03	3.46E-03	3.11E-03	2.73E-04	2.63E-02	6.60E-03	3.83E-02
1:Del:T:5	8.16E-08	1.32E-07	1.33E-07	7.79E-03	3.56E-07	1.67E-03	5.86E-02	7.57E-07	2.67E-03
1:Ins:C:0	4.90E-05	3.26E-08	1.45E-04	6.73E-09	8.48E-09	7.33E-04	4.57E-04	1.51E-03	3.95E-04
1:Ins:C:1	0.00E+00	1.08E-04	4.04E-09	4.44E-04	1.75E-03	8.34E-04	6.99E-04	3.49E-03	1.30E-03
