NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.224	17.304	11.09	10.204	0.089	0.993	50000.0
2	44.856	16.585	10.76	9.757	0.085	0.994	40000.0
3	43.027	16.171	9.985	9.228	0.086	0.995	60000.0
4	43.576	16.193	10.019	9.173	0.084	0.995	40000.0
5	42.485	15.866	10.122	9.363	0.084	0.995	50000.0
6	44.713	16.656	10.479	9.859	0.09	0.993	40000.0
7	42.383	15.55	9.741	8.928	0.086	0.995	110000.0
8	44.295	16.437	10.685	9.822	0.085	0.994	40000.0
9	42.19	15.761	9.842	9.058	0.088	0.994	60000.0
10	45.486	16.85	10.728	9.719	0.09	0.994	80000.0
