NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	187.943	31.103	43.1	20.398	0.151	0.971	30000.0
2	186.19	31.235	42.626	20.313	0.155	0.972	40000.0
3	187.387	31.276	42.75	20.776	0.15	0.973	60000.0
4	188.322	31.546	43.384	20.922	0.153	0.97	40000.0
5	184.539	30.881	42.149	19.838	0.153	0.973	40000.0
6	185.526	31.406	42.22	20.605	0.155	0.97	40000.0
7	188.158	31.535	43.012	20.809	0.154	0.971	30000.0
8	184.626	30.969	42.053	20.103	0.151	0.971	40000.0
9	188.478	31.516	43.319	20.636	0.156	0.971	30000.0
10	186.647	31.269	42.882	20.26	0.153	0.972	70000.0
