NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.583	20.227	10.45	11.485	0.126	0.989	60000.0
2	42.081	18.891	9.817	11.033	0.124	0.99	50000.0
3	45.702	20.501	10.825	11.849	0.13	0.989	50000.0
4	46.72	21.644	10.979	12.591	0.135	0.988	30000.0
5	43.589	19.439	10.203	11.241	0.125	0.99	50000.0
6	46.419	20.815	11.335	12.373	0.131	0.988	50000.0
7	46.123	20.2	11.136	11.807	0.12	0.989	40000.0
8	45.419	20.529	10.697	11.772	0.126	0.989	50000.0
9	44.561	20.008	10.519	11.432	0.123	0.99	50000.0
10	43.067	19.622	9.927	11.105	0.122	0.99	30000.0
