NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	57.592	23.079	14.357	14.554	0.119	0.986	50000.0
2	56.564	22.396	14.095	14.669	0.111	0.986	70000.0
3	53.707	21.865	12.838	13.478	0.118	0.988	30000.0
4	56.807	22.49	13.636	14.012	0.121	0.987	50000.0
5	57.141	23.443	13.96	15.138	0.119	0.983	60000.0
6	54.424	21.431	13.077	13.469	0.111	0.988	40000.0
7	56.771	23.104	13.891	14.709	0.118	0.986	50000.0
8	56.494	22.54	13.864	14.423	0.117	0.986	30000.0
9	57.364	23.526	13.783	14.809	0.121	0.985	40000.0
10	56.923	23.283	13.586	14.557	0.126	0.986	40000.0
