De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
Signature 83-C, Signature ID9 (100.00%), 5.95,  2.94, 0.071, 1.00, 1.00
Signature 83-D, Signature ID1 (100.00%), 5.32,  1.16, 0.063, 1.00, 1.00
Signature 83-E, Signature ID8 (100.00%), 17.65,  7.77, 0.079, 1.00, 1.00
Signature 83-F, Signature ID2 (100.00%), 9.42,  2.29, 0.070, 1.00, 1.00
