NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.268	20.192	12.725	12.877	0.109	0.988	30000.0
2	55.463	21.897	13.841	14.353	0.108	0.984	30000.0
3	56.405	22.084	14.701	14.792	0.108	0.985	60000.0
4	55.72	21.447	13.86	14.098	0.111	0.986	70000.0
5	52.059	20.475	12.414	13.12	0.117	0.987	90000.0
6	54.871	21.311	13.25	13.709	0.108	0.986	60000.0
7	54.884	21.656	13.495	14.282	0.109	0.985	60000.0
8	55.118	21.622	13.79	14.216	0.114	0.984	30000.0
9	55.098	21.888	13.612	14.395	0.115	0.984	70000.0
10	57.254	22.382	14.356	14.8	0.115	0.985	30000.0
