NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	67.971	23.032	16.529	14.404	0.138	0.985	20000.0
2	66.095	22.781	15.482	13.808	0.135	0.987	40000.0
3	72.897	24.938	17.771	15.719	0.14	0.983	50000.0
4	69.126	24.01	16.467	14.978	0.142	0.985	60000.0
5	71.42	24.482	17.686	15.657	0.143	0.982	40000.0
6	71.78	24.317	17.368	15.279	0.144	0.984	40000.0
7	69.454	24.506	16.805	15.534	0.146	0.983	30000.0
8	70.725	24.049	17.07	14.903	0.141	0.986	50000.0
9	72.84	24.939	17.514	15.252	0.144	0.985	50000.0
10	70.829	24.122	16.886	15.185	0.136	0.984	30000.0
