NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.602	21.967	12.636	13.436	0.126	0.988	30000.0
2	49.52	21.573	12.09	13.059	0.126	0.988	30000.0
3	49.413	21.453	12.289	13.12	0.124	0.988	30000.0
4	49.936	21.914	12.091	13.034	0.127	0.988	30000.0
5	51.006	22.295	12.668	13.447	0.125	0.987	60000.0
6	49.181	21.482	12.044	12.727	0.124	0.989	40000.0
7	48.086	20.996	11.31	11.929	0.126	0.991	40000.0
8	51.511	22.685	12.821	13.919	0.133	0.986	50000.0
9	49.338	21.008	11.786	12.036	0.124	0.991	30000.0
10	49.61	21.449	12.325	12.996	0.126	0.988	20000.0
