Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	11	0	61	32	52	15	0	9	0	0	53	3	0	0	0	0	6	0
V2	43	6	7	0	36	0	31	30	13	13	0	18	0	0	1	0	2	0
V3	4	25	15	29	26	0	0	49	0	0	23	27	0	0	0	0	2	0
V4	4	29	36	0	17	11	0	23	1	1	11	0	0	0	9	0	13	0
V5	65	15	39	0	0	0	8	1	35	15	16	0	0	9	0	0	2	0
V6	51	8	1	39	0	24	0	5	0	0	3	0	0	0	0	8	0	1
V7	30	96	65	38	0	80	8	3	0	6	0	0	0	6	0	0	8	0
V8	2	0	14	0	72	0	0	38	4	27	4	0	0	22	0	0	0	0
V9	45	0	4	147	109	65	60	49	0	0	0	25	0	0	0	0	0	0
V10	45	4	3	0	1	1	0	0	5	0	3	0	0	0	0	1	2	8
V11	17	0	2	18	0	3	0	1	12	24	2	0	0	0	10	0	0	0
V12	1	25	13	0	1	0	35	0	3	3	0	4	25	0	0	0	0	1
V13	5	17	107	29	17	41	10	69	0	0	36	36	0	0	2	9	18	0
V14	144	78	6	23	12	20	19	39	24	0	15	10	0	0	0	14	1	0
V15	138	0	27	3	74	32	18	31	0	32	0	0	50	0	10	16	0	0
V16	72	0	4	25	4	2	0	2	26	0	4	0	0	0	0	0	0	0
V17	139	0	100	31	0	57	0	3	6	21	0	0	0	0	0	0	17	9
V18	28	0	4	30	6	55	9	36	0	0	16	0	0	0	5	6	2	0
V19	9	71	52	26	0	20	0	0	0	0	0	24	1	0	9	0	6	0
V20	12	0	20	28	23	51	0	2	0	28	37	27	0	0	1	0	5	0
V21	8	8	31	110	0	176	0	0	10	9	0	0	8	0	0	0	3	0
V22	11	2	129	10	0	6	0	6	3	0	9	0	0	1	0	0	0	0
V23	9	145	3	21	0	30	17	19	50	84	20	53	47	0	0	0	2	0
V24	79	16	0	9	0	5	0	0	30	12	0	6	18	10	0	6	0	0
V25	28	226	72	16	0	3	0	13	3	38	5	13	9	13	23	0	9	15
V26	64	0	65	23	0	0	0	19	31	5	41	0	0	13	13	6	15	0
V27	16	0	0	184	32	85	0	32	51	80	24	19	0	55	7	0	0	0
V28	49	48	36	0	0	4	3	0	3	0	0	0	0	0	0	19	10	0
V29	20	2	1	61	0	102	0	8	111	52	22	1	0	10	0	0	0	7
V30	0	0	12	6	70	0	112	47	1	0	46	12	0	0	29	0	1	0
V31	28	0	66	68	2	0	5	6	0	1	0	15	18	0	0	0	12	0
V32	5	89	43	3	1	3	0	12	90	25	0	1	47	0	6	0	2	18
V33	30	71	72	38	0	2	0	41	17	34	14	0	0	10	5	0	14	6
V34	24	80	6	0	0	4	24	7	0	2	0	0	0	1	0	3	2	0
V35	114	0	5	18	24	0	38	1	0	7	66	27	0	16	61	0	0	0
V36	2	14	30	4	0	4	0	0	22	3	0	0	0	1	0	0	10	0
V37	38	0	2	0	3	2	5	36	2	0	0	5	11	0	3	3	0	0
V38	7	97	22	77	0	57	17	0	0	0	0	0	89	0	0	0	1	0
V39	41	93	0	33	8	13	0	0	37	11	13	2	0	0	39	0	1	0
V40	5	0	5	0	82	0	0	131	0	0	114	85	0	0	58	0	1	0
V41	5	22	205	25	0	76	0	2	29	0	0	0	0	30	0	0	34	0
V42	21	0	268	0	0	7	3	0	10	19	0	0	0	1	0	0	33	0
V43	88	0	64	14	107	28	7	42	0	0	41	44	0	0	0	0	12	0
V44	29	76	1	3	22	12	47	52	83	29	24	6	0	21	0	10	0	0
V45	11	33	2	36	174	46	90	93	0	55	16	41	40	0	0	0	4	0
V46	12	0	77	21	80	33	1	56	2	0	95	48	0	0	10	0	7	0
V47	15	0	21	25	25	25	17	12	2	6	0	1	0	5	0	3	0	7
V48	8	0	85	27	1	32	113	52	0	0	95	32	0	0	47	0	16	0
V49	49	0	15	0	2	11	0	0	0	0	6	9	0	0	0	23	0	0
V50	11	23	7	2	0	3	19	8	114	35	15	0	0	1	15	0	1	0
V51	95	99	3	0	9	0	29	0	26	31	0	0	45	22	5	14	0	0
V52	55	0	199	12	16	6	0	12	112	14	16	1	0	56	2	0	41	0
V53	151	0	192	94	24	39	0	10	0	18	43	20	48	16	0	20	37	0
V54	0	3	75	0	5	4	0	0	33	7	0	8	0	21	0	0	9	0
V55	2	23	0	0	4	0	29	6	9	0	0	0	0	26	0	0	0	0
V56	46	13	7	120	0	77	9	0	25	26	11	0	0	0	0	0	1	0
V57	6	6	17	3	33	0	0	12	8	1	5	0	0	0	13	0	19	0
V58	62	232	8	95	57	54	26	24	104	72	0	11	46	39	10	35	1	0
V59	1	46	29	10	0	9	2	0	0	0	0	0	6	0	0	0	0	0
V60	49	0	1	10	39	33	40	27	19	10	0	8	0	1	13	33	0	0
V61	33	36	4	0	1	12	0	0	2	1	0	1	43	0	1	0	0	0
V62	1	84	28	31	0	32	0	31	20	0	17	23	0	6	0	0	0	0
V63	10	10	15	18	0	22	0	7	13	24	0	3	0	1	4	0	0	0
V64	26	186	5	0	3	32	24	0	49	38	0	1	41	0	0	0	0	20
V65	0	1	12	4	0	0	0	0	0	5	4	0	0	2	0	0	2	0
V66	23	0	1	6	0	3	18	20	35	0	0	3	13	8	1	22	0	6
V67	0	6	0	22	0	8	0	0	15	4	0	0	9	0	2	0	0	0
V68	17	104	9	2	167	1	349	120	9	0	33	6	0	37	21	0	0	0
V69	311	0	14	0	9	2	0	0	16	24	0	8	0	26	0	31	0	27
V70	16	96	0	62	38	32	4	41	59	52	36	23	15	0	3	0	3	0
V71	0	0	16	17	83	45	29	62	76	61	0	32	0	36	14	11	0	0
V72	4	104	0	107	2	25	0	0	28	17	0	3	29	4	1	0	0	0
V73	0	0	0	119	0	30	0	3	0	0	10	3	0	0	0	0	0	1
V74	178	24	43	1	0	21	0	0	22	21	0	0	0	0	0	18	0	8
V75	9	14	28	0	6	0	0	12	0	0	0	5	0	0	1	0	3	0
V76	75	0	3	33	35	39	0	22	2	6	0	19	0	0	0	0	0	0
V77	10	0	47	68	105	116	5	44	144	60	10	0	0	49	0	0	4	0
V78	63	0	0	84	0	39	0	14	4	5	1	0	3	12	0	0	0	0
V79	1	0	7	25	0	56	0	0	0	0	0	0	9	0	0	0	4	0
V80	1	0	21	53	121	22	1	57	0	0	0	24	0	0	14	14	0	0
V81	85	14	0	0	16	0	5	19	44	98	0	0	0	33	11	7	0	0
V82	1	100	4	0	0	7	83	2	0	0	3	1	2	0	0	0	0	0
V83	77	3	9	5	17	39	44	13	4	0	48	8	2	0	2	0	0	0
V84	25	58	95	0	0	0	12	9	7	6	0	0	0	0	5	0	4	13
V85	85	80	13	24	92	32	226	59	8	0	35	25	0	0	0	35	2	0
V86	1	42	220	1	0	6	62	13	12	0	0	0	0	0	0	0	37	0
V87	4	21	14	2	3	17	0	0	6	0	0	0	13	0	1	0	0	0
V88	23	22	3	0	0	19	0	0	12	2	0	3	22	0	2	19	0	0
V89	24	0	7	0	154	0	78	135	0	0	0	0	13	0	0	23	0	0
V90	7	38	54	35	167	19	24	71	40	0	15	0	0	22	11	7	12	0
V91	27	14	9	61	0	14	41	2	5	1	0	0	0	0	5	23	5	1
V92	4	114	8	0	20	14	12	16	15	26	0	0	5	0	0	5	2	11
V93	83	35	0	0	0	10	17	0	2	11	0	0	39	15	0	7	0	6
V94	66	88	28	1	47	30	49	15	108	18	18	7	0	0	31	19	17	0
V95	129	59	102	32	0	19	91	11	0	3	17	10	0	0	0	54	15	0
V96	1	0	64	61	19	13	7	0	0	1	43	0	0	8	0	0	2	0
V97	11	55	6	54	4	6	0	3	59	37	0	0	0	48	6	0	0	0
V98	0	200	10	28	56	11	63	48	12	19	3	63	59	6	0	8	9	0
V99	0	37	7	67	0	52	0	0	0	5	0	0	9	0	0	0	0	0
V100	0	45	0	5	3	0	0	10	0	0	0	0	5	0	1	0	0	0
