Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	33	65	0	34	0	29	0	0	0	4	20	14	6	0	3	3	13	0	0	0
V2	31	6	0	87	32	0	30	0	0	38	0	0	14	0	16	5	42	16	0	0
V3	77	0	162	0	0	8	7	0	9	5	0	1	1	54	0	2	0	0	18	0
V4	15	2	0	36	55	38	21	0	0	47	0	13	23	0	0	6	12	0	3	0
V5	4	0	25	0	0	67	11	19	34	0	0	10	0	10	0	8	6	0	2	0
V6	210	71	0	82	206	47	0	0	0	50	0	96	20	0	0	2	0	0	5	6
V7	0	27	0	33	50	28	0	0	56	16	16	0	0	55	0	11	1	27	0	0
V8	1	109	0	33	68	0	0	0	12	20	0	38	0	9	0	0	0	0	0	0
V9	0	17	0	27	25	9	42	49	0	6	0	12	10	9	14	34	0	10	0	0
V10	94	89	42	4	0	38	21	16	72	10	51	0	0	46	0	13	0	0	0	14
V11	111	0	201	15	0	14	55	64	0	1	0	0	37	26	0	0	5	0	16	0
V12	0	7	9	0	93	0	0	0	6	2	0	74	0	0	0	0	0	0	1	3
V13	66	4	0	407	0	0	0	0	6	132	0	0	68	1	0	0	0	0	0	0
V14	30	28	4	40	0	0	58	0	0	27	0	0	0	25	1	20	28	12	0	0
V15	98	20	167	24	1	9	1	57	160	8	31	2	27	18	19	14	0	0	26	18
V16	74	36	34	116	47	10	9	65	5	57	0	27	35	0	0	0	47	10	0	0
V17	132	0	8	7	7	35	16	6	0	6	0	4	0	13	3	6	0	0	0	38
V18	32	72	7	0	4	0	0	15	1	0	0	0	0	0	1	0	0	0	26	15
V19	8	0	6	8	3	1	12	3	3	0	0	0	0	0	0	0	0	0	8	0
V20	8	11	0	0	3	14	0	1	0	1	0	0	3	0	2	4	0	0	0	0
V21	1	0	64	20	0	122	48	14	71	14	95	0	5	6	0	32	0	0	22	0
V22	109	100	198	8	0	13	0	101	30	1	0	9	0	56	0	0	24	0	14	1
V23	35	19	23	62	0	0	0	0	54	28	0	1	17	0	0	0	39	0	0	20
V24	112	46	97	25	0	17	47	0	13	0	10	0	32	22	14	14	0	0	20	0
V25	31	0	285	7	27	58	34	30	176	0	0	9	0	64	54	14	0	0	8	0
V26	53	31	0	0	41	6	0	0	6	1	6	18	0	4	0	5	0	0	5	0
V27	199	9	16	3	21	12	0	17	11	5	0	13	0	0	0	18	1	0	0	5
V28	0	9	0	0	50	21	27	62	0	6	0	0	0	1	33	0	2	0	0	0
V29	128	0	4	26	10	0	1	4	7	51	0	7	13	0	0	0	20	2	4	10
