NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	164.777	54.318	61.654	47.234	0.32	0.86	20000.0
2	166.274	56.151	58.79	46.913	0.332	0.865	20000.0
3	164.357	53.585	60.094	46.193	0.321	0.863	20000.0
4	182.107	59.401	67.066	48.737	0.327	0.85	20000.0
5	174.216	58.118	58.514	45.758	0.341	0.864	20000.0
6	178.402	58.519	65.843	47.862	0.323	0.854	30000.0
7	181.352	58.816	67.449	48.439	0.319	0.853	30000.0
8	181.985	59.843	67.636	49.553	0.329	0.845	20000.0
9	169.276	57.244	59.39	47.048	0.341	0.865	30000.0
10	169.448	56.25	63.457	48.424	0.324	0.853	30000.0
