Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.86,0.84,NO,N/A,62.22%,69.01%,127.76%,61.23%,92.62,0.479,1.0786,0.199,0.526,0.781,0.401
3,0.64,0.41,NO,N/A,53.42%,60.28%,117.19%,46.33%,93.94,0.3752,0.8899,0.135,0.505,0.851,0.431
4,0.7,0.37,NO,N/A,41.97%,44.93%,117.32%,34.25%,81.53,0.2886,0.8977,0.088,0.373,0.902,0.581
5,0.79,0.61,NO,N/A,23.48%,30.05%,88.71%,19.72%,76.99,0.1895,0.5773,0.039,0.345,0.956,0.61
6*,1.0,1.0,YES,Most Stab Sigs,8.8%,19.05%,51.34%,10.94%,35.53,0.1056,0.4596,0.009,0.065,0.99,0.927
7,0.75,-0.72,NO,N/A,8.73%,18.72%,50.66%,11.03%,35.49,0.106,0.4573,0.009,0.065,0.99,0.926
8,0.59,-0.62,NO,N/A,8.5%,18.68%,48.31%,11.0%,34.06,0.1091,0.4542,0.008,0.058,0.991,0.935
9,0.47,-0.73,NO,N/A,8.33%,18.45%,44.42%,11.04%,34.55,0.1104,0.4316,0.008,0.06,0.991,0.932
10,0.37,-0.66,NO,N/A,8.73%,19.2%,52.26%,10.38%,35.27,0.1078,0.4493,0.008,0.064,0.991,0.927
11,0.31,-0.86,NO,N/A,8.1%,18.38%,49.74%,10.41%,34.51,0.1081,0.4236,0.007,0.061,0.992,0.931
12,0.24,-0.68,NO,N/A,8.43%,19.48%,48.37%,10.27%,33.7,0.1127,0.3866,0.008,0.055,0.992,0.939
13,0.2,-0.78,NO,N/A,7.88%,18.79%,50.84%,10.31%,35.14,0.1093,0.3847,0.007,0.061,0.993,0.932
14,0.18,-0.6,NO,N/A,8.24%,18.41%,51.35%,9.8%,28.07,0.1076,0.3737,0.006,0.038,0.993,0.956
15,0.17,-0.74,NO,N/A,7.84%,17.48%,47.33%,9.32%,28.06,0.1058,0.2885,0.006,0.037,0.994,0.959
16,0.14,-0.73,NO,N/A,7.91%,17.7%,51.56%,9.62%,24.52,0.1078,0.4008,0.006,0.029,0.994,0.968
17,0.14,-0.7,NO,N/A,8.42%,17.42%,38.23%,9.57%,28.93,0.1046,0.2793,0.005,0.043,0.994,0.95
18,0.13,-0.7,NO,N/A,8.08%,18.59%,44.58%,9.79%,26.59,0.1067,0.3287,0.005,0.036,0.994,0.959
19,0.1,-0.62,NO,N/A,7.64%,16.9%,49.94%,9.26%,25.02,0.1039,0.374,0.004,0.025,0.995,0.975
20,0.11,-0.74,NO,N/A,6.8%,15.94%,39.66%,8.33%,19.52,0.097,0.2598,0.004,0.019,0.996,0.978
