Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	264	80	21	0	135
V2	58	0	21	151	18
V3	232	25	31	17	48
V4	536	74	13	2	137
V5	0	109	40	269	53
V6	0	0	48	84	44
V7	198	101	234	38	26
V8	38	295	187	0	114
V9	0	231	41	76	29
V10	3	0	1	13	0
V11	280	0	25	154	12
V12	27	178	75	22	2
V13	90	179	88	33	24
V14	135	21	24	0	0
V15	55	22	31	26	57
V16	65	71	39	32	7
V17	152	323	2	60	60
V18	20	10	3	153	20
V19	123	75	116	5	29
V20	15	0	197	198	38
V21	0	78	11	62	4
V22	37	93	45	22	98
V23	27	0	29	89	0
V24	203	0	15	97	1
V25	60	47	231	28	3
V26	94	10	5	93	105
V27	1	317	136	12	0
V28	88	12	15	155	24
V29	136	114	10	24	147
V30	572	0	94	41	6
V31	384	9	146	63	1
V32	10	82	18	59	1
V33	35	27	3	118	111
V34	141	116	52	169	48
V35	13	47	63	214	150
V36	2	25	11	4	12
V37	54	0	84	109	1
V38	11	0	16	109	231
V39	10	13	41	0	0
V40	103	184	12	0	1
V41	95	247	15	0	23
V42	21	602	113	1	121
V43	163	0	6	298	12
V44	23	112	0	39	127
V45	2	17	76	21	32
V46	0	406	0	114	1
V47	30	450	64	0	45
V48	55	184	215	38	2
V49	192	18	67	6	0
V50	1	0	56	15	38
V51	178	0	115	39	59
V52	272	8	121	67	61
V53	123	0	7	38	53
V54	10	6	2	100	1
V55	37	0	47	147	12
V56	0	35	6	22	0
V57	515	0	131	22	13
V58	66	4	141	15	101
V59	18	0	47	38	44
V60	126	154	7	0	48
V61	16	138	4	0	96
V62	48	144	17	35	392
V63	203	539	272	0	6
V64	24	0	18	130	1
V65	3	0	54	280	45
V66	1	118	72	35	14
V67	61	0	47	119	57
V68	190	95	143	84	7
V69	70	0	46	5	0
V70	3	0	13	46	97
V71	64	73	9	99	1
V72	443	0	0	1	184
V73	85	56	0	27	129
V74	43	136	88	47	7
V75	28	80	438	44	10
V76	8	38	89	12	0
V77	4	7	3	0	31
V78	16	0	202	12	12
V79	62	0	185	0	68
V80	69	0	963	25	13
V81	138	7	8	11	32
V82	45	3	3	76	3
V83	38	31	21	0	5
V84	5	0	0	141	0
V85	2	29	0	43	0
V86	10	11	88	1	5
V87	31	21	25	0	14
V88	80	198	19	48	0
V89	4	36	77	0	21
V90	15	0	35	589	4
V91	21	0	1	89	83
V92	2	0	7	316	7
V93	9	31	56	260	36
V94	73	102	62	9	23
V95	10	62	4	7	382
V96	26	22	3	12	31
V97	0	0	2	24	366
V98	4	23	51	76	67
V99	82	15	40	123	5
V100	1	18	75	42	4
