Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	2.31E+00	3.00E+00	1.10E+00	1.00E-01	1.49E+01	9.94E-01	1.84E+01	1.41E+01	9.55E-01	1.22E+00	1.00E+00
V2	3.32E+00	9.78E-01	1.11E+00	1.36E+00	1.37E+00	0.00E+00	1.45E+00	1.23E+00	6.84E-01	5.42E-01	2.83E+00
V3	1.07E+00	6.69E+00	1.33E+00	1.26E+00	1.05E+00	1.99E+00	1.77E+00	1.83E+00	1.22E+00	6.77E+00	1.44E+00
V4	9.64E-01	5.33E-01	9.12E-01	9.77E+00	3.87E+00	5.61E+00	5.14E+00	1.82E+00	8.47E+00	6.22E+00	4.14E+00
V5	1.33E+01	0.00E+00	5.78E+00	1.21E+01	1.27E+00	7.41E+00	7.87E+00	1.19E+00	8.73E+00	6.80E+00	1.39E+01
V6	1.19E+01	1.77E+00	0.00E+00	1.00E-01	2.00E+00	2.12E+00	1.37E+00	1.92E+00	7.19E-01	2.81E+00	1.35E+01
V7	7.08E+00	1.38E+01	2.02E+00	3.30E+00	6.92E+00	9.40E-01	5.38E+00	8.20E+00	2.19E+00	1.89E+01	7.19E+00
V8	4.27E+00	3.86E+00	3.66E+00	2.67E+00	5.36E+00	8.41E-01	3.35E+00	5.84E+00	4.13E+00	4.77E+00	3.35E+00
V9	2.27E+01	1.74E+00	2.71E+00	3.90E+00	7.23E+00	1.23E+01	6.94E+00	7.55E+00	2.08E+00	2.30E+00	2.30E+01
V10	1.86E+00	2.19E+00	1.58E+00	3.71E+00	4.24E+00	1.40E+00	3.42E+00	5.37E+00	3.49E+00	2.34E+00	3.53E+00
V11	6.37E+00	8.20E+00	0.00E+00	1.63E-01	2.39E+00	0.00E+00	5.04E-01	2.50E+00	5.59E-01	8.64E+00	6.02E+00
V12	2.60E+00	1.98E+00	5.35E+00	5.71E+00	8.56E+00	0.00E+00	9.22E-01	7.87E+00	4.90E+00	4.43E+00	2.89E+00
V13	8.49E-01	1.17E+00	1.45E+00	6.06E+00	1.09E+01	7.61E-01	1.12E+01	9.53E+00	6.55E+00	2.92E+00	9.98E-01
V14	1.41E+00	5.62E-01	1.07E+00	2.89E+01	3.66E+00	2.33E+00	5.58E+00	3.74E+00	3.18E+01	8.72E-01	1.86E+01
V15	1.25E+01	3.94E+00	4.99E-01	4.82E-01	0.00E+00	6.70E-01	9.67E-01	0.00E+00	6.51E-01	3.93E+00	1.28E+01
V16	2.21E+01	0.00E+00	2.21E-01	3.16E+00	3.06E-01	4.27E+00	3.29E+00	0.00E+00	2.26E+00	1.65E+00	2.16E+01
V17	3.06E-01	9.65E+00	0.00E+00	0.00E+00	0.00E+00	5.46E+00	4.55E+00	0.00E+00	9.00E-01	9.54E+00	0.00E+00
V18	0.00E+00	9.85E+00	8.36E-01	8.00E-01	1.60E+00	4.47E+00	4.80E+00	8.20E-01	2.40E+00	8.77E+00	0.00E+00
V19	9.52E-01	2.44E+00	1.04E+00	6.57E-01	4.34E+00	3.83E+00	3.30E+00	4.07E+00	8.54E-01	2.02E+00	6.67E-01
V20	1.46E+00	1.00E+00	2.02E+00	2.32E+01	1.43E+00	9.32E+00	2.42E+01	7.33E-01	6.45E+00	4.60E+00	7.94E+00
V21	6.33E+00	1.45E+00	1.15E+01	6.03E+00	2.75E+00	0.00E+00	1.20E+00	3.16E+00	1.30E+01	9.56E+00	8.53E+00
V22	2.13E-01	6.53E-01	2.50E+00	1.56E+00	7.57E-01	0.00E+00	7.61E-01	7.22E-01	2.35E+00	3.27E-01	4.01E-01
