NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	164.298	53.274	56.807	41.803	0.32	0.887	20000.0
2	152.107	50.989	48.439	37.749	0.33	0.899	20000.0
3	165.746	53.367	59.561	42.826	0.32	0.875	30000.0
4	151.306	50.634	48.331	37.514	0.321	0.901	20000.0
5	148.473	49.464	47.207	36.845	0.318	0.902	40000.0
6	162.201	53.074	56.282	41.772	0.321	0.888	20000.0
7	154.733	52.022	50.435	38.72	0.323	0.89	30000.0
8	162.321	53.708	54.678	41.184	0.327	0.896	20000.0
9	148.329	49.124	47.407	36.35	0.313	0.904	20000.0
10	149.562	49.925	47.817	37.091	0.326	0.901	40000.0
