NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	53.736	19.836	12.644	12.144	0.117	0.99	40000.0
2	50.095	19.126	11.802	12.392	0.114	0.986	50000.0
3	53.342	20.389	12.197	12.783	0.122	0.987	40000.0
4	51.408	18.839	12.156	11.424	0.11	0.991	40000.0
5	51.192	19.411	12.193	12.275	0.12	0.986	30000.0
6	53.34	19.97	12.785	12.669	0.115	0.987	60000.0
7	53.11	20.027	12.346	12.248	0.116	0.988	40000.0
8	52.925	19.7	12.623	12.593	0.113	0.988	50000.0
9	53.975	20.445	13.175	13.338	0.118	0.984	90000.0
10	53.451	19.772	12.598	12.216	0.115	0.989	40000.0
