MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
5:Del:R:0	0.00E+00	1.72E-08	1.10E-08	1.38E-04	4.62E-08	3.58E-02	2.81E-07	1.12E-07	3.19E-02	3.76E-02	1.93E-03	1.21E-02	1.98E-03	3.60E-08	1.17E-07	1.25E-02	2.44E-02	7.77E-02	0.00E+00
5:Del:R:1	5.44E-03	1.40E-46	7.61E-05	1.78E-02	1.40E-46	1.03E-03	1.20E-03	2.93E-03	5.07E-08	4.24E-04	3.15E-02	7.40E-02	1.92E-06	6.13E-04	4.44E-03	4.48E-04	2.41E-03	2.69E-02	5.59E-07
5:Del:R:2	3.93E-08	4.59E-08	1.78E-04	2.19E-08	8.75E-05	1.35E-04	5.49E-07	2.18E-04	1.48E-03	1.19E-03	2.39E-07	6.11E-07	2.66E-07	5.54E-11	1.34E-07	2.67E-04	5.16E-04	6.38E-04	1.76E-03
5:Del:R:3	1.82E-08	1.74E-08	4.10E-08	2.50E-08	3.65E-08	3.85E-08	3.93E-08	1.62E-07	4.98E-08	1.27E-07	1.19E-07	1.46E-07	2.54E-07	1.19E-07	1.92E-07	1.26E-07	1.92E-07	7.75E-08	2.15E-07
5:Del:R:4	1.82E-08	1.74E-08	4.10E-08	2.50E-08	3.65E-08	3.85E-08	3.93E-08	1.62E-07	4.98E-08	1.27E-07	1.19E-07	1.46E-07	2.54E-07	1.19E-07	1.92E-07	1.26E-07	1.92E-07	7.75E-08	2.15E-07
5:Del:R:5	1.95E-08	6.12E-08	6.89E-08	1.34E-04	3.39E-07	3.24E-04	3.30E-08	4.35E-07	3.76E-04	1.10E-07	2.40E-08	2.05E-07	1.52E-07	1.06E-07	4.81E-04	1.96E-04	3.11E-07	7.23E-04	3.33E-07
2:Ins:R:0	1.04E-04	2.29E-08	0.00E+00	0.00E+00	1.00E-03	6.85E-04	2.71E-07	2.28E-07	8.60E-04	2.01E-03	3.71E-04	5.36E-03	2.54E-04	8.32E-04	0.00E+00	1.58E-03	3.91E-03	8.59E-04	0.00E+00
2:Ins:R:1	4.06E-05	7.70E-05	0.00E+00	8.80E-08	2.44E-04	2.08E-03	2.09E-04	1.89E-04	2.34E-04	5.02E-04	0.00E+00	9.65E-04	1.29E-04	5.35E-04	1.17E-03	1.99E-03	1.00E-07	9.33E-04	1.38E-03
2:Ins:R:2	8.13E-05	1.80E-04	1.75E-08	9.70E-05	2.21E-08	3.36E-08	4.57E-04	8.61E-07	5.69E-04	0.00E+00	6.44E-08	7.63E-04	1.48E-07	2.68E-04	9.08E-08	7.85E-04	1.90E-07	1.36E-03	6.10E-04
2:Ins:R:3	2.01E-04	1.86E-04	1.40E-04	1.73E-08	1.56E-08	0.00E+00	1.59E-04	5.68E-08	5.97E-04	6.94E-07	0.00E+00	4.39E-08	3.10E-07	7.29E-08	8.31E-08	3.00E-09	9.63E-04	1.03E-03	1.16E-03
