Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V43	2.21E-01	0.00E+00	1.04E+00	1.89E+00	1.67E+00	3.94E+00	4.20E+00	3.00E-01	9.98E-01	3.36E+00	7.48E-01
V44	1.12E+00	6.88E+00	0.00E+00	3.14E-01	1.16E+00	8.36E+00	7.26E+00	6.78E+00	6.42E+00	3.29E+00	1.26E+00
V45	3.10E+00	2.35E+00	1.25E+00	1.63E-01	1.56E+00	1.43E+01	1.10E+01	1.65E+00	4.00E-01	3.28E+00	2.06E+00
V46	8.17E-01	2.13E+00	2.13E+00	0.00E+00	8.59E-01	7.25E+00	6.02E+00	1.71E+00	2.84E+00	2.51E+00	2.28E+00
V47	3.35E-01	8.57E+01	9.58E+00	1.61E+00	2.08E+00	0.00E+00	0.00E+00	8.32E+01	2.00E-01	1.55E+00	6.73E+00
V48	4.52E+00	8.03E-01	2.43E+00	0.00E+00	4.19E+00	6.29E-01	1.69E+00	3.89E+00	6.64E+00	2.56E+00	4.27E+00
V49	1.87E+01	2.81E+00	4.64E+00	6.23E+00	2.03E+00	1.57E+01	1.18E+01	2.06E+00	2.01E+01	1.23E+01	6.14E+00
V50	2.20E+01	1.85E+01	0.00E+00	2.13E+00	0.00E+00	4.00E-01	6.40E-01	1.86E+01	2.19E+01	8.97E-01	1.45E+00
V51	5.99E+00	4.90E+00	6.76E+00	3.32E+00	3.02E+00	4.08E+00	4.78E+00	8.29E+00	5.00E+00	2.04E+00	2.49E+00
V52	2.74E+01	1.58E+00	0.00E+00	1.18E+00	2.18E+00	0.00E+00	4.67E-01	8.23E-01	2.62E+01	1.87E+00	1.56E+00
V53	5.33E-01	1.45E+00	2.48E+00	2.09E+00	2.13E-01	0.00E+00	3.00E-01	3.07E+00	2.00E-01	0.00E+00	2.15E+00
V54	1.72E+00	1.84E+00	3.56E+00	3.27E+00	4.74E+00	0.00E+00	2.00E-01	3.68E+00	1.77E+00	5.16E-01	5.27E+00
V55	0.00E+00	2.21E-01	2.35E+00	5.48E+00	6.29E-01	1.08E+00	1.16E+00	1.20E+00	0.00E+00	1.00E-01	4.35E+00
V56	0.00E+00	3.21E+00	0.00E+00	1.67E+00	1.62E+00	1.16E+00	7.48E-01	2.84E+00	0.00E+00	5.12E-01	0.00E+00
V57	2.05E+01	2.28E+01	1.19E+00	3.51E+00	6.96E-01	9.99E+00	1.46E+01	2.40E+01	2.37E+01	2.65E+00	3.67E+00
V58	3.34E+00	5.17E-01	1.37E+00	3.33E-01	1.33E-01	0.00E+00	7.00E-01	8.83E-01	3.66E+00	7.92E-01	9.98E-01
V59	5.73E+00	8.09E-01	4.25E+01	4.48E+00	6.29E-01	1.12E+01	9.47E+00	2.15E+01	7.75E+00	3.68E+00	3.75E+01
V60	1.06E+00	1.69E+01	8.71E+00	5.21E-01	9.28E+00	2.13E+00	2.35E+00	1.71E+01	1.16E+00	6.53E+00	8.71E+00
V61	3.27E+00	1.30E+01	4.58E-01	3.48E-01	3.90E+00	1.23E+01	1.20E+01	1.26E+01	3.61E+00	5.38E+00	4.85E+00
V62	2.62E+00	5.62E-01	6.94E+00	1.88E+00	9.21E-01	7.19E+00	7.53E+00	7.55E+00	3.08E+00	1.87E+00	3.80E+00
V63	5.82E-01	8.62E+00	2.56E+00	7.71E+00	3.83E+00	5.34E+00	4.88E+00	1.37E+01	1.88E+00	4.26E+00	4.80E+00
V64	1.31E+01	1.67E-01	1.77E+00	0.00E+00	1.00E-01	7.86E+00	7.96E+00	1.33E-01	1.37E+01	3.65E+00	9.55E-01
V65	3.35E+00	5.71E+00	0.00E+00	2.73E+00	3.52E+00	2.62E+00	2.70E+00	6.21E+00	4.56E+00	1.90E+00	1.86E+00
V66	6.13E+00	4.76E-01	6.18E-01	3.44E+00	3.15E+00	8.33E-01	9.94E-01	9.17E-01	5.35E+00	3.18E+00	3.07E+00
