NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	139.883	25.764	28.643	15.997	0.113	0.981	110000.0
2	138.878	24.99	28.726	15.684	0.106	0.983	60000.0
3	140.283	25.324	28.658	15.782	0.108	0.982	110000.0
4	137.626	25.017	28.007	15.373	0.11	0.983	90000.0
5	142.009	25.778	28.949	15.816	0.113	0.981	40000.0
6	138.538	25.24	28.125	15.759	0.109	0.981	50000.0
7	140.549	25.428	29.158	15.824	0.112	0.981	80000.0
8	139.537	25.16	28.237	15.384	0.108	0.983	60000.0
9	140.228	25.327	28.659	15.755	0.111	0.982	70000.0
10	140.16	25.323	28.827	15.773	0.112	0.981	60000.0
11	138.786	24.967	28.186	15.342	0.11	0.982	80000.0
12	141.756	25.59	29.043	15.931	0.111	0.981	110000.0
13	138.948	25.197	28.507	15.736	0.111	0.981	80000.0
14	138.869	25.002	28.317	15.425	0.109	0.983	40000.0
15	143.361	25.392	29.765	15.885	0.109	0.981	50000.0
16	141.826	25.394	28.927	15.863	0.109	0.982	90000.0
17	140.079	25.135	28.799	15.59	0.107	0.982	70000.0
18	135.443	24.928	27.367	15.574	0.11	0.982	60000.0
19	141.435	25.357	28.763	15.757	0.109	0.982	130000.0
20	140.97	25.605	28.878	15.895	0.111	0.981	70000.0
21	141.313	25.614	28.897	15.889	0.113	0.981	50000.0
22	140.484	25.433	28.97	16.015	0.11	0.981	50000.0
23	139.638	25.329	28.629	15.69	0.11	0.981	60000.0
24	139.539	25.2	28.796	15.675	0.111	0.982	50000.0
25	140.054	25.033	28.637	15.418	0.108	0.983	110000.0
