Samples	ID83A	ID83B	ID83C	ID83D
V1	6	13	7	1
V2	166	127	42	24
V3	0	81	171	0
V4	54	14	2	45
V5	335	0	0	66
V6	96	210	11	9
V7	328	0	8	8
V8	0	99	116	10
V9	143	129	58	11
V10	301	59	22	0
V11	183	23	88	0
V12	121	0	375	20
V13	80	58	46	114
V14	0	17	279	20
V15	93	48	0	5
V16	293	354	24	3
V17	111	69	39	234
V18	0	109	14	1349
V19	31	143	3	21
V20	101	145	16	44
V21	5	25	35	77
V22	0	167	42	37
V23	150	310	2	101
V24	10	1	168	6
V25	38	3	35	35
V26	0	110	89	60
V27	68	216	4	22
V28	52	11	16	1
V29	258	0	7	54
V30	95	8	69	43
V31	145	11	255	38
V32	244	99	31	51
V33	107	4	16	136
V34	91	90	33	7
V35	746	0	77	53
V36	74	26	4	7
V37	101	127	86	4
V38	110	30	245	29
V39	47	417	214	3
V40	149	27	54	59
V41	83	159	16	5
V42	270	0	45	16
V43	83	117	66	123
V44	0	39	57	181
V45	112	397	21	9
V46	100	9	1	54
V47	257	54	12	8
V48	318	36	19	38
V49	13	5	0	18
V50	253	40	43	14
V51	88	0	70	17
V52	112	126	15	10
V53	240	80	12	28
V54	41	168	9	29
V55	355	18	28	63
V56	98	611	345	49
V57	0	429	45	10
V58	153	34	0	8
V59	31	6	58	142
V60	150	0	180	82
V61	189	0	77	27
V62	100	101	70	13
V63	46	0	121	36
V64	191	66	67	110
V65	143	36	30	265
V66	48	219	2	259
V67	5	22	28	2
V68	0	6	3	124
V69	27	24	2	7
V70	0	162	42	2
V71	250	6	2	2
V72	135	0	9	16
V73	38	91	21	0
V74	245	67	23	21
V75	29	18	2	49
V76	0	576	126	63
V77	40	14	76	4
V78	283	6	52	12
V79	527	132	12	13
V80	0	99	29	19
V81	137	0	0	132
V82	0	0	69	109
V83	17	43	32	7
V84	110	22	18	9
V85	35	70	1	0
V86	12	22	365	63
V87	93	0	67	108
V88	423	0	50	33
V89	335	0	13	85
V90	69	80	2	44
V91	62	11	49	76
V92	187	26	3	8
V93	77	37	75	0
V94	0	5	57	20
V95	33	71	11	15
V96	84	41	41	65
V97	25	13	1	54
V98	228	0	24	5
V99	38	17	133	4
V100	108	0	89	22
