Samples	ID83A	ID83B
V1	3.23E+01	3.23E+01
V2	1.32E+01	1.32E+01
V3	6.80E+00	6.80E+00
V4	3.73E+00	3.73E+00
V5	3.78E+00	3.78E+00
V6	1.35E+01	1.35E+01
V7	3.38E+01	3.38E+01
V8	3.03E+00	3.03E+00
V9	5.35E+00	5.35E+00
V10	9.86E+00	9.86E+00
V11	2.69E+01	2.69E+01
V12	7.40E+00	7.40E+00
V13	9.34E+00	9.34E+00
V14	2.60E+00	2.60E+00
V15	1.73E+01	1.73E+01
V16	2.33E+01	2.33E+01
V17	5.02E+01	5.02E+01
V18	1.76E+01	1.76E+01
V19	7.05E+00	7.05E+00
V20	5.01E+00	5.01E+00
V21	6.20E+01	6.20E+01
V22	7.85E+00	7.85E+00
V23	1.04E+01	1.04E+01
V24	2.07E+01	2.07E+01
V25	5.50E+01	5.50E+01
V26	2.89E+00	2.89E+00
V27	3.20E+00	3.20E+00
V28	2.88E+01	2.88E+01
V29	9.28E+00	9.28E+00
V30	6.46E+00	6.45E+00
V31	3.50E+01	3.50E+01
V32	1.50E+01	1.50E+01
V33	2.56E+01	2.56E+01
V34	1.56E+01	1.56E+01
V35	8.99E+01	8.99E+01
V36	1.48E+01	1.48E+01
V37	1.86E+00	1.86E+00
V38	4.35E+01	4.35E+01
V39	2.19E+01	2.19E+01
V40	2.02E+01	2.02E+01
V41	1.88E+01	1.88E+01
V42	1.90E+01	1.90E+01
V43	1.21E+01	1.21E+01
V44	2.41E+01	2.41E+01
V45	2.80E+00	2.80E+00
V46	2.10E+00	2.10E+00
V47	8.39E+00	8.39E+00
V48	8.99E+00	8.99E+00
V49	3.23E+01	3.23E+01
V50	4.14E+00	4.14E+00
V51	4.06E+01	4.06E+01
V52	2.32E+01	2.32E+01
V53	6.43E+00	6.43E+00
V54	2.37E+00	2.37E+00
V55	3.90E+00	3.90E+00
V56	3.19E+01	3.19E+01
V57	1.07E+01	1.07E+01
V58	1.84E+01	1.84E+01
V59	6.03E+01	6.03E+01
V60	8.47E+00	8.47E+00
V61	9.09E-01	9.09E-01
V62	1.19E+01	1.19E+01
V63	6.82E+00	6.82E+00
V64	7.84E+00	7.84E+00
V65	1.99E+01	1.99E+01
V66	9.81E+01	9.81E+01
V67	6.73E+01	6.73E+01
V68	7.64E+00	7.64E+00
V69	2.13E+00	2.13E+00
V70	1.03E+02	1.03E+02
V71	3.49E+00	3.49E+00
V72	3.91E+01	3.91E+01
V73	1.02E+01	1.02E+01
V74	3.62E+00	3.62E+00
V75	2.87E+01	2.87E+01
V76	6.80E+00	6.80E+00
V77	1.41E+01	1.41E+01
V78	3.12E+01	3.12E+01
V79	2.50E+01	2.50E+01
V80	0.00E+00	0.00E+00
V81	2.38E+01	2.38E+01
V82	5.13E+01	5.12E+01
V83	7.21E+00	7.21E+00
V84	1.69E+01	1.69E+01
V85	7.75E-01	7.75E-01
V86	3.76E+01	3.76E+01
V87	1.45E+01	1.45E+01
V88	3.04E+00	3.04E+00
V89	1.10E+01	1.10E+01
V90	2.13E+01	2.13E+01
V91	2.67E+00	2.67E+00
V92	4.49E+00	4.49E+00
V93	1.03E+00	1.03E+00
V94	2.74E+00	2.74E+00
V95	2.56E+01	2.56E+01
V96	1.50E+01	1.50E+01
V97	6.11E+00	6.11E+00
V98	7.02E+00	7.02E+00
V99	4.59E+00	4.59E+00
V100	1.78E+01	1.78E+01
