MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:1	4.67E-05	1.51E-04	8.59E-04	3.33E-04	1.32E-08	4.83E-04	8.13E-04	2.10E-03	1.64E-03
5:Del:R:2	2.04E-08	4.51E-09	1.81E-04	1.76E-04	5.05E-05	2.48E-05	3.42E-05	2.57E-04	4.78E-04
5:Del:R:3	2.01E-08	6.71E-09	1.87E-08	8.45E-09	2.20E-08	9.68E-08	7.89E-08	2.22E-07	1.09E-07
5:Del:R:4	2.41E-08	3.74E-08	1.32E-04	3.83E-08	7.86E-08	2.01E-06	4.03E-07	3.26E-04	9.80E-08
5:Del:R:5	1.14E-04	8.66E-05	1.80E-08	6.96E-09	2.96E-08	3.49E-08	6.40E-08	1.89E-04	1.51E-04
2:Ins:R:0	0.00E+00	2.44E-04	1.79E-04	3.29E-04	1.65E-04	1.19E-03	4.23E-04	9.32E-05	3.72E-03
2:Ins:R:1	9.78E-05	6.56E-05	2.13E-08	4.45E-04	2.54E-07	4.18E-04	2.07E-03	3.36E-04	1.39E-03
2:Ins:R:2	3.45E-06	1.52E-04	4.01E-04	1.29E-08	2.25E-04	1.78E-04	2.60E-07	1.31E-03	6.58E-08
2:Ins:R:3	2.28E-08	6.38E-08	2.25E-04	2.88E-04	4.15E-05	3.28E-07	2.48E-04	2.08E-04	1.01E-03
2:Ins:R:4	1.27E-09	1.73E-04	8.07E-04	0.00E+00	0.00E+00	2.71E-05	1.48E-04	2.90E-03	3.83E-03
2:Ins:R:5	1.85E-04	1.62E-03	2.35E-03	0.00E+00	2.04E-04	3.40E-04	6.51E-03	1.88E-03	2.87E-03
3:Ins:R:0	1.99E-08	9.07E-09	2.74E-08	2.33E-04	7.16E-08	2.17E-04	2.97E-04	3.33E-08	3.18E-04
3:Ins:R:1	1.36E-08	1.22E-08	5.86E-04	6.76E-05	1.25E-07	4.68E-04	1.19E-03	9.35E-04	1.37E-04
3:Ins:R:2	4.19E-05	4.00E-08	3.33E-08	8.84E-07	1.01E-07	1.38E-07	3.88E-04	6.66E-08	2.74E-04
3:Ins:R:3	2.98E-08	4.44E-08	5.13E-05	9.68E-05	2.04E-07	6.87E-04	4.58E-04	2.30E-04	1.05E-03
3:Ins:R:4	5.07E-08	4.13E-08	7.38E-05	7.45E-08	1.05E-07	1.13E-07	2.22E-04	1.34E-04	1.80E-07
3:Ins:R:5	2.42E-04	1.26E-04	1.95E-04	0.00E+00	2.74E-08	1.67E-03	1.19E-04	1.39E-03	8.43E-04
4:Ins:R:0	5.59E-08	3.62E-08	6.91E-05	2.31E-04	1.83E-07	2.02E-07	9.74E-08	6.25E-04	4.14E-04
4:Ins:R:1	8.76E-08	1.89E-04	2.58E-04	1.34E-04	2.32E-04	4.88E-04	1.53E-03	4.27E-04	1.62E-03
4:Ins:R:2	4.92E-08	1.14E-04	2.87E-06	4.42E-08	9.32E-08	1.00E-07	2.17E-07	1.00E-04	1.02E-06
4:Ins:R:3	5.25E-08	5.16E-05	4.55E-08	4.85E-08	2.77E-07	5.79E-08	6.33E-07	5.69E-08	4.59E-08
4:Ins:R:4	2.77E-08	9.56E-05	2.12E-04	1.26E-08	1.27E-07	5.80E-07	1.20E-07	3.07E-04	9.95E-05
4:Ins:R:5	3.97E-08	2.25E-04	1.45E-03	2.34E-04	6.31E-04	1.47E-03	0.00E+00	1.32E-03	2.17E-03
5:Ins:R:0	3.09E-05	3.19E-08	6.75E-08	3.99E-08	1.29E-07	9.13E-08	1.09E-07	3.22E-04	6.48E-08
5:Ins:R:1	1.67E-04	2.81E-04	3.10E-04	1.75E-03	8.04E-04	2.17E-03	7.79E-03	1.33E-04	7.39E-03
5:Ins:R:2	2.17E-04	1.60E-04	1.51E-04	3.54E-07	1.25E-08	2.18E-07	7.50E-05	1.56E-04	3.04E-04
5:Ins:R:3	2.01E-08	6.71E-09	1.87E-08	8.45E-09	2.20E-08	9.68E-08	7.89E-08	2.22E-07	1.09E-07
5:Ins:R:4	5.35E-08	1.14E-04	9.03E-05	3.62E-08	1.38E-07	3.15E-05	1.08E-07	2.51E-04	3.02E-05
5:Ins:R:5	2.01E-08	6.71E-09	1.87E-08	8.45E-09	2.20E-08	9.68E-08	7.89E-08	2.22E-07	1.09E-07
2:Del:M:1	0.00E+00	1.34E-04	5.35E-08	6.72E-04	2.42E-04	3.67E-03	1.19E-03	3.78E-04	3.88E-03
3:Del:M:1	2.34E-08	1.27E-04	1.79E-04	1.70E-03	7.13E-04	4.88E-04	1.81E-04	5.08E-04	8.98E-03
3:Del:M:2	0.00E+00	2.89E-04	9.02E-04	6.61E-04	1.89E-04	1.23E-03	2.26E-03	4.90E-04	8.43E-04
4:Del:M:1	3.72E-03	0.00E+00	1.47E-04	5.06E-04	1.64E-03	7.66E-03	5.79E-04	2.87E-02	6.93E-03
4:Del:M:2	9.88E-05	1.16E-04	1.70E-04	1.67E-04	5.34E-04	6.60E-04	1.22E-03	4.64E-04	3.61E-03
4:Del:M:3	0.00E+00	1.25E-04	4.90E-04	1.43E-08	2.84E-04	9.13E-05	1.65E-04	2.23E-03	2.30E-03
5:Del:M:1	9.37E-07	0.00E+00	7.06E-08	7.70E-03	1.18E-07	2.00E-03	1.27E-02	1.43E-03	3.76E-02
5:Del:M:2	4.24E-04	2.33E-08	2.25E-04	4.29E-03	3.74E-06	1.86E-03	3.85E-03	3.17E-03	1.65E-02
5:Del:M:3	0.00E+00	5.48E-04	9.38E-04	2.71E-03	1.50E-07	1.36E-03	8.61E-04	5.91E-04	6.58E-03
5:Del:M:4	1.69E-06	4.92E-08	1.09E-03	2.60E-03	6.47E-04	4.55E-08	4.58E-04	1.48E-04	9.79E-03
5:Del:M:5	1.41E-04	4.00E-04	4.86E-04	1.96E-03	0.00E+00	4.16E-04	5.10E-03	1.03E-03	2.09E-03
