NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.268	19.62	13.604	10.216	0.12	0.992	40000.0
2	60.021	19.305	13.587	10.078	0.115	0.993	20000.0
3	59.758	19.151	13.429	9.984	0.116	0.993	40000.0
4	60.685	20.042	13.615	10.33	0.125	0.992	30000.0
5	58.834	19.0	12.963	9.638	0.119	0.993	30000.0
6	60.41	19.483	13.283	9.957	0.119	0.993	30000.0
7	59.37	19.452	12.911	9.885	0.118	0.993	20000.0
8	60.074	19.451	13.47	9.96	0.119	0.993	50000.0
9	59.404	19.452	13.524	10.323	0.12	0.992	50000.0
10	58.714	18.88	12.977	9.616	0.116	0.994	40000.0
