Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	18	10	17	10	5	23	0	9	8	0	7	1	0	0	5	0	24	0
V2	142	13	27	0	20	51	20	0	0	4	0	12	0	0	0	4	0	0
V3	0	109	30	18	27	6	2	0	13	0	3	0	0	17	1	0	0	4
V4	169	2	0	4	0	0	7	1	0	0	3	0	0	2	76	0	0	0
V5	354	8	23	4	19	10	63	2	8	13	21	4	5	12	19	0	0	10
V6	35	65	2	63	0	0	11	0	0	4	3	10	24	4	17	0	0	0
V7	0	197	6	3	3	0	59	3	0	31	4	35	0	22	2	28	0	0
V8	3	39	2	2	0	0	13	0	0	10	6	18	14	13	0	8	0	0
V9	6	1	51	85	16	37	58	8	0	15	22	12	0	6	0	22	0	0
V10	127	8	0	0	7	28	22	23	0	0	25	16	0	12	12	22	0	0
V11	0	377	12	29	2	4	2	2	0	11	0	4	0	25	0	16	30	22
V12	166	200	2	35	1	16	6	8	0	24	2	0	0	14	19	0	35	0
V13	58	0	158	0	87	93	2	33	16	0	2	11	2	0	6	0	8	0
V14	82	1	65	84	45	46	6	12	0	17	8	11	24	14	9	10	0	0
V15	48	135	202	9	46	104	2	14	3	9	1	6	0	13	13	0	0	0
V16	2	7	281	31	133	53	2	0	0	0	11	3	16	10	0	0	0	0
V17	149	12	40	4	41	22	11	70	9	24	16	0	7	27	0	0	0	0
V18	104	20	93	64	24	22	25	2	0	8	2	0	28	4	3	26	0	0
V19	2	0	9	0	9	1	5	2	0	0	4	12	2	2	0	0	5	0
V20	5	16	48	66	35	21	5	17	2	0	4	0	0	0	0	0	10	0
V21	225	25	2	23	0	4	0	10	9	0	0	0	0	1	16	0	0	0
V22	12	6	0	9	0	0	3	0	0	0	0	0	2	0	0	0	0	0
V23	27	6	0	76	0	0	15	1	0	0	3	3	0	3	1	4	0	0
V24	30	0	3	4	1	0	13	0	0	9	14	21	14	2	2	4	2	7
V25	49	17	158	0	40	13	1	0	0	4	9	1	3	7	0	0	0	0
V26	0	89	23	18	29	6	2	3	0	0	0	3	0	0	0	0	0	0
V27	1	1	5	0	20	35	16	35	1	13	26	72	0	34	0	24	0	0
V28	232	10	15	5	16	6	7	0	0	0	4	0	0	0	1	5	11	5
V29	24	1	0	12	28	14	11	58	6	6	8	6	0	0	0	0	16	0
V30	24	10	1	6	0	1	27	0	0	8	11	3	0	11	12	0	0	0
V31	27	13	29	8	26	3	0	0	0	0	0	0	0	0	9	0	0	0
V32	7	23	3	90	5	0	68	11	0	72	29	18	0	4	0	29	0	0
V33	29	55	56	4	33	105	14	2	87	29	12	0	41	14	0	0	0	0
V34	1	30	32	0	29	5	18	2	1	23	21	9	0	25	0	0	6	0
V35	12	4	26	36	12	8	0	24	0	0	12	15	0	0	0	0	0	0
V36	3	113	27	3	13	15	0	2	5	3	0	0	6	2	12	0	0	0
V37	2	59	2	10	4	28	14	12	0	2	17	11	9	1	3	0	8	12
V38	0	15	19	4	9	3	9	0	0	0	0	6	1	0	1	0	0	0
V39	3	75	1	12	0	0	10	3	0	3	2	2	10	3	8	0	0	0
V40	10	34	7	8	17	32	11	47	63	7	30	0	16	11	6	0	13	26
V41	1	64	3	3	1	1	1	2	0	9	1	1	0	4	0	7	0	0
V42	35	40	125	124	47	49	0	1	0	0	0	0	77	0	0	0	0	0
V43	198	5	5	5	1	11	1	28	2	4	1	0	3	1	20	0	7	0
V44	14	35	5	0	7	13	8	6	1	0	11	0	0	7	0	9	6	0
V45	15	119	6	92	7	0	4	1	0	0	0	0	0	11	0	0	0	0
V46	70	36	3	18	17	36	16	46	47	21	13	10	23	1	0	0	0	3
V47	4	72	113	137	124	30	21	20	50	34	5	0	32	1	0	0	15	0
V48	2	75	15	3	2	2	2	0	2	1	0	0	3	4	2	4	0	0
V49	0	116	0	11	5	2	10	5	17	0	0	0	5	11	0	4	12	0
V50	286	6	0	29	1	12	0	8	0	5	0	0	0	11	29	5	29	3
V51	33	0	91	2	23	5	28	25	4	29	21	4	0	7	0	0	0	0
V52	6	138	4	0	0	11	6	18	0	6	0	7	0	44	1	36	0	0
V53	24	14	67	2	5	20	0	5	0	4	1	0	3	2	0	0	1	0
V54	32	12	38	0	30	42	0	19	0	0	0	7	0	3	2	0	28	0
V55	0	160	4	28	0	0	13	0	0	36	25	41	30	0	0	11	0	0
V56	5	30	65	40	83	25	3	13	14	13	4	0	0	0	0	0	0	38
V57	4	0	12	0	5	20	5	7	9	0	0	0	6	0	0	0	2	0
V58	52	13	33	12	6	1	4	0	0	31	3	9	0	8	0	0	0	6
V59	23	69	3	2	20	5	22	27	11	13	28	50	0	3	0	0	0	25
V60	276	0	3	33	4	4	0	11	9	0	0	0	27	0	18	0	0	0
V61	7	31	89	6	111	60	10	55	211	7	28	0	0	0	2	0	0	0
V62	40	43	18	151	27	33	14	84	19	26	9	0	98	0	0	0	0	0
V63	337	7	192	12	30	91	5	84	55	0	16	3	0	0	2	19	0	19
V64	19	117	85	18	38	17	6	9	5	4	1	2	9	6	0	0	0	0
V65	7	30	99	15	43	29	6	17	11	6	0	0	12	10	9	15	1	9
V66	85	466	88	14	12	27	91	0	12	42	0	30	1	55	20	20	0	0
V67	2	10	11	35	2	20	8	7	12	0	3	0	0	6	0	0	0	3
V68	15	238	114	86	28	35	0	15	0	0	2	6	15	21	2	11	0	0
V69	21	0	75	23	49	27	28	29	32	0	24	5	4	3	0	0	10	13
V70	1	61	44	39	12	4	0	0	0	0	0	0	0	15	0	0	0	0
V71	30	3	0	41	1	2	0	1	0	0	0	0	0	0	0	0	0	0
V72	83	1	2	31	2	2	7	1	0	0	6	0	7	2	5	0	0	0
V73	36	5	0	130	0	3	0	3	0	0	0	0	78	0	9	0	0	0
V74	39	6	15	73	4	4	37	0	0	24	70	0	27	39	0	0	0	0
V75	65	98	3	0	5	7	11	0	4	10	2	26	0	10	8	0	0	0
V76	33	0	283	70	62	18	61	5	0	20	12	25	0	12	3	0	0	1
V77	3	13	20	13	43	15	9	25	111	4	10	0	26	0	0	0	7	0
V78	7	19	0	3	1	1	25	1	0	0	6	6	0	2	0	0	0	26
V79	62	1	4	40	0	34	24	1	70	56	14	24	21	2	0	12	0	0
V80	71	36	12	15	6	0	19	1	0	18	25	29	0	44	6	38	0	0
V81	721	10	4	10	0	0	0	1	0	0	0	0	0	5	49	0	0	0
V82	68	0	28	42	92	13	99	119	49	20	58	35	2	19	0	0	27	0
V83	2	60	108	174	33	13	36	0	0	88	41	16	27	5	0	0	0	0
V84	7	2	115	1	31	10	3	5	1	0	0	0	0	0	0	0	0	0
V85	10	242	5	20	6	4	1	2	5	0	0	2	8	9	1	5	0	14
V86	21	308	1	1	3	0	11	7	0	4	0	18	0	13	4	23	0	0
V87	30	5	1	24	0	4	0	2	0	0	1	7	15	0	4	2	0	0
V88	4	33	6	3	16	6	0	20	9	6	3	0	4	1	0	0	0	0
V89	51	12	105	0	17	2	21	22	31	6	11	8	3	13	10	0	0	0
V90	2	107	6	4	1	1	23	1	0	14	10	0	5	20	11	6	0	34
V91	16	10	11	30	33	51	2	113	40	19	0	13	1	0	0	0	15	0
V92	65	0	19	0	28	51	35	10	9	25	17	48	0	0	7	16	16	12
V93	0	52	21	1	1	6	8	22	8	0	4	0	0	9	2	0	19	7
V94	88	26	0	16	0	1	44	0	0	0	14	42	0	30	0	0	0	49
V95	3	5	40	4	5	35	6	4	6	0	0	5	0	0	0	0	0	0
V96	190	3	4	10	32	38	38	32	18	40	98	7	0	0	0	14	3	0
V97	17	26	51	6	26	49	8	63	24	17	9	0	0	0	5	0	0	0
